카테고리,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동
2020년03월_계_총인구수,"217,810","7,553","7,216","9,354","14,870","29,705","5,551","7,837","9,078","6,746","12,830","6,259","19,918","8,606","47,065","19,547","5,675"
2020년03월_계_연령구간인구수,"217,810","7,553","7,216","9,354","14,870","29,705","5,551","7,837","9,078","6,746","12,830","6,259","19,918","8,606","47,065","19,547","5,675"
2020년03월_계_0~9세,"18,177",563,571,541,989,"3,066",322,405,399,282,"1,131",428,"1,466",564,"4,178","2,964",308
2020년03월_계_10~19세,"23,398",764,699,809,"1,466","5,024",297,450,668,388,"1,173",424,"2,133",659,"6,129","1,969",346
2020년03월_계_20~29세,"28,578",855,901,"1,276","2,128","3,515",648,929,"1,248",972,"1,570",959,"2,847","1,164","6,742","2,314",510
2020년03월_계_30~39세,"26,797",762,930,993,"1,721","3,071",710,868,"1,106",791,"1,661",873,"2,370",971,"5,716","3,812",442
2020년03월_계_40~49세,"34,524","1,135","1,151","1,288","2,346","5,627",780,"1,055","1,257",870,"1,956",863,"3,165","1,189","7,867","3,272",703
2020년03월_계_50~59세,"33,782","1,167","1,044","1,552","2,413","4,382",925,"1,321","1,595","1,288","1,947",937,"3,365","1,503","6,940","2,484",919
2020년03월_계_60~69세,"27,237","1,035",939,"1,387","1,911","2,818",844,"1,245","1,498","1,168","1,794",869,"2,547","1,363","5,120","1,643","1,056"
2020년03월_계_70~79세,"17,114",867,697,"1,018","1,187","1,419",721,"1,075",925,697,"1,086",627,"1,447",863,"2,968",713,804
2020년03월_계_80~89세,"7,017",341,243,417,611,657,259,415,335,251,440,243,503,288,"1,213",297,504
2020년03월_계_90~99세,"1,089",55,34,64,94,122,31,68,46,34,70,27,70,36,184,76,78
2020년03월_계_100세 이상,97,9,7,9,4,4,14,6,1,5,2,9,5,6,8,3,5
2020년03월_남_총인구수,"104,881","3,470","3,442","4,442","7,036","13,946","2,838","4,011","4,649","3,373","6,092","3,081","9,672","4,291","22,239","9,506","2,793"
2020년03월_남_연령구간인구수,"104,881","3,470","3,442","4,442","7,036","13,946","2,838","4,011","4,649","3,373","6,092","3,081","9,672","4,291","22,239","9,506","2,793"
2020년03월_남_0~9세,"9,271",291,305,278,526,"1,507",154,201,212,142,581,224,754,281,"2,111","1,546",158
2020년03월_남_10~19세,"11,795",367,341,417,742,"2,580",165,241,357,206,561,209,"1,107",345,"2,983","1,002",172
2020년03월_남_20~29세,"14,685",431,459,663,"1,104","1,799",335,525,671,520,814,447,"1,462",627,"3,346","1,180",302
2020년03월_남_30~39세,"13,299",368,448,511,856,"1,357",395,478,630,453,823,444,"1,184",534,"2,708","1,871",239
2020년03월_남_40~49세,"16,939",555,580,642,"1,115","2,511",454,624,708,474,957,494,"1,528",603,"3,705","1,591",398
2020년03월_남_50~59세,"15,910",520,492,715,"1,102","2,018",496,712,787,606,887,471,"1,583",708,"3,170","1,155",488
2020년03월_남_60~69세,"12,550",423,411,609,866,"1,303",398,584,718,561,806,381,"1,209",650,"2,352",741,538
2020년03월_남_70~79세,"7,676",365,304,440,497,614,331,485,439,326,468,302,651,416,"1,369",327,342
2020년03월_남_80~89세,"2,502",127,92,154,208,227,99,147,115,79,173,97,183,117,454,84,146
2020년03월_남_90~99세,241,21,8,13,19,29,8,14,12,5,22,10,11,10,41,9,9
2020년03월_남_100세 이상,13,2,2,0,1,1,3,0,0,1,0,2,0,0,0,0,1
2020년03월_여_총인구수,"112,929","4,083","3,774","4,912","7,834","15,759","2,713","3,826","4,429","3,373","6,738","3,178","10,246","4,315","24,826","10,041","2,882"
2020년03월_여_연령구간인구수,"112,929","4,083","3,774","4,912","7,834","15,759","2,713","3,826","4,429","3,373","6,738","3,178","10,246","4,315","24,826","10,041","2,882"
2020년03월_여_0~9세,"8,906",272,266,263,463,"1,559",168,204,187,140,550,204,712,283,"2,067","1,418",150
2020년03월_여_10~19세,"11,603",397,358,392,724,"2,444",132,209,311,182,612,215,"1,026",314,"3,146",967,174
2020년03월_여_20~29세,"13,893",424,442,613,"1,024","1,716",313,404,577,452,756,512,"1,385",537,"3,396","1,134",208
2020년03월_여_30~39세,"13,498",394,482,482,865,"1,714",315,390,476,338,838,429,"1,186",437,"3,008","1,941",203
2020년03월_여_40~49세,"17,585",580,571,646,"1,231","3,116",326,431,549,396,999,369,"1,637",586,"4,162","1,681",305
2020년03월_여_50~59세,"17,872",647,552,837,"1,311","2,364",429,609,808,682,"1,060",466,"1,782",795,"3,770","1,329",431
2020년03월_여_60~69세,"14,687",612,528,778,"1,045","1,515",446,661,780,607,988,488,"1,338",713,"2,768",902,518
2020년03월_여_70~79세,"9,438",502,393,578,690,805,390,590,486,371,618,325,796,447,"1,599",386,462
2020년03월_여_80~89세,"4,515",214,151,263,403,430,160,268,220,172,267,146,320,171,759,213,358
2020년03월_여_90~99세,848,34,26,51,75,93,23,54,34,29,48,17,59,26,143,67,69
2020년03월_여_100세 이상,84,7,5,9,3,3,11,6,1,4,2,7,5,6,8,3,4
