카테고리,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2020년01월_계_총인구수,"13,250,368","1,193,894","277,846","371,509","175,698","368,841","942,649","234,614","219,921","488,114","451,876","565,352","243,176","322,176","828,947","315,920","514,876","94,719","650,559","344,245","306,314","1,068,641","467,673","298,093","302,875","58,334","199,015","702,545","226,736","475,396","275,989","162,472","273,587","1,061,440","253,896","437,146","370,398","453,961","215,885","183,369","437,789","818,760","373,274","222,275","148,137","111,017","43,741","62,303","116,910"
2020년01월_계_연령구간인구수,"13,250,368","1,193,894","277,846","371,509","175,698","368,841","942,649","234,614","219,921","488,114","451,876","565,352","243,176","322,176","828,947","315,920","514,876","94,719","650,559","344,245","306,314","1,068,641","467,673","298,093","302,875","58,334","199,015","702,545","226,736","475,396","275,989","162,472","273,587","1,061,440","253,896","437,146","370,398","453,961","215,885","183,369","437,789","818,760","373,274","222,275","148,137","111,017","43,741","62,303","116,910"
2020년01월_계_0~9세,"1,180,483","103,729","19,942","34,496","10,341","38,950","71,758","15,976","14,150","41,632","35,089","42,436","16,629","25,807","61,547","25,494","48,327","6,879","46,175","23,793","22,382","84,767","38,922","21,818","24,027","4,530","16,218","67,209","25,098","46,857","22,392","13,230","29,609","105,068","22,151","45,547","37,370","45,061","19,870","14,815","51,846","105,610","36,137","19,748","9,218","7,681","2,913","3,582","7,590"
2020년01월_계_10~19세,"1,351,772","123,236","30,338","34,608","14,709","43,581","90,958","17,801","17,676","55,481","43,635","55,356","19,897","35,459","74,101","32,841","53,123","8,967","67,575","35,391","32,184","108,827","42,545","30,783","35,499","6,326","19,002","77,745","24,934","49,923","27,965","15,235","23,729","122,792","25,261","51,659","45,872","48,577","22,524","18,195","44,875","93,208","33,533","23,803","13,049","9,904","3,312","4,803","9,719"
2020년01월_계_20~29세,"1,771,845","186,375","44,254","55,109","28,172","58,840","132,345","33,885","31,573","66,887","62,493","80,888","35,340","45,548","119,505","40,872","69,169","11,196","105,142","56,682","48,460","149,772","62,359","44,526","42,887","8,033","27,463","82,959","30,575","66,247","38,280","22,919","32,477","132,617","33,268","53,920","45,429","55,235","28,889","21,505","47,539","97,224","43,908","26,238","17,843","12,064","5,444","6,182","10,447"
2020년01월_계_30~39세,"1,920,085","184,482","34,198","60,732","25,195","64,357","139,206","35,009","31,992","72,205","59,654","80,258","34,305","45,953","120,614","44,907","76,949","10,585","85,672","43,673","41,999","141,632","66,274","38,588","36,770","7,847","27,426","91,704","39,937","73,951","39,832","22,275","46,893","148,937","34,718","62,185","52,034","67,454","30,754","23,485","70,651","149,761","59,500","27,446","14,973","11,916","4,288","5,945","11,151"
2020년01월_계_40~49세,"2,294,108","206,165","47,262","61,810","28,254","68,839","160,335","37,270","34,393","88,672","74,524","91,667","36,302","55,365","132,845","54,981","90,548","14,870","111,005","58,493","52,512","185,649","78,583","52,775","54,291","9,194","33,505","129,102","42,187","86,826","45,729","25,194","47,500","200,806","43,359","84,864","72,583","79,166","34,930","29,968","80,818","156,100","64,822","38,617","21,379","16,192","5,079","8,048","16,357"
2020년01월_계_50~59세,"2,201,660","196,083","49,388","62,621","30,824","53,250","156,276","40,422","39,708","76,146","78,789","100,827","44,647","56,180","150,596","52,477","83,798","16,376","126,198","66,997","59,201","191,834","81,546","55,007","55,281","10,262","35,932","114,056","32,356","83,257","48,346","29,872","40,421","158,617","42,553","63,270","52,794","69,764","34,966","30,812","62,860","108,521","61,699","36,828","29,664","20,161","7,393","11,635","20,984"
2020년01월_계_60~69세,"1,410,184","111,269","28,714","36,813","21,211","24,531","107,115","30,871","29,161","47,083","52,511","67,148","32,501","34,647","102,941","37,314","49,994","12,431","64,375","33,907","30,468","110,048","51,850","29,758","28,440","6,509","22,731","76,916","18,108","40,752","30,536","19,957","31,921","99,383","28,782","38,768","31,833","45,367","23,787","23,169","44,154","62,479","43,938","26,305","22,464","17,131","7,124","11,245","21,062"
2020년01월_계_70~79세,"740,409","54,808","15,360","16,944","11,610","10,894","56,527","16,429","14,871","25,227","30,318","30,860","15,894","14,966","44,753","18,300","27,631","8,704","28,611","16,232","12,379","60,493","29,614","15,223","15,656","3,478","11,461","43,040","9,336","18,151","14,590","8,926","14,782","63,594","15,545","25,369","22,680","28,083","12,800","13,227","23,995","30,290","20,868","15,704","12,412","10,082","5,081","6,825","12,679"
2020년01월_계_80~89세,"327,622","23,793","7,164","7,199","4,610","4,820","23,720","5,883","5,379","12,458","12,939","13,756","6,675","7,081","18,892","7,512","13,264","4,067","13,730","7,875","5,855","30,944","13,866","8,297","8,781","1,745","4,582","17,178","3,713","8,178","7,135","4,114","5,220","25,571","7,121","9,958","8,492","13,160","6,403","7,210","9,618","13,604","7,642","6,591","6,141","5,089","2,670","3,493","5,948"
2020년01월_계_90~99세,"48,235","3,667","1,143","1,091",684,749,"3,969",877,846,"2,246","1,722","1,987",906,"1,081","2,926","1,081","1,843",564,"1,971","1,149",822,"4,358","1,913","1,257","1,188",360,622,"2,426",445,"1,164","1,114",703,931,"3,877","1,068","1,546","1,263","1,914",897,932,"1,367","1,852","1,131",927,924,758,394,498,911
2020년01월_계_100세 이상,"3,965",287,83,86,88,30,440,191,172,77,202,169,80,89,227,141,230,80,105,53,52,317,201,61,55,50,73,210,47,90,70,47,104,178,70,60,48,180,65,51,66,111,96,68,70,39,43,47,62
2020년01월_남_총인구수,"6,665,310","601,097","139,934","187,499","88,471","185,193","466,582","118,562","111,364","236,656","222,611","279,857","121,839","158,018","411,912","156,095","265,037","47,276","333,471","175,550","157,921","523,803","231,540","145,190","147,073","28,650","98,858","350,058","117,148","248,693","136,990","80,957","137,533","526,823","130,032","215,981","180,810","230,458","111,284","94,249","219,805","424,061","191,127","112,770","78,129","56,388","22,948","31,986","58,654"
2020년01월_남_연령구간인구수,"6,665,310","601,097","139,934","187,499","88,471","185,193","466,582","118,562","111,364","236,656","222,611","279,857","121,839","158,018","411,912","156,095","265,037","47,276","333,471","175,550","157,921","523,803","231,540","145,190","147,073","28,650","98,858","350,058","117,148","248,693","136,990","80,957","137,533","526,823","130,032","215,981","180,810","230,458","111,284","94,249","219,805","424,061","191,127","112,770","78,129","56,388","22,948","31,986","58,654"
2020년01월_남_0~9세,"604,946","53,483","10,336","17,724","5,223","20,200","36,757","8,074","7,308","21,375","18,129","21,606","8,431","13,175","31,554","13,058","24,754","3,566","23,525","12,145","11,380","43,215","19,814","11,191","12,210","2,392","8,378","34,553","12,850","23,947","11,507","6,858","15,120","53,720","11,292","23,413","19,015","22,974","10,271","7,596","26,542","54,043","18,574","10,051","4,782","3,981","1,493","1,773","3,894"
2020년01월_남_10~19세,"696,108","63,800","15,836","18,020","7,551","22,393","46,667","9,189","9,069","28,409","22,461","28,670","10,340","18,330","38,147","16,908","27,408","4,515","34,911","18,237","16,674","55,959","21,849","15,935","18,175","3,276","9,837","40,029","12,824","25,701","14,382","7,837","12,136","63,114","13,263","26,559","23,292","25,108","11,707","9,440","22,898","47,557","17,181","12,194","6,832","5,132","1,776","2,542","5,159"
2020년01월_남_20~29세,"931,584","98,263","24,157","28,719","14,758","30,629","67,910","17,789","16,500","33,621","31,892","42,066","18,493","23,573","61,648","21,406","37,723","6,110","55,904","30,127","25,777","76,513","32,186","22,415","21,912","4,237","14,044","43,153","16,469","35,932","19,975","12,138","16,771","68,645","17,948","27,822","22,875","29,041","16,245","11,831","24,771","52,211","23,137","14,091","10,244","6,556","3,475","3,495","5,688"
2020년01월_남_30~39세,"986,198","95,448","17,701","31,730","13,502","32,515","70,346","18,574","17,097","34,675","30,312","41,086","18,032","23,054","61,829","22,724","41,543","5,430","46,496","23,574","22,922","69,965","33,433","18,707","17,825","3,991","13,881","44,977","21,383","39,654","20,560","11,436","23,643","73,351","18,250","30,318","24,783","35,973","16,344","12,716","34,625","77,551","31,096","14,134","8,243","6,242","2,404","3,193","5,622"
2020년01월_남_40~49세,"1,165,205","103,806","23,455","31,832","14,548","33,971","79,277","19,754","18,129","41,394","37,218","44,789","18,514","26,275","66,937","27,240","47,835","7,656","56,255","29,544","26,711","89,815","39,502","24,980","25,333","4,348","16,638","65,167","22,362","46,452","22,441","12,389","24,955","99,339","22,808","41,746","34,785","40,717","18,041","15,983","42,127","83,593","34,435","19,873","11,506","8,421","2,787","4,355","8,448"
2020년01월_남_50~59세,"1,116,749","98,035","24,713","30,887","15,657","26,778","77,797","20,493","19,926","37,378","38,855","49,081","21,988","27,093","73,342","26,024","43,847","8,652","65,185","34,467","30,718","94,995","40,698","27,048","27,249","5,001","17,728","58,160","16,780","44,417","23,656","14,536","19,916","80,977","22,098","32,016","26,863","36,573","18,091","16,263","32,228","58,216","31,377","19,345","16,290","10,551","3,965","6,131","10,735"
2020년01월_남_60~69세,"700,122","54,768","14,116","18,167","10,252","12,233","52,565","14,924","14,480","23,161","25,304","33,394","16,105","17,289","51,122","17,845","24,723","6,052","33,588","17,555","16,033","55,265","25,721","15,158","14,386","3,191","11,422","37,398","8,920","21,567","15,162","10,040","15,563","46,991","14,366","17,962","14,663","22,365","12,133","11,680","21,454","31,599","22,119","13,156","12,102","8,706","3,671","5,814","10,443"
2020년01월_남_70~79세,"334,417","24,374","6,792","7,699","5,145","4,738","25,527","7,425","6,770","11,332","13,257","13,956","7,323","6,633","20,472","8,146","12,019","3,619","12,687","7,055","5,632","25,704","12,781","6,440","6,483","1,503","5,090","19,640","4,109","8,105","6,470","4,146","7,377","29,244","7,172","11,599","10,473","12,359","5,900","5,975","11,219","14,079","10,101","7,245","5,679","4,737","2,267","3,206","6,205"
2020년01월_남_80~89세,"117,354","8,190","2,532","2,446","1,647","1,565","8,621","2,067","1,859","4,695","4,708","4,684","2,374","2,310","6,151","2,454","4,620","1,501","4,487","2,594","1,893","11,166","5,026","2,982","3,158",614,"1,660","6,353","1,341","2,646","2,516","1,396","1,814","10,419","2,581","4,134","3,704","4,837","2,318","2,565","3,592","4,773","2,843","2,455","2,209","1,890",992,"1,324","2,215"
2020년01월_남_90~99세,"11,577",852,276,248,165,163,997,214,183,600,431,475,215,260,653,256,494,157,411,242,169,"1,126",483,315,328,89,157,570,96,248,298,168,210,990,241,399,350,456,215,188,331,405,244,215,218,158,103,134,232
2020년01월_남_100세 이상,"1,050",78,20,27,23,8,118,59,43,16,44,50,24,26,57,34,71,18,22,10,12,80,47,19,14,8,23,58,14,24,23,13,28,33,13,13,7,55,19,12,18,34,20,11,24,14,15,19,13
2020년01월_여_총인구수,"6,585,058","592,797","137,912","184,010","87,227","183,648","476,067","116,052","108,557","251,458","229,265","285,495","121,337","164,158","417,035","159,825","249,839","47,443","317,088","168,695","148,393","544,838","236,133","152,903","155,802","29,684","100,157","352,487","109,588","226,703","138,999","81,515","136,054","534,617","123,864","221,165","189,588","223,503","104,601","89,120","217,984","394,699","182,147","109,505","70,008","54,629","20,793","30,317","58,256"
2020년01월_여_연령구간인구수,"6,585,058","592,797","137,912","184,010","87,227","183,648","476,067","116,052","108,557","251,458","229,265","285,495","121,337","164,158","417,035","159,825","249,839","47,443","317,088","168,695","148,393","544,838","236,133","152,903","155,802","29,684","100,157","352,487","109,588","226,703","138,999","81,515","136,054","534,617","123,864","221,165","189,588","223,503","104,601","89,120","217,984","394,699","182,147","109,505","70,008","54,629","20,793","30,317","58,256"
2020년01월_여_0~9세,"575,537","50,246","9,606","16,772","5,118","18,750","35,001","7,902","6,842","20,257","16,960","20,830","8,198","12,632","29,993","12,436","23,573","3,313","22,650","11,648","11,002","41,552","19,108","10,627","11,817","2,138","7,840","32,656","12,248","22,910","10,885","6,372","14,489","51,348","10,859","22,134","18,355","22,087","9,599","7,219","25,304","51,567","17,563","9,697","4,436","3,700","1,420","1,809","3,696"
2020년01월_여_10~19세,"655,664","59,436","14,502","16,588","7,158","21,188","44,291","8,612","8,607","27,072","21,174","26,686","9,557","17,129","35,954","15,933","25,715","4,452","32,664","17,154","15,510","52,868","20,696","14,848","17,324","3,050","9,165","37,716","12,110","24,222","13,583","7,398","11,593","59,678","11,998","25,100","22,580","23,469","10,817","8,755","21,977","45,651","16,352","11,609","6,217","4,772","1,536","2,261","4,560"
