,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2020년03월_계_총인구수,"544,034","46,307","42,216","31,468","49,088","27,068","28,508","6,713","10,081","22,966","13,773","15,155","32,685","12,010","20,871","16,632","11,014","33,234","22,929","24,501","28,510","24,848","23,457"
2020년03월_계_연령구간인구수,"544,034","46,307","42,216","31,468","49,088","27,068","28,508","6,713","10,081","22,966","13,773","15,155","32,685","12,010","20,871","16,632","11,014","33,234","22,929","24,501","28,510","24,848","23,457"
2020년03월_계_0~9세,"52,316","4,956","2,608","4,072","7,177","4,260","3,431",359,518,"1,331",798,678,"2,885",600,"1,501",750,797,"2,901","2,073","2,677","3,166","2,459","2,319"
2020년03월_계_10~19세,"57,269","4,508","3,748","4,391","6,184","3,499","2,141",472,823,"1,654",960,"1,371","3,113",899,"2,032","1,356",792,"3,500","2,917","3,516","3,346","2,720","3,327"
2020년03월_계_20~29세,"73,429","6,593","6,805","3,816","5,839","2,884","3,563","1,079","1,665","3,388","1,846","2,358","4,502","1,686","3,158","2,320","1,499","4,770","2,849","2,629","3,861","3,176","3,143"
2020년03월_계_30~39세,"81,906","8,739","5,144","6,083","8,627","5,005","5,206",917,"1,192","3,004","1,659","1,663","4,655","1,489","2,658","1,896","1,728","4,865","2,657","3,537","4,800","3,397","2,985"
2020년03월_계_40~49세,"96,275","8,559","6,677","6,457","9,880","5,397","4,487",868,"1,422","3,396","1,983","2,304","5,133","1,910","3,079","2,346","1,620","5,961","4,598","5,676","5,520","4,401","4,601"
2020년03월_계_50~59세,"93,186","6,812","8,870","3,917","6,504","3,563","4,681","1,642","2,325","4,821","2,851","3,274","6,177","2,555","4,115","3,456","2,077","5,808","3,833","3,357","4,425","4,384","3,739"
2020년03월_계_60~69세,"54,577","3,780","4,877","1,755","3,256","1,689","3,127",933,"1,355","3,291","2,199","2,071","4,065","1,677","2,733","2,689","1,567","3,221","2,088","1,728","2,012","2,548","1,916"
2020년03월_계_70~79세,"23,503","1,656","2,197",644,"1,113",503,"1,274",273,511,"1,405","1,001",985,"1,501",835,"1,053","1,231",603,"1,494","1,284",937,907,"1,143",953
