카테고리,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2020년03월_계_총인구수,"430,568","21,266","18,689","30,852","31,753","34,846","12,118","32,878","16,225","20,287","19,643","21,336","17,607","20,700","22,072","23,719","45,318","22,824","18,435"
2020년03월_계_연령구간인구수,"430,568","21,266","18,689","30,852","31,753","34,846","12,118","32,878","16,225","20,287","19,643","21,336","17,607","20,700","22,072","23,719","45,318","22,824","18,435"
2020년03월_계_0~9세,"35,662","1,623","1,529","1,745","3,159","2,709",624,"3,208","1,959","1,863","1,809","1,542","1,241","1,256","1,406","1,705","4,512","1,569","2,203"
2020년03월_계_10~19세,"45,661","1,963","1,667","2,750","4,198","4,048","1,974","3,544","2,730","2,756","2,160","2,880","1,396","1,690","2,087","2,640","4,270","1,659","1,249"
2020년03월_계_20~29세,"56,332","2,844","2,736","5,137","3,594","4,632","1,506","4,376","1,389","2,237","2,392","2,686","2,573","3,007","2,949","3,252","5,494","3,518","2,010"
2020년03월_계_30~39세,"66,164","3,767","3,834","5,015","3,981","5,276",921,"5,863","1,685","2,512","2,863","2,507","3,131","3,222","3,101","3,697","7,201","4,582","3,006"
2020년03월_계_40~49세,"78,585","3,848","3,316","4,956","6,499","6,671","2,405","6,701","3,759","4,274","3,593","4,041","2,894","3,168","3,375","4,333","7,852","3,909","2,991"
2020년03월_계_50~59세,"62,960","2,954","2,432","4,712","4,644","5,549","2,086","4,083","2,084","3,037","2,822","3,440","2,462","3,275","3,686","3,480","6,318","3,342","2,554"
2020년03월_계_60~69세,"46,913","2,387","1,793","3,530","3,035","3,401","1,233","2,951","1,303","1,936","2,286","2,211","2,082","2,822","3,148","2,336","5,533","2,526","2,400"
2020년03월_계_70~79세,"26,841","1,311",996,"2,121","1,826","1,694",981,"1,554",915,"1,137","1,204","1,318","1,302","1,642","1,628","1,590","2,923","1,263","1,436"
2020년03월_계_80~89세,"9,445",471,300,744,672,703,340,478,310,442,415,603,433,512,578,589,997,362,496
2020년03월_계_90~99세,"1,787",94,69,125,129,144,38,101,66,79,94,103,81,93,107,85,212,87,80
2020년03월_계_100세 이상,218,4,17,17,16,19,10,19,25,14,5,5,12,13,7,12,6,7,10
2020년03월_남_총인구수,"205,787","10,236","8,884","15,020","15,433","16,526","5,707","15,855","7,764","9,576","9,266","9,923","8,274","9,711","10,645","10,847","21,696","11,485","8,939"
2020년03월_남_연령구간인구수,"205,787","10,236","8,884","15,020","15,433","16,526","5,707","15,855","7,764","9,576","9,266","9,923","8,274","9,711","10,645","10,847","21,696","11,485","8,939"
2020년03월_남_0~9세,"18,433",852,754,910,"1,646","1,430",321,"1,592","1,050",978,939,769,631,651,722,876,"2,357",861,"1,094"
