카테고리,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2020년01월_계_총인구수,"71,889","5,859","1,129","3,188",823,"2,518","3,123","2,459","2,777","1,916","3,614","2,598","5,819","7,246","9,305","3,155","16,360"
2020년01월_계_연령구간인구수,"71,889","5,859","1,129","3,188",823,"2,518","3,123","2,459","2,777","1,916","3,614","2,598","5,819","7,246","9,305","3,155","16,360"
2020년01월_계_0~9세,"4,141",232,42,98,22,64,108,53,49,80,85,69,338,447,696,117,"1,641"
2020년01월_계_10~19세,"5,866",336,62,155,36,299,134,172,125,69,150,96,424,630,923,144,"2,111"
2020년01월_계_20~29세,"6,334",431,72,170,32,150,200,333,150,102,216,121,546,646,929,227,"2,009"
2020년01월_계_30~39세,"6,112",389,53,158,59,115,175,114,122,99,226,145,598,679,896,255,"2,029"
2020년01월_계_40~49세,"8,962",622,119,257,76,180,274,204,239,179,324,191,712,922,"1,347",332,"2,984"
2020년01월_계_50~59세,"12,339","1,098",235,573,166,380,510,394,517,363,631,504,"1,002","1,209","1,628",556,"2,573"
2020년01월_계_60~69세,"12,880","1,206",248,678,183,547,692,516,578,464,753,613,"1,130","1,353","1,486",670,"1,763"
2020년01월_계_70~79세,"9,202",997,171,607,151,395,559,377,541,328,709,485,699,925,889,522,847
2020년01월_계_80~89세,"5,236",463,106,420,81,336,402,263,399,206,456,303,328,384,446,299,344
2020년01월_계_90~99세,758,74,21,69,16,51,66,32,52,26,57,64,39,43,59,31,58
2020년01월_계_100세 이상,59,11,0,3,1,1,3,1,5,0,7,7,3,8,6,2,1
2020년01월_남_총인구수,"35,202","2,848",568,"1,553",414,"1,322","1,564","1,161","1,372",978,"1,705","1,205","2,849","3,530","4,613","1,566","7,954"
2020년01월_남_연령구간인구수,"35,202","2,848",568,"1,553",414,"1,322","1,564","1,161","1,372",978,"1,705","1,205","2,849","3,530","4,613","1,566","7,954"
2020년01월_남_0~9세,"2,157",109,22,50,11,36,55,33,29,46,40,32,185,231,372,61,845
2020년01월_남_10~19세,"3,165",181,33,89,23,187,83,72,70,36,81,50,229,338,529,85,"1,079"
2020년01월_남_20~29세,"3,522",273,39,109,12,84,115,145,92,59,123,74,315,378,550,126,"1,028"
2020년01월_남_30~39세,"3,274",219,32,90,27,71,103,63,77,54,133,87,329,376,451,148,"1,014"
2020년01월_남_40~49세,"4,812",344,71,145,43,119,183,122,151,114,205,121,391,479,710,207,"1,407"
2020년01월_남_50~59세,"6,299",572,131,292,89,214,283,214,299,188,345,246,468,592,780,309,"1,277"
2020년01월_남_60~69세,"6,200",552,124,358,114,289,338,267,302,266,362,304,497,600,671,316,840
2020년01월_남_70~79세,"3,962",424,77,268,66,188,255,153,230,140,281,199,312,405,382,224,358
2020년01월_남_80~89세,"1,642",157,35,132,27,121,136,84,111,71,122,75,112,123,156,88,92
2020년01월_남_90~99세,155,13,4,20,2,13,13,8,10,4,9,15,11,6,11,2,14
2020년01월_남_100세 이상,14,4,0,0,0,0,0,0,1,0,4,2,0,2,1,0,0
2020년01월_여_총인구수,"36,687","3,011",561,"1,635",409,"1,196","1,559","1,298","1,405",938,"1,909","1,393","2,970","3,716","4,692","1,589","8,406"
2020년01월_여_연령구간인구수,"36,687","3,011",561,"1,635",409,"1,196","1,559","1,298","1,405",938,"1,909","1,393","2,970","3,716","4,692","1,589","8,406"
2020년01월_여_0~9세,"1,984",123,20,48,11,28,53,20,20,34,45,37,153,216,324,56,796
2020년01월_여_10~19세,"2,701",155,29,66,13,112,51,100,55,33,69,46,195,292,394,59,"1,032"
2020년01월_여_20~29세,"2,812",158,33,61,20,66,85,188,58,43,93,47,231,268,379,101,981
2020년01월_여_30~39세,"2,838",170,21,68,32,44,72,51,45,45,93,58,269,303,445,107,"1,015"
2020년01월_여_40~49세,"4,150",278,48,112,33,61,91,82,88,65,119,70,321,443,637,125,"1,577"
2020년01월_여_50~59세,"6,040",526,104,281,77,166,227,180,218,175,286,258,534,617,848,247,"1,296"
2020년01월_여_60~69세,"6,680",654,124,320,69,258,354,249,276,198,391,309,633,753,815,354,923
2020년01월_여_70~79세,"5,240",573,94,339,85,207,304,224,311,188,428,286,387,520,507,298,489
2020년01월_여_80~89세,"3,594",306,71,288,54,215,266,179,288,135,334,228,216,261,290,211,252
2020년01월_여_90~99세,603,61,17,49,14,38,53,24,42,22,48,49,28,37,48,29,44
2020년01월_여_100세 이상,45,7,0,3,1,1,3,1,4,0,3,5,3,6,5,2,1
