,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동
2020년03월_계_총인구수,"344,792","43,189","2,605","3,181","6,201","8,698","6,288","7,500","5,808","3,708","2,533","19,475","54,516","32,297","23,819","30,026","34,020","30,738","19,541","10,649"
2020년03월_계_연령구간인구수,"344,792","43,189","2,605","3,181","6,201","8,698","6,288","7,500","5,808","3,708","2,533","19,475","54,516","32,297","23,819","30,026","34,020","30,738","19,541","10,649"
2020년03월_계_0~9세,"47,449","3,462",85,102,363,314,204,380,228,94,115,"2,788","9,103","4,399","3,908","5,039","6,266","5,602","3,353","1,644"
2020년03월_계_10~19세,"40,751","4,248",116,136,374,419,317,458,407,137,195,"3,396","6,708","4,487","4,232","4,106","4,552","3,062","2,398","1,003"
2020년03월_계_20~29세,"36,373","6,425",298,310,745,835,895,774,590,322,289,"1,714","5,976","3,755","1,751","2,683","2,603","3,118","1,982","1,308"
2020년03월_계_30~39세,"61,396","5,430",301,281,684,843,734,735,524,277,199,"2,740","12,179","5,923","3,691","5,964","6,948","7,554","4,015","2,374"
2020년03월_계_40~49세,"65,983","6,991",332,341,870,"1,015",892,949,764,382,373,"4,596","10,809","6,905","5,987","6,259","7,260","5,649","3,836","1,773"
2020년03월_계_50~59세,"43,132","6,782",541,563,"1,124","1,658","1,231","1,353","1,092",741,464,"2,423","5,648","3,700","2,482","3,044","3,246","3,380","2,182","1,478"
2020년03월_계_60~69세,"28,002","5,131",475,663,972,"1,732","1,017","1,319",951,851,406,"1,108","2,864","1,841","1,124","1,801","2,158","1,657","1,184",748
2020년03월_계_70~79세,"13,660","3,030",266,415,647,"1,127",563,907,691,518,275,473,852,819,438,783,738,495,414,209
2020년03월_계_80~89세,"6,894","1,462",169,307,376,654,381,551,475,333,194,204,315,394,164,303,201,174,147,90
2020년03월_계_90~99세,"1,095",214,20,59,44,95,52,70,80,46,21,31,61,74,41,44,47,46,29,21
2020년03월_계_100세 이상,57,14,2,4,2,6,2,4,6,7,2,2,1,0,1,0,1,1,1,1
2020년03월_남_총인구수,"171,951","22,298","1,460","1,643","3,390","4,591","3,522","4,040","3,068","2,011","1,326","9,589","26,437","15,644","11,779","14,557","16,597","15,137","9,592","5,270"
2020년03월_남_연령구간인구수,"171,951","22,298","1,460","1,643","3,390","4,591","3,522","4,040","3,068","2,011","1,326","9,589","26,437","15,644","11,779","14,557","16,597","15,137","9,592","5,270"
2020년03월_남_0~9세,"24,286","1,809",43,48,182,148,106,176,116,42,57,"1,428","4,659","2,260","2,024","2,573","3,188","2,859","1,712",856
2020년03월_남_10~19세,"20,459","2,167",61,72,201,223,163,253,227,73,100,"1,714","3,264","2,239","2,176","2,036","2,293","1,489","1,205",503
2020년03월_남_20~29세,"18,401","3,624",175,187,481,484,535,467,339,190,166,875,"2,706","1,699",902,"1,243","1,255","1,467",959,647
2020년03월_남_30~39세,"29,894","2,936",203,161,427,517,491,446,314,178,114,"1,235","5,783","2,780","1,594","2,754","3,234","3,692","1,862","1,173"
2020년03월_남_40~49세,"33,901","3,732",219,206,532,621,586,588,461,237,219,"2,251","5,398","3,388","2,949","3,166","3,672","2,848","1,952",876
2020년03월_남_50~59세,"22,328","3,558",315,319,656,921,690,775,612,432,267,"1,260","2,776","1,907","1,320","1,497","1,515","1,682","1,094",732
2020년03월_남_60~69세,"13,894","2,541",266,354,478,921,530,697,509,477,213,539,"1,375",881,553,820,"1,004",826,556,354
