카테고리,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2020년03월_계_총인구수,"281,794","2,787","8,621","1,961","20,833","6,365","6,528","2,908","1,334",861,"2,107","4,713","3,281","4,507","4,124","6,388","3,870","5,582","12,001","7,206","19,261","19,860","12,088","10,595","10,589","33,115","36,538","21,831","8,209","2,512","1,219"
2020년03월_계_연령구간인구수,"281,794","2,787","8,621","1,961","20,833","6,365","6,528","2,908","1,334",861,"2,107","4,713","3,281","4,507","4,124","6,388","3,870","5,582","12,001","7,206","19,261","19,860","12,088","10,595","10,589","33,115","36,538","21,831","8,209","2,512","1,219"
2020년03월_계_0~9세,"21,806",61,636,37,"2,194",298,142,74,15,29,64,239,112,171,124,266,158,180,787,525,"1,395","1,489",766,839,"1,102","2,917","4,664","1,316","1,094",77,35
2020년03월_계_10~19세,"27,378",109,659,82,"2,127",330,315,141,41,38,86,297,222,323,243,347,263,267,990,669,"1,978","2,247","1,169","1,293",946,"4,113","4,483","2,247","1,132",149,72
2020년03월_계_20~29세,"34,080",196,767,132,"2,320",485,561,162,58,59,170,451,375,383,351,730,422,482,"1,338",775,"2,543","2,554","1,823","1,470","1,107","5,155","4,579","3,423",832,271,106
2020년03월_계_30~39세,"32,006",144,832,100,"2,778",474,375,135,62,36,153,461,317,372,301,587,330,490,"1,263",760,"2,154","2,193","1,333","1,239","1,449","4,103","5,656","2,400","1,248",187,74
2020년03월_계_40~49세,"42,604",266,"1,280",157,"3,217",744,661,262,92,87,232,573,373,590,511,789,461,639,"1,643",961,"2,859","3,289","1,837","1,794","1,580","5,737","6,411","3,449","1,640",326,144
2020년03월_계_50~59세,"48,921",506,"1,423",339,"3,552","1,085","1,261",473,195,152,485,742,516,750,689,"1,098",628,964,"2,187","1,199","3,518","3,409","2,277","1,878","1,577","5,893","5,866","4,540",993,485,241
2020년03월_계_60~69세,"39,192",607,"1,552",451,"2,419","1,206","1,331",646,289,162,447,958,596,950,865,"1,282",783,"1,240","2,069","1,316","2,852","2,645","1,578","1,324","1,490","3,178","3,019","2,606",666,451,214
2020년03월_계_70~79세,"23,843",548,978,384,"1,397","1,027","1,123",613,331,178,283,725,550,699,749,931,558,945,"1,276",742,"1,315","1,368",885,537,932,"1,376","1,223","1,198",435,344,193
2020년03월_계_80~89세,"10,320",294,436,243,720,612,642,355,205,102,156,218,200,236,248,310,235,334,403,220,570,582,371,181,344,545,543,556,155,184,120
2020년03월_계_90~99세,"1,542",54,57,35,103,98,114,43,46,17,28,44,18,25,38,42,30,34,37,36,76,84,48,39,54,94,93,95,12,28,20
2020년03월_계_100세 이상,102,2,1,1,6,6,3,4,0,1,3,5,2,8,5,6,2,7,8,3,1,0,1,1,8,4,1,1,2,10,0
2020년03월_남_총인구수,"143,551","1,399","4,464",970,"10,594","3,282","3,372","1,482",645,430,"1,169","2,381","1,669","2,249","2,120","3,307","1,915","2,862","6,077","3,574","9,493","9,990","6,425","5,332","5,311","17,025","18,374","11,468","4,173","1,364",635
2020년03월_남_연령구간인구수,"143,551","1,399","4,464",970,"10,594","3,282","3,372","1,482",645,430,"1,169","2,381","1,669","2,249","2,120","3,307","1,915","2,862","6,077","3,574","9,493","9,990","6,425","5,332","5,311","17,025","18,374","11,468","4,173","1,364",635
2020년03월_남_0~9세,"11,085",27,338,21,"1,141",147,80,41,7,17,33,120,57,89,68,152,69,88,403,269,692,769,407,412,556,"1,467","2,360",662,544,37,12
2020년03월_남_10~19세,"14,282",53,335,41,"1,080",184,175,78,16,18,46,154,119,168,132,192,128,122,519,331,"1,020","1,178",629,685,498,"2,153","2,377","1,133",602,83,33
2020년03월_남_20~29세,"19,193",114,441,75,"1,282",288,315,100,31,32,105,258,197,225,196,410,239,284,753,418,"1,424","1,398","1,070",763,606,"3,008","2,444","2,037",443,173,64
2020년03월_남_30~39세,"17,205",93,450,57,"1,438",274,233,89,41,18,88,255,195,212,186,350,193,271,703,391,"1,109","1,158",771,694,745,"2,142","2,817","1,426",626,125,55
2020년03월_남_40~49세,"22,420",176,773,107,"1,699",499,415,176,64,55,166,333,220,338,320,464,262,409,906,497,"1,419","1,625",991,847,841,"2,797","3,114","1,759",844,203,101
2020년03월_남_50~59세,"25,438",273,747,175,"1,845",623,743,284,110,97,279,386,274,381,370,577,303,548,"1,031",577,"1,659","1,730","1,236",939,778,"3,064","3,011","2,404",558,288,148
2020년03월_남_60~69세,"19,472",310,764,239,"1,251",603,713,323,161,78,250,449,280,431,409,589,363,551,"1,004",639,"1,394","1,344",837,672,725,"1,578","1,513","1,337",313,236,116
2020년03월_남_70~79세,"10,769",230,443,174,612,444,486,268,148,78,143,347,240,305,334,454,265,444,608,357,569,603,372,254,436,649,556,533,193,156,68
2020년03월_남_80~89세,"3,394",110,159,76,225,205,187,111,58,32,55,65,81,91,96,110,89,136,146,87,197,173,107,61,118,154,169,161,46,54,35
2020년03월_남_90~99세,278,13,14,5,20,13,25,11,9,5,4,11,6,9,8,8,4,9,4,7,10,12,5,5,8,13,12,16,2,7,3
2020년03월_남_100세 이상,15,0,0,0,1,2,0,1,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0
