카테고리,부산광역시 북구,부산광역시 북구 구포제1동,부산광역시 북구 구포제2동,부산광역시 북구 구포제3동,부산광역시 북구 금곡동,부산광역시 북구 화명제1동,부산광역시 북구 화명제2동,부산광역시 북구 화명제3동,부산광역시 북구 덕천제1동,부산광역시 북구 덕천제2동,부산광역시 북구 덕천제3동,부산광역시 북구 만덕제1동,부산광역시 북구 만덕제2동,부산광역시 북구 만덕제3동
2020년01월_계_총인구수,"290,908","15,059","26,846","21,036","40,084","43,779","15,979","30,951","13,466","12,662","11,382","12,379","27,763","19,522"
2020년01월_계_연령구간인구수,"290,908","15,059","26,846","21,036","40,084","43,779","15,979","30,951","13,466","12,662","11,382","12,379","27,763","19,522"
2020년01월_계_0~9세,"20,364",775,"1,566","1,061","2,376","4,308","1,040","2,860",561,520,513,892,"2,487","1,405"
2020년01월_계_10~19세,"25,106",786,"1,904","1,678","3,476","4,850","1,414","4,151",681,753,687,821,"2,485","1,420"
2020년01월_계_20~29세,"39,493","2,177","3,842","3,176","4,879","6,233","2,433","4,067","1,770","1,938","1,521","1,521","3,413","2,523"
2020년01월_계_30~39세,"35,390","2,067","3,419","2,163","4,156","5,754","1,747","3,370","1,683","1,567","1,256","1,938","3,617","2,653"
2020년01월_계_40~49세,"42,297","1,828","3,663","3,119","5,629","6,907","2,150","5,745","1,660","1,665","1,520","1,523","4,296","2,592"
2020년01월_계_50~59세,"56,268","3,122","5,595","4,493","7,942","8,615","3,357","5,435","2,553","2,426","2,084","2,257","4,797","3,592"
2020년01월_계_60~69세,"42,806","2,547","4,176","3,310","6,187","4,783","2,239","2,968","2,535","2,262","2,073","2,102","4,192","3,432"
2020년01월_계_70~79세,"20,508","1,239","1,958","1,522","3,515","1,693","1,064","1,655","1,360","1,063","1,241",988,"1,806","1,404"
2020년01월_계_80~89세,"7,593",460,640,455,"1,740",544,427,620,594,401,428,289,565,430
2020년01월_계_90~99세,985,53,67,56,180,86,71,77,65,63,53,43,100,71
2020년01월_계_100세 이상,98,5,16,3,4,6,37,3,4,4,6,5,5,0
2020년01월_남_총인구수,"144,089","7,623","13,810","10,784","19,472","21,591","7,829","15,136","6,646","6,287","5,561","6,108","13,663","9,579"
2020년01월_남_연령구간인구수,"144,089","7,623","13,810","10,784","19,472","21,591","7,829","15,136","6,646","6,287","5,561","6,108","13,663","9,579"
2020년01월_남_0~9세,"10,466",370,825,555,"1,219","2,217",537,"1,476",290,260,268,434,"1,290",725
2020년01월_남_10~19세,"13,073",372,"1,020",908,"1,755","2,511",728,"2,176",372,407,356,418,"1,279",771
2020년01월_남_20~29세,"21,221","1,154","2,079","1,766","2,617","3,367","1,320","2,143",965,"1,003",810,800,"1,813","1,384"
2020년01월_남_30~39세,"18,270","1,173","1,867","1,168","2,200","2,736",905,"1,554",932,879,698,"1,013","1,808","1,337"
2020년01월_남_40~49세,"20,843","1,010","1,916","1,613","2,749","3,181","1,015","2,605",847,880,810,792,"2,130","1,295"
2020년01월_남_50~59세,"26,994","1,534","2,814","2,234","3,786","4,090","1,558","2,752","1,233","1,162","1,005","1,035","2,246","1,545"
2020년01월_남_60~69세,"21,163","1,277","2,110","1,650","3,141","2,473","1,128","1,431","1,200","1,073",957,"1,031","2,019","1,673"
2020년01월_남_70~79세,"9,330",572,927,721,"1,431",840,472,723,610,483,517,479,874,681
2020년01월_남_80~89세,"2,504",150,239,158,524,165,135,256,184,125,129,103,183,153
2020년01월_남_90~99세,203,10,10,11,50,11,19,19,13,14,9,2,20,15
2020년01월_남_100세 이상,22,1,3,0,0,0,12,1,0,1,2,1,1,0
2020년01월_여_총인구수,"146,819","7,436","13,036","10,252","20,612","22,188","8,150","15,815","6,820","6,375","5,821","6,271","14,100","9,943"
2020년01월_여_연령구간인구수,"146,819","7,436","13,036","10,252","20,612","22,188","8,150","15,815","6,820","6,375","5,821","6,271","14,100","9,943"
2020년01월_여_0~9세,"9,898",405,741,506,"1,157","2,091",503,"1,384",271,260,245,458,"1,197",680
2020년01월_여_10~19세,"12,033",414,884,770,"1,721","2,339",686,"1,975",309,346,331,403,"1,206",649
2020년01월_여_20~29세,"18,272","1,023","1,763","1,410","2,262","2,866","1,113","1,924",805,935,711,721,"1,600","1,139"
2020년01월_여_30~39세,"17,120",894,"1,552",995,"1,956","3,018",842,"1,816",751,688,558,925,"1,809","1,316"
2020년01월_여_40~49세,"21,454",818,"1,747","1,506","2,880","3,726","1,135","3,140",813,785,710,731,"2,166","1,297"
2020년01월_여_50~59세,"29,274","1,588","2,781","2,259","4,156","4,525","1,799","2,683","1,320","1,264","1,079","1,222","2,551","2,047"
2020년01월_여_60~69세,"21,643","1,270","2,066","1,660","3,046","2,310","1,111","1,537","1,335","1,189","1,116","1,071","2,173","1,759"
2020년01월_여_70~79세,"11,178",667,"1,031",801,"2,084",853,592,932,750,580,724,509,932,723
2020년01월_여_80~89세,"5,089",310,401,297,"1,216",379,292,364,410,276,299,186,382,277
2020년01월_여_90~99세,782,43,57,45,130,75,52,58,52,49,44,41,80,56
2020년01월_여_100세 이상,76,4,13,3,4,6,25,2,4,3,4,4,4,0
