카테고리,충청남도 부여군,충청남도 부여군 부여읍,충청남도 부여군 규암면,충청남도 부여군 은산면,충청남도 부여군 외산면,충청남도 부여군 내산면,충청남도 부여군 구룡면,충청남도 부여군 홍산면,충청남도 부여군 옥산면,충청남도 부여군 남면,충청남도 부여군 충화면,충청남도 부여군 양화면,충청남도 부여군 임천면,충청남도 부여군 장암면,충청남도 부여군 세도면,충청남도 부여군 석성면,충청남도 부여군 초촌면
2020년06월_계_총인구수,"65,919","20,577","12,045","3,810","2,369","1,563","2,411","2,886","1,427","1,885","1,161","1,739","2,941","2,763","3,200","2,979","2,163"
2020년06월_계_연령구간인구수,"65,919","20,577","12,045","3,810","2,369","1,563","2,411","2,886","1,427","1,885","1,161","1,739","2,941","2,763","3,200","2,979","2,163"
2020년06월_계_0~9세,"3,056","1,114",987,107,49,52,63,86,28,48,24,29,106,81,107,114,61
2020년06월_계_10~19세,"4,809","1,978","1,191",206,122,54,147,177,55,79,33,49,146,119,133,237,83
2020년06월_계_20~29세,"5,517","2,239","1,327",244,114,64,143,189,71,106,54,79,166,159,194,235,133
2020년06월_계_30~39세,"4,542","1,643","1,234",196,96,84,121,138,54,85,55,76,142,144,185,162,127
2020년06월_계_40~49세,"7,383","2,785","1,736",362,209,110,230,251,110,137,66,112,257,230,280,329,179
2020년06월_계_50~59세,"11,105","3,730","1,936",657,397,269,399,456,210,263,185,251,419,435,563,574,361
2020년06월_계_60~69세,"12,728","3,488","1,680",912,565,361,463,631,352,419,294,427,651,591,736,612,546
2020년06월_계_70~79세,"9,479","2,226","1,106",603,483,315,463,570,287,402,235,369,588,514,567,393,358
2020년06월_계_80~89세,"6,287","1,164",737,453,286,222,335,328,217,300,194,291,388,426,388,285,273
2020년06월_계_90~99세,957,194,105,59,44,32,44,54,42,44,21,55,77,63,46,36,41
2020년06월_계_100세 이상,56,16,6,11,4,0,3,6,1,2,0,1,1,1,1,2,1
2020년06월_남_총인구수,"32,648","10,215","5,940","1,912","1,156",787,"1,168","1,397",679,911,582,826,"1,446","1,372","1,620","1,550","1,087"
2020년06월_남_연령구간인구수,"32,648","10,215","5,940","1,912","1,156",787,"1,168","1,397",679,911,582,826,"1,446","1,372","1,620","1,550","1,087"
2020년06월_남_0~9세,"1,637",606,524,56,24,29,36,47,15,28,14,15,47,47,51,62,36
2020년06월_남_10~19세,"2,527","1,040",605,97,83,33,73,96,25,42,22,27,82,67,74,121,40
2020년06월_남_20~29세,"3,197","1,317",700,161,74,43,83,107,48,64,36,44,100,86,108,143,83
2020년06월_남_30~39세,"2,468",851,609,118,54,53,73,80,36,55,33,48,82,85,112,101,78
2020년06월_남_40~49세,"4,021","1,416",912,209,125,62,136,134,62,84,42,58,152,156,175,187,111
2020년06월_남_50~59세,"5,775","1,881","1,013",354,200,135,197,243,106,138,102,132,234,220,300,327,193
2020년06월_남_60~69세,"6,346","1,657",833,457,265,198,239,294,178,213,139,214,340,323,374,327,295
2020년06월_남_70~79세,"4,232","1,005",470,284,219,148,208,257,121,167,117,169,252,220,265,182,148
2020년06월_남_80~89세,"2,207",400,249,158,104,76,113,123,76,107,75,106,142,148,146,90,94
2020년06월_남_90~99세,231,40,24,16,8,10,10,15,12,12,2,13,15,20,15,10,9
2020년06월_남_100세 이상,7,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2020년06월_여_총인구수,"33,271","10,362","6,105","1,898","1,213",776,"1,243","1,489",748,974,579,913,"1,495","1,391","1,580","1,429","1,076"
2020년06월_여_연령구간인구수,"33,271","10,362","6,105","1,898","1,213",776,"1,243","1,489",748,974,579,913,"1,495","1,391","1,580","1,429","1,076"
2020년06월_여_0~9세,"1,419",508,463,51,25,23,27,39,13,20,10,14,59,34,56,52,25
2020년06월_여_10~19세,"2,282",938,586,109,39,21,74,81,30,37,11,22,64,52,59,116,43
2020년06월_여_20~29세,"2,320",922,627,83,40,21,60,82,23,42,18,35,66,73,86,92,50
2020년06월_여_30~39세,"2,074",792,625,78,42,31,48,58,18,30,22,28,60,59,73,61,49
2020년06월_여_40~49세,"3,362","1,369",824,153,84,48,94,117,48,53,24,54,105,74,105,142,68
2020년06월_여_50~59세,"5,330","1,849",923,303,197,134,202,213,104,125,83,119,185,215,263,247,168
2020년06월_여_60~69세,"6,382","1,831",847,455,300,163,224,337,174,206,155,213,311,268,362,285,251
2020년06월_여_70~79세,"5,247","1,221",636,319,264,167,255,313,166,235,118,200,336,294,302,211,210
2020년06월_여_80~89세,"4,080",764,488,295,182,146,222,205,141,193,119,185,246,278,242,195,179
2020년06월_여_90~99세,726,154,81,43,36,22,34,39,30,32,19,42,62,43,31,26,32
2020년06월_여_100세 이상,49,14,5,9,4,0,3,5,1,1,0,1,1,1,1,2,1
