,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동
2020년03월_계_총인구수,"316,220","6,917","9,159","9,827","14,206","14,745","11,043","17,145","13,012","13,372","33,226","13,678","26,674","14,402","21,138","12,899","32,339","50,144","2,294"
2020년03월_계_연령구간인구수,"316,220","6,917","9,159","9,827","14,206","14,745","11,043","17,145","13,012","13,372","33,226","13,678","26,674","14,402","21,138","12,899","32,339","50,144","2,294"
2020년03월_계_0~9세,"25,366",329,373,422,735,937,947,982,"1,141",548,"3,110","1,112","2,579","1,104","1,651","1,139","3,245","4,938",74
2020년03월_계_10~19세,"32,484",556,652,604,955,"1,361","1,137","1,614","1,588",974,"4,260","1,263","3,293","1,224","2,027","1,561","4,311","5,002",102
2020년03월_계_20~29세,"40,986",966,"1,285","1,359","1,892","1,855","1,338","2,410","1,708","2,163","4,239","1,715","3,231","1,748","2,541","1,661","3,719","6,942",214
2020년03월_계_30~39세,"44,887",896,"1,071","1,234","2,052","1,877","1,400","2,075","1,735","1,841","4,127","2,422","3,193","2,700","3,126","2,137","4,209","8,551",241
2020년03월_계_40~49세,"54,770","1,027","1,318","1,445","2,017","2,446","1,861","2,587","2,479","1,948","6,215","2,411","5,135","2,535","3,659","2,518","6,293","8,629",247
2020년03월_계_50~59세,"52,552","1,311","1,756","1,885","2,476","2,572","1,870","3,112","2,164","2,798","5,484","2,192","4,461","2,164","3,303","1,942","4,834","7,767",461
2020년03월_계_60~69세,"37,898","1,019","1,513","1,570","2,338","2,077","1,451","2,588","1,301","1,931","3,541","1,521","2,897","1,541","2,477","1,141","3,478","5,014",500
2020년03월_계_70~79세,"18,356",550,841,925,"1,239","1,120",728,"1,225",619,768,"1,487",749,"1,259",815,"1,474",498,"1,509","2,287",263
2020년03월_계_80~89세,"7,670",230,310,335,419,440,263,483,230,342,655,266,530,487,764,268,608,872,168
2020년03월_계_90~99세,"1,112",30,36,44,65,54,41,62,45,50,100,26,88,71,108,33,116,126,17
2020년03월_계_100세 이상,139,3,4,4,18,6,7,7,2,9,8,1,8,13,8,1,17,16,7
2020년03월_남_총인구수,"156,128","3,488","4,446","4,792","6,917","7,273","5,468","8,497","6,373","6,924","16,282","6,850","13,334","6,850","10,037","6,275","15,802","25,222","1,298"
2020년03월_남_연령구간인구수,"156,128","3,488","4,446","4,792","6,917","7,273","5,468","8,497","6,373","6,924","16,282","6,850","13,334","6,850","10,037","6,275","15,802","25,222","1,298"
2020년03월_남_0~9세,"12,946",175,187,214,365,470,465,490,582,285,"1,584",569,"1,320",554,876,594,"1,636","2,538",42
2020년03월_남_10~19세,"16,711",312,314,324,457,714,578,820,814,507,"2,197",666,"1,679",628,"1,042",819,"2,224","2,553",63
2020년03월_남_20~29세,"21,453",531,665,724,"1,003","1,005",707,"1,289",884,"1,158","2,204",895,"1,744",869,"1,270",833,"1,927","3,626",119
2020년03월_남_30~39세,"22,730",503,592,647,"1,102",986,701,"1,093",842,"1,036","1,909","1,236","1,537","1,400","1,561","1,082","1,977","4,383",143
2020년03월_남_40~49세,"27,122",532,655,749,999,"1,255",923,"1,272","1,170","1,015","2,949","1,225","2,540","1,258","1,781","1,188","3,057","4,406",148
2020년03월_남_50~59세,"26,077",651,872,911,"1,192","1,240",939,"1,499","1,081","1,460","2,712","1,102","2,267","1,009","1,587",945,"2,393","3,936",281
2020년03월_남_60~69세,"18,084",482,661,694,"1,080",950,708,"1,257",646,982,"1,744",715,"1,472",660,"1,132",534,"1,669","2,413",285
2020년03월_남_70~79세,"8,187",222,383,394,554,489,353,581,261,340,725,349,591,318,542,193,699,"1,051",142
2020년03월_남_80~89세,"2,516",72,104,117,144,149,82,183,80,124,236,88,163,133,222,81,190,279,69
2020년03월_남_90~99세,267,8,13,16,16,13,11,12,13,14,19,5,20,17,23,6,26,31,4
2020년03월_남_100세 이상,35,0,0,2,5,2,1,1,0,3,3,0,1,4,1,0,4,6,2
2020년03월_여_총인구수,"160,092","3,429","4,713","5,035","7,289","7,472","5,575","8,648","6,639","6,448","16,944","6,828","13,340","7,552","11,101","6,624","16,537","24,922",996
2020년03월_여_연령구간인구수,"160,092","3,429","4,713","5,035","7,289","7,472","5,575","8,648","6,639","6,448","16,944","6,828","13,340","7,552","11,101","6,624","16,537","24,922",996
2020년03월_여_0~9세,"12,420",154,186,208,370,467,482,492,559,263,"1,526",543,"1,259",550,775,545,"1,609","2,400",32
2020년03월_여_10~19세,"15,773",244,338,280,498,647,559,794,774,467,"2,063",597,"1,614",596,985,742,"2,087","2,449",39
2020년03월_여_20~29세,"19,533",435,620,635,889,850,631,"1,121",824,"1,005","2,035",820,"1,487",879,"1,271",828,"1,792","3,316",95
2020년03월_여_30~39세,"22,157",393,479,587,950,891,699,982,893,805,"2,218","1,186","1,656","1,300","1,565","1,055","2,232","4,168",98
2020년03월_여_40~49세,"27,648",495,663,696,"1,018","1,191",938,"1,315","1,309",933,"3,266","1,186","2,595","1,277","1,878","1,330","3,236","4,223",99
2020년03월_여_50~59세,"26,475",660,884,974,"1,284","1,332",931,"1,613","1,083","1,338","2,772","1,090","2,194","1,155","1,716",997,"2,441","3,831",180
2020년03월_여_60~69세,"19,814",537,852,876,"1,258","1,127",743,"1,331",655,949,"1,797",806,"1,425",881,"1,345",607,"1,809","2,601",215
2020년03월_여_70~79세,"10,169",328,458,531,685,631,375,644,358,428,762,400,668,497,932,305,810,"1,236",121
2020년03월_여_80~89세,"5,154",158,206,218,275,291,181,300,150,218,419,178,367,354,542,187,418,593,99
2020년03월_여_90~99세,845,22,23,28,49,41,30,50,32,36,81,21,68,54,85,27,90,95,13
2020년03월_여_100세 이상,104,3,4,2,13,4,6,6,2,6,5,1,7,9,7,1,13,10,5
