카테고리,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2020년03월_계_총인구수,"313,733","6,662","73,607","4,263","20,878","19,836","21,210","5,603","6,614","3,224","4,530","20,234","9,598","7,105","37,115","18,166","25,900","29,188"
2020년03월_계_연령구간인구수,"313,733","6,662","73,607","4,263","20,878","19,836","21,210","5,603","6,614","3,224","4,530","20,234","9,598","7,105","37,115","18,166","25,900","29,188"
2020년03월_계_0~9세,"34,386",401,"9,727",228,"3,141","2,761","2,455",146,321,63,118,"1,779",949,282,"4,344","1,588","2,649","3,434"
2020년03월_계_10~19세,"34,224",512,"9,063",354,"2,828","1,653","1,390",286,411,131,204,"2,097",725,580,"4,854","2,452","3,067","3,617"
2020년03월_계_20~29세,"35,969",583,"9,095",301,"2,486","2,026","2,472",449,564,208,372,"2,380","1,106",999,"4,491","2,021","3,513","2,903"
2020년03월_계_30~39세,"49,824",675,"13,872",274,"4,071","3,804","4,588",389,688,183,328,"2,580","1,838",590,"5,525","2,073","3,911","4,435"
2020년03월_계_40~49세,"55,376",942,"13,975",610,"4,317","3,322","3,337",592,977,290,423,"3,485","1,515",960,"6,878","3,446","4,723","5,584"
2020년03월_계_50~59세,"45,456","1,180","9,212",786,"2,188","2,708","3,024","1,082","1,316",546,891,"3,248","1,337","1,505","5,274","3,034","3,869","4,256"
2020년03월_계_60~69세,"30,073","1,102","4,888",765,962,"1,975","2,129","1,190","1,079",759,928,"2,319","1,091","1,137","3,088","1,851","2,218","2,592"
2020년03월_계_70~79세,"17,595",726,"2,458",555,540,973,"1,108",820,689,574,732,"1,475",664,677,"1,746","1,073","1,305","1,480"
2020년03월_계_80~89세,"9,490",474,"1,161",337,298,528,611,564,504,414,483,773,306,319,817,541,561,799
2020년03월_계_90~99세,"1,224",63,143,48,46,84,93,80,61,47,48,90,53,46,92,78,73,79
2020년03월_계_100세 이상,116,4,13,5,1,2,3,5,4,9,3,8,14,10,6,9,11,9
2020년03월_남_총인구수,"162,614","3,473","37,857","2,204","11,241","10,646","11,845","2,958","3,658","1,683","2,329","10,538","5,024","3,585","18,509","9,287","13,325","14,452"
2020년03월_남_연령구간인구수,"162,614","3,473","37,857","2,204","11,241","10,646","11,845","2,958","3,658","1,683","2,329","10,538","5,024","3,585","18,509","9,287","13,325","14,452"
2020년03월_남_0~9세,"17,697",195,"5,015",117,"1,605","1,362","1,282",73,163,40,56,925,488,137,"2,254",841,"1,392","1,752"
2020년03월_남_10~19세,"17,583",263,"4,647",188,"1,472",866,688,164,214,62,100,"1,073",380,312,"2,453","1,286","1,613","1,802"
2020년03월_남_20~29세,"19,913",344,"4,818",184,"1,443","1,234","1,462",285,366,119,219,"1,342",578,569,"2,350","1,166","1,960","1,474"
2020년03월_남_30~39세,"26,550",407,"7,184",151,"2,079","2,092","2,765",239,446,123,191,"1,385","1,036",324,"2,748","1,068","2,086","2,226"
2020년03월_남_40~49세,"30,130",546,"7,383",341,"2,502","1,964","2,099",364,621,195,250,"1,896",864,482,"3,522","1,767","2,445","2,889"
2020년03월_남_50~59세,"24,462",638,"4,882",442,"1,316","1,469","1,698",610,779,312,511,"1,793",707,781,"2,718","1,607","1,982","2,217"
2020년03월_남_60~69세,"14,877",546,"2,394",386,471,"1,023","1,141",624,565,365,481,"1,179",543,541,"1,428",878,"1,073","1,239"
2020년03월_남_70~79세,"7,768",339,"1,096",266,240,456,488,375,307,289,325,649,299,301,730,464,555,589
2020년03월_남_80~89세,"3,320",179,395,117,105,167,205,204,180,163,185,271,115,123,281,182,205,243
