카테고리,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2020년01월_계_총인구수,"2,662,508","506,494","235,006","271,488","255,253","140,991","159,844","419,761","104,985","102,163","99,814","71,889","263,229","23,821","52,674","25,439","16,999","37,233","42,923","32,296","43,975","116,772","55,192","32,052","49,188","9,521"
2020년01월_계_연령구간인구수,"2,662,508","506,494","235,006","271,488","255,253","140,991","159,844","419,761","104,985","102,163","99,814","71,889","263,229","23,821","52,674","25,439","16,999","37,233","42,923","32,296","43,975","116,772","55,192","32,052","49,188","9,521"
2020년01월_계_0~9세,"199,154","41,645","18,829","22,816","16,887","10,935","11,155","43,360","6,555","5,873","5,420","4,141","21,599",752,"2,016","1,050",789,"1,829","1,598","1,587","2,019","10,346","4,638","1,501","3,013",446
2020년01월_계_10~19세,"234,724","48,279","22,022","26,257","21,926","12,180","14,160","46,705","9,347","6,928","8,121","5,866","23,398","1,033","2,478","1,307","1,020","2,209","2,433","2,188","2,470","11,909","4,342","1,954","3,962",509
2020년01월_계_20~29세,"293,166","58,129","27,358","30,771","27,846","15,025","16,937","58,378","10,057","10,626","8,892","6,334","35,844","1,689","3,438","1,872","1,209","2,647","3,056","2,773","3,790","12,855","4,151","2,170","4,556",892
2020년01월_계_30~39세,"304,966","61,767","28,757","33,010","26,434","15,910","16,072","68,136","9,117","9,699","7,979","6,112","34,476","1,497","3,480","1,816","1,110","2,694","3,014","2,541","3,499","16,359","5,631","2,117","4,533",973
2020년01월_계_40~49세,"391,303","78,640","36,575","42,065","37,821","19,657","22,799","73,650","14,365","13,019","12,104","8,962","41,872","2,293","4,931","2,506","1,825","4,127","4,607","4,068","4,961","20,844","6,977","3,397","6,512","1,366"
2020년01월_계_50~59세,"464,755","91,622","42,718","48,904","47,083","23,999","27,017","68,997","18,406","18,410","17,488","12,339","44,592","4,532","9,185","4,832","3,074","6,419","7,654","6,130","8,843","19,209","8,151","5,985","8,813","1,975"
2020년01월_계_60~69세,"387,775","74,095","34,862","39,233","38,993","20,954","24,377","36,083","17,742","17,871","17,683","12,880","32,815","5,133","11,364","5,308","3,299","7,143","9,323","6,049","8,854","12,836","8,956","6,504","7,749","1,764"
2020년01월_계_70~79세,"238,260","35,657","16,616","19,041","24,004","13,360","16,640","15,550","11,778","12,252","12,738","9,202","18,822","4,045","9,027","4,078","2,760","6,052","6,488","4,069","5,698","7,560","6,910","4,825","5,730","1,015"
2020년01월_계_80~89세,"130,048","14,541","6,368","8,173","12,573","7,859","9,258","7,746","6,613","6,729","8,147","5,236","8,774","2,540","5,952","2,359","1,670","3,608","4,164","2,580","3,366","4,230","4,777","3,106","3,719",501
2020년01월_계_90~99세,"17,417","2,021",851,"1,170","1,596","1,060","1,366","1,109",953,717,"1,189",758,967,293,762,291,216,477,564,304,452,582,624,465,582,69
2020년01월_계_100세 이상,940,98,50,48,90,52,63,47,52,39,53,59,70,14,41,20,27,28,22,7,23,42,35,28,19,11
2020년01월_남_총인구수,"1,340,346","255,926","120,990","134,936","127,829","70,637","79,122","215,196","52,016","51,918","48,984","35,202","132,584","12,150","25,792","12,715","8,422","17,704","21,058","16,510","22,709","60,910","27,066","16,119","24,587","5,190"
2020년01월_남_연령구간인구수,"1,340,346","255,926","120,990","134,936","127,829","70,637","79,122","215,196","52,016","51,918","48,984","35,202","132,584","12,150","25,792","12,715","8,422","17,704","21,058","16,510","22,709","60,910","27,066","16,119","24,587","5,190"
2020년01월_남_0~9세,"102,701","21,558","9,729","11,829","8,630","5,647","5,866","22,410","3,404","2,991","2,811","2,157","11,017",404,"1,049",542,411,922,829,801,"1,010","5,348","2,337",801,"1,526",230
2020년01월_남_10~19세,"123,702","25,396","11,619","13,777","11,482","6,477","7,406","24,404","4,881","3,749","4,352","3,165","12,238",571,"1,287",704,528,"1,154","1,235","1,187","1,388","6,305","2,319","1,054","2,166",254
2020년01월_남_20~29세,"164,749","33,084","15,892","17,192","15,729","8,394","9,300","31,991","5,867","6,295","5,104","3,522","19,680",995,"1,981","1,108",699,"1,531","1,798","1,560","2,203","7,158","2,321","1,235","2,657",537
2020년01월_남_30~39세,"162,265","32,455","15,457","16,998","14,009","8,435","8,282","36,207","4,857","5,295","4,338","3,274","18,389",846,"1,919","1,075",603,"1,391","1,609","1,389","1,915","8,987","2,803","1,146","2,465",576
2020년01월_남_40~49세,"204,347","39,466","18,871","20,595","19,792","10,401","11,884","37,108","7,440","7,120","6,428","4,812","21,381","1,367","2,898","1,440","1,087","2,322","2,580","2,290","2,973","11,249","3,856","1,989","3,618",846
2020년01월_남_50~59세,"239,799","45,924","22,119","23,805","24,283","12,475","13,739","35,354","9,333","9,734","9,138","6,299","22,469","2,529","4,969","2,520","1,659","3,356","4,010","3,405","4,815","10,488","4,259","3,186","4,725","1,130"
2020년01월_남_60~69세,"191,877","36,499","17,297","19,202","19,088","10,275","11,819","18,390","8,522","8,952","8,590","6,200","16,006","2,664","5,648","2,648","1,636","3,383","4,667","3,171","4,601","6,636","4,376","3,392","3,783",931
2020년01월_남_70~79세,"104,680","16,491","7,834","8,657","10,534","5,712","7,333","6,758","5,198","5,391","5,395","3,962","8,201","1,845","3,903","1,772","1,197","2,405","2,929","1,771","2,601","3,202","3,057","2,123","2,432",468
2020년01월_남_80~89세,"42,408","4,667","2,017","2,650","3,938","2,583","3,169","2,361","2,290","2,215","2,584","1,642","2,976",868,"1,961",840,542,"1,133","1,280",859,"1,091","1,395","1,610","1,082","1,127",195
2020년01월_남_90~99세,"3,620",358,139,219,324,228,310,207,212,163,236,155,214,60,169,61,54,100,120,73,107,135,124,106,86,18
2020년01월_남_100세 이상,198,28,16,12,20,10,14,6,12,13,8,14,13,1,8,5,6,7,1,4,5,7,4,5,2,5
