카테고리,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2020년01월_계_총인구수,"9,733,509","151,215","126,201","229,385","300,410","351,263","346,080","396,755","442,471","313,705","332,753","532,662","479,457","310,353","373,951","457,887","591,599","406,751","233,066","367,916","395,636","499,869","431,050","545,938","676,341","440,795"
2020년01월_계_연령구간인구수,"9,733,509","151,215","126,201","229,385","300,410","351,263","346,080","396,755","442,471","313,705","332,753","532,662","479,457","310,353","373,951","457,887","591,599","406,751","233,066","367,916","395,636","499,869","431,050","545,938","676,341","440,795"
2020년01월_계_0~9세,"660,410","8,182","7,346","14,127","21,815","21,484","21,998","24,518","30,758","17,325","20,492","35,664","31,457","20,473","26,370","33,101","43,742","30,392","13,696","25,303","26,445","24,804","35,903","38,734","53,456","32,825"
2020년01월_계_10~19세,"816,346","11,714","7,294","16,395","21,302","27,382","25,087","28,368","38,948","23,475","27,411","56,546","40,443","24,592","29,583","52,430","47,111","31,384","15,701","24,722","29,253","30,494","45,892","60,401","61,511","38,907"
2020년01월_계_20~29세,"1,457,376","23,442","18,465","32,991","45,891","61,836","55,081","56,209","66,322","43,382","44,909","74,446","65,952","48,918","60,761","60,828","87,436","55,667","36,362","56,789","66,395","107,649","56,518","75,871","95,851","59,405"
2020년01월_계_30~39세,"1,507,127","20,356","20,575","38,086","50,723","58,135","51,328","59,297","61,794","40,734","43,112","67,174","69,358","44,937","65,509","59,517","102,806","64,547","35,694","65,931","63,887","88,627","66,532","85,483","114,515","68,470"
2020년01월_계_40~49세,"1,562,505","23,030","18,551","36,263","47,086","54,418","52,427","59,286","72,461","48,885","50,921","89,818","78,154","48,172","62,471","80,716","93,357","64,514","34,199","55,607","60,445","70,776","78,736","100,391","110,834","70,987"
2020년01월_계_50~59세,"1,539,740","25,710","20,932","36,595","48,403","55,590","54,549","70,742","69,926","53,550","58,438","88,884","77,268","49,573","54,258","77,333","88,931","63,860","41,286","56,131","59,199","69,477","62,874","80,401","104,410","71,420"
2020년01월_계_60~69세,"1,194,854","19,236","17,016","27,599","35,307","40,640","44,950","55,258","53,168","44,382","47,617","65,280","61,384","36,955","38,184","54,699","73,920","53,617","31,646","44,664","47,640","57,657","46,667","58,005","80,961","58,402"
2020년01월_계_70~79세,"687,085","12,563","10,407","17,192","20,461","22,020","28,006","30,438","33,351","29,673","27,166","36,683","38,279","24,239","24,396","27,266","37,751","30,643","17,545","26,394","29,206","36,348","26,657","33,036","38,698","28,667"
