카테고리,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2020년03월_계_총인구수,"268,766","3,268","4,772","3,509","2,724","2,627","5,174","3,094","2,996","2,275","3,588","3,151","2,455","5,936","7,489","5,874","2,907","12,961","21,163","7,679","5,524","2,985","55,932","13,237","24,296","33,143","17,072","12,935"
2020년03월_계_연령구간인구수,"268,766","3,268","4,772","3,509","2,724","2,627","5,174","3,094","2,996","2,275","3,588","3,151","2,455","5,936","7,489","5,874","2,907","12,961","21,163","7,679","5,524","2,985","55,932","13,237","24,296","33,143","17,072","12,935"
2020년03월_계_0~9세,"22,010",101,580,187,73,80,180,84,99,57,118,139,129,236,398,184,81,"1,122","2,372",428,339,168,"7,117",736,"1,905","2,926","1,332",839
2020년03월_계_10~19세,"27,417",134,381,363,119,111,248,166,157,110,194,145,142,443,672,352,109,"1,162","1,982",528,481,265,"7,765","1,271","3,036","4,434","1,697",950
2020년03월_계_20~29세,"29,611",246,413,256,237,181,368,282,260,147,367,259,184,515,814,610,203,"1,436","2,430",753,577,328,"6,600","1,689","2,997","4,212","1,846","1,401"
2020년03월_계_30~39세,"31,913",219,721,230,156,170,401,192,199,126,286,265,238,520,655,442,232,"1,759","3,563",806,581,265,"8,174","1,433","2,363","3,900","2,269","1,748"
2020년03월_계_40~49세,"44,204",331,731,509,268,247,564,326,311,247,547,395,289,778,"1,027",658,340,"2,002","3,451","1,131",735,390,"10,992","1,920","4,045","6,385","3,250","2,335"
2020년03월_계_50~59세,"44,109",605,706,569,509,474,854,632,616,413,782,477,384,"1,035","1,168","1,001",493,"2,062","3,010","1,277","1,020",514,"7,805","2,482","4,191","5,518","3,108","2,404"
2020년03월_계_60~69세,"36,059",697,593,589,599,575,"1,126",655,629,498,702,612,502,"1,160","1,324","1,176",680,"1,748","2,464","1,397",998,518,"4,342","2,132","3,175","3,269","2,107","1,792"
2020년03월_계_70~79세,"22,020",555,367,450,431,414,833,456,446,380,400,544,422,849,"1,006",959,539,"1,185","1,309",977,562,337,"2,162","1,108","1,640","1,701","1,015",973
2020년03월_계_80~89세,"9,856",321,246,306,265,310,504,263,234,253,171,267,138,343,376,429,195,434,512,335,197,170,840,402,833,711,370,431
2020년03월_계_90~99세,"1,454",54,34,50,63,59,89,34,44,41,18,42,20,46,44,58,33,48,67,43,33,28,130,63,109,82,67,55
2020년03월_계_100세 이상,113,5,0,0,4,6,7,4,1,3,3,6,7,11,5,5,2,3,3,4,1,2,5,1,2,5,11,7
2020년03월_남_총인구수,"135,745","1,673","2,439","1,800","1,372","1,325","2,578","1,564","1,517","1,180","2,008","1,593","1,191","2,973","3,721","2,880","1,514","6,543","10,783","3,861","2,783","1,537","27,758","6,618","11,771","16,528","9,250","6,985"
2020년03월_남_연령구간인구수,"135,745","1,673","2,439","1,800","1,372","1,325","2,578","1,564","1,517","1,180","2,008","1,593","1,191","2,973","3,721","2,880","1,514","6,543","10,783","3,861","2,783","1,537","27,758","6,618","11,771","16,528","9,250","6,985"
2020년03월_남_0~9세,"11,204",51,297,96,39,44,90,42,42,36,58,73,61,124,212,95,49,597,"1,235",210,172,77,"3,600",383,934,"1,468",702,417
2020년03월_남_10~19세,"14,228",75,186,198,65,54,139,90,83,60,109,76,67,229,341,174,49,603,"1,052",281,251,157,"4,016",681,"1,526","2,285",883,498
2020년03월_남_20~29세,"16,119",153,234,141,140,112,207,168,163,83,217,152,90,288,460,364,114,765,"1,280",411,333,198,"3,438",943,"1,597","2,252","1,014",802
2020년03월_남_30~39세,"16,677",135,354,119,92,107,215,104,102,72,189,146,126,285,345,242,145,928,"1,871",470,310,150,"3,899",778,"1,164","1,983","1,316","1,030"
2020년03월_남_40~49세,"23,175",202,417,298,170,159,349,183,169,151,358,236,166,417,538,369,223,"1,069","1,801",633,374,196,"5,405",932,"1,896","3,190","1,863","1,411"
2020년03월_남_50~59세,"23,034",332,378,334,273,264,490,337,318,247,435,266,190,556,583,504,270,"1,058","1,522",651,476,263,"4,053","1,214","2,121","2,778","1,746","1,375"
2020년03월_남_60~69세,"17,817",351,315,316,314,303,535,341,336,260,397,303,240,547,610,546,317,823,"1,199",639,515,256,"2,104","1,039","1,560","1,596","1,140",915
2020년03월_남_70~79세,"9,834",253,174,183,193,175,361,215,214,181,181,246,195,375,481,407,270,518,637,424,269,159,943,496,694,719,456,415
2020년03월_남_80~89세,"3,330",110,80,107,73,91,170,83,78,80,58,82,48,136,140,163,70,173,174,130,79,72,273,140,256,237,113,114
2020년03월_남_90~99세,293,9,4,8,13,14,21,1,12,9,4,12,5,12,10,14,7,8,12,10,3,8,25,11,23,18,12,8
2020년03월_남_100세 이상,34,2,0,0,0,2,1,0,0,1,2,1,3,4,1,2,0,1,0,2,1,1,2,1,0,2,5,0
2020년03월_여_총인구수,"133,021","1,595","2,333","1,709","1,352","1,302","2,596","1,530","1,479","1,095","1,580","1,558","1,264","2,963","3,768","2,994","1,393","6,418","10,380","3,818","2,741","1,448","28,174","6,619","12,525","16,615","7,822","5,950"
2020년03월_여_연령구간인구수,"133,021","1,595","2,333","1,709","1,352","1,302","2,596","1,530","1,479","1,095","1,580","1,558","1,264","2,963","3,768","2,994","1,393","6,418","10,380","3,818","2,741","1,448","28,174","6,619","12,525","16,615","7,822","5,950"
2020년03월_여_0~9세,"10,806",50,283,91,34,36,90,42,57,21,60,66,68,112,186,89,32,525,"1,137",218,167,91,"3,517",353,971,"1,458",630,422
2020년03월_여_10~19세,"13,189",59,195,165,54,57,109,76,74,50,85,69,75,214,331,178,60,559,930,247,230,108,"3,749",590,"1,510","2,149",814,452
2020년03월_여_20~29세,"13,492",93,179,115,97,69,161,114,97,64,150,107,94,227,354,246,89,671,"1,150",342,244,130,"3,162",746,"1,400","1,960",832,599
2020년03월_여_30~39세,"15,236",84,367,111,64,63,186,88,97,54,97,119,112,235,310,200,87,831,"1,692",336,271,115,"4,275",655,"1,199","1,917",953,718
2020년03월_여_40~49세,"21,029",129,314,211,98,88,215,143,142,96,189,159,123,361,489,289,117,933,"1,650",498,361,194,"5,587",988,"2,149","3,195","1,387",924
2020년03월_여_50~59세,"21,075",273,328,235,236,210,364,295,298,166,347,211,194,479,585,497,223,"1,004","1,488",626,544,251,"3,752","1,268","2,070","2,740","1,362","1,029"
2020년03월_여_60~69세,"18,242",346,278,273,285,272,591,314,293,238,305,309,262,613,714,630,363,925,"1,265",758,483,262,"2,238","1,093","1,615","1,673",967,877
2020년03월_여_70~79세,"12,186",302,193,267,238,239,472,241,232,199,219,298,227,474,525,552,269,667,672,553,293,178,"1,219",612,946,982,559,558
2020년03월_여_80~89세,"6,526",211,166,199,192,219,334,180,156,173,113,185,90,207,236,266,125,261,338,205,118,98,567,262,577,474,257,317
2020년03월_여_90~99세,"1,161",45,30,42,50,45,68,33,32,32,14,30,15,34,34,44,26,40,55,33,30,20,105,52,86,64,55,47
2020년03월_여_100세 이상,79,3,0,0,4,4,6,4,1,2,1,5,4,7,4,3,2,2,3,2,0,1,3,0,2,3,6,7
