,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3.4동,대구광역시 동구 공산동
2020년03월_계_총인구수,"343,933","7,947","11,390","8,953","13,576","6,692","13,545","12,776","7,716","14,455","15,162","4,259","26,997","10,375","16,233","18,767","15,596","44,394","10,370","69,405","15,325"
2020년03월_계_연령구간인구수,"343,933","7,947","11,390","8,953","13,576","6,692","13,545","12,776","7,716","14,455","15,162","4,259","26,997","10,375","16,233","18,767","15,596","44,394","10,370","69,405","15,325"
2020년03월_계_0~9세,"26,347",297,"1,150",737,490,244,905,"1,001",180,574,811,206,"2,784",424,907,989,832,"4,115",579,"8,416",706
2020년03월_계_10~19세,"27,387",490,876,584,765,430,973,"1,080",383,926,"1,094",280,"2,753",618,998,"1,417",985,"3,781",625,"7,165","1,164"
2020년03월_계_20~29세,"42,031",873,"1,102","1,007","1,932",826,"1,538","1,684","1,325","1,867","1,941",629,"2,981","1,391","2,186","2,488","1,958","5,447","1,311","8,007","1,538"
2020년03월_계_30~39세,"45,111",739,"1,605","1,308","1,568",591,"1,648","1,679","1,080","1,471","1,745",474,"3,670","1,034","2,004","1,884","1,725","6,123","1,200","12,238","1,325"
2020년03월_계_40~49세,"51,917","1,009","1,951","1,231","1,873",889,"2,013","2,001","1,029","1,806","2,184",524,"4,669","1,298","2,088","2,418","2,039","6,977","1,338","12,447","2,133"
2020년03월_계_50~59세,"57,728","1,436","1,642","1,433","2,689","1,273","2,226","2,245","1,358","2,704","2,609",752,"4,286","2,132","3,094","3,673","2,928","7,223","2,058","9,123","2,844"
2020년03월_계_60~69세,"49,755","1,434","1,509","1,381","2,341","1,246","2,061","1,606","1,260","2,608","2,551",700,"3,384","1,914","2,698","3,151","2,707","5,999","1,753","6,754","2,698"
2020년03월_계_70~79세,"29,667","1,105","1,051",836,"1,365",808,"1,456",967,735,"1,721","1,498",462,"1,704","1,085","1,555","1,827","1,674","3,156","1,060","3,715","1,887"
2020년03월_계_80~89세,"12,422",500,440,381,481,353,654,451,327,693,636,215,679,431,625,827,665,"1,388",392,"1,364",920
2020년03월_계_90~99세,"1,442",58,54,52,62,28,64,53,35,75,84,17,82,43,76,86,81,178,48,163,103
2020년03월_계_100세 이상,126,6,10,3,10,4,7,9,4,10,9,0,5,5,2,7,2,7,6,13,7
2020년03월_남_총인구수,"169,683","3,947","5,425","4,398","6,873","3,207","6,551","6,343","3,876","7,178","7,313","2,267","13,293","5,145","8,153","9,086","7,868","21,710","5,270","34,230","7,550"
2020년03월_남_연령구간인구수,"169,683","3,947","5,425","4,398","6,873","3,207","6,551","6,343","3,876","7,178","7,313","2,267","13,293","5,145","8,153","9,086","7,868","21,710","5,270","34,230","7,550"
