,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2020년03월_계_총인구수,"1,538,577","281,688","351,154","213,143","90,263","43,411","81,689","66,088","68,630","46,307","38,938","41,817","37,044","45,220","24,646","22,301","31,461","27,064","27,713"
2020년03월_계_연령구간인구수,"1,538,577","281,688","351,154","213,143","90,263","43,411","81,689","66,088","68,630","46,307","38,938","41,817","37,044","45,220","24,646","22,301","31,461","27,064","27,713"
2020년03월_계_0~9세,"108,429","22,161","28,836","13,933","6,813","2,775","5,944","4,014","3,908","2,232","1,738","1,987","1,824","3,391","1,852","1,796","2,540","1,306","1,379"
2020년03월_계_10~19세,"141,217","27,705","36,492","19,832","8,971","3,936","7,625","5,308","5,358","3,541","2,987","3,023","2,648","3,945","1,841","2,035","2,318","1,724","1,928"
2020년03월_계_20~29세,"179,347","37,000","45,181","25,110","9,349","3,732","8,849","7,497","6,479","3,944","3,360","3,417","2,872","6,046","3,826","3,116","4,142","3,035","2,392"
2020년03월_계_30~39세,"169,113","34,663","45,403","22,038","9,445","4,083","9,268","6,125","6,219","3,608","2,939","3,298","3,319","4,810","2,824","2,587","3,882","2,234","2,368"
2020년03월_계_40~49세,"227,123","42,780","57,606","32,746","14,762","6,609","12,553","9,161","8,429","5,194","4,826","5,479","5,019","5,877","2,799","2,599","3,958","3,163","3,563"
2020년03월_계_50~59세,"269,104","47,003","60,081","36,769","15,632","7,569","15,127","11,608","12,967","8,926","7,497","8,213","7,196","7,419","4,005","3,650","5,383","4,976","5,083"
2020년03월_계_60~69세,"228,447","36,172","42,640","32,161","13,165","7,496","11,959","10,730","13,088","9,607","7,744","8,441","7,133","6,389","3,522","3,175","4,823","4,961","5,241"
2020년03월_계_70~79세,"135,644","21,179","21,552","19,369","8,003","4,866","6,705","7,191","7,311","5,624","4,892","5,029","4,539","4,820","2,477","2,078","2,753","3,569","3,687"
2020년03월_계_80~89세,"68,707","11,103","11,534","9,517","3,615","2,034","3,039","3,864","4,238","3,105","2,572","2,543","2,110","2,135","1,291","1,102","1,420","1,742","1,743"
