카테고리,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2020년01월_계_총인구수,"347,489","8,538","4,234","6,891","2,325","1,989","2,702","1,650","1,531","1,508","3,365","21,795","4,866","1,646","4,184","1,129","2,251","28,684","11,043","11,772","14,843","20,763","25,856","12,212","27,173","28,542","12,231","12,667","22,095","24,019","24,985"
2020년01월_계_연령구간인구수,"347,489","8,538","4,234","6,891","2,325","1,989","2,702","1,650","1,531","1,508","3,365","21,795","4,866","1,646","4,184","1,129","2,251","28,684","11,043","11,772","14,843","20,763","25,856","12,212","27,173","28,542","12,231","12,667","22,095","24,019","24,985"
2020년01월_계_0~9세,"29,491",679,411,780,48,46,110,29,35,41,79,"2,416",297,23,164,28,58,"1,763",535,412,708,"1,225","1,574",841,"3,572","2,318",736,787,"2,775","2,190","4,811"
2020년01월_계_10~19세,"36,123",722,480,430,126,68,198,55,48,76,169,"2,969",423,66,218,56,112,"2,743",796,711,"1,170","1,804","2,789","1,168","4,070","3,809","1,197","1,394","3,043","2,553","2,660"
2020년01월_계_20~29세,"44,886",895,412,866,169,154,232,75,87,112,244,"2,320",459,85,388,116,141,"4,348","1,434","1,201","1,984","3,018","3,992","1,591","3,360","4,214","1,740","1,710","2,467","4,306","2,766"
2020년01월_계_30~39세,"42,566",997,447,"1,297",151,135,212,80,84,82,193,"2,673",419,64,276,55,113,"2,922","1,376",981,"1,462","2,362","2,816","1,524","3,956","3,137","1,285","1,197","2,922","3,543","5,805"
2020년01월_계_40~49세,"55,204","1,130",710,918,196,166,324,123,160,156,325,"4,047",698,132,454,108,240,"4,301","1,646","1,504","2,083","3,071","4,072","1,884","5,335","5,062","1,701","1,926","4,197","3,902","4,633"
2020년01월_계_50~59세,"57,886","1,478",682,"1,091",420,373,504,314,228,259,601,"3,369",890,306,804,210,439,"4,723","1,872","2,132","2,805","3,839","5,199","2,181","3,925","5,230","2,213","2,463","3,272","3,576","2,488"
2020년01월_계_60~69세,"42,863","1,326",566,811,453,466,483,379,340,294,651,"2,216",783,347,934,230,454,"3,875","1,789","2,395","2,379","3,026","3,305","1,767","1,771","2,601","1,862","1,799","2,006","2,314","1,241"
2020년01월_계_70~79세,"25,033",793,324,433,429,297,371,321,311,265,617,"1,138",544,336,574,171,389,"2,712","1,063","1,689","1,521","1,741","1,444",909,780,"1,367",995,960,971,"1,158",410
2020년01월_계_80~89세,"11,736",441,178,222,285,250,238,240,215,182,421,571,308,250,323,127,277,"1,127",462,647,653,612,589,299,359,709,439,362,392,417,141
2020년01월_계_90~99세,"1,618",74,21,39,48,32,29,34,23,40,63,74,44,36,47,26,27,156,64,86,76,64,72,46,40,95,62,65,48,58,29
2020년01월_계_100세 이상,83,3,3,4,0,2,1,0,0,1,2,2,1,1,2,2,1,14,6,14,2,1,4,2,5,0,1,4,2,2,1
2020년01월_남_총인구수,"171,917","4,318","2,117","3,509","1,104",965,"1,319",825,758,752,"1,669","10,930","2,425",798,"2,082",538,"1,096","14,117","5,448","5,726","7,292","10,285","12,972","6,213","13,790","13,723","5,838","6,268","10,575","12,046","12,419"
2020년01월_남_연령구간인구수,"171,917","4,318","2,117","3,509","1,104",965,"1,319",825,758,752,"1,669","10,930","2,425",798,"2,082",538,"1,096","14,117","5,448","5,726","7,292","10,285","12,972","6,213","13,790","13,723","5,838","6,268","10,575","12,046","12,419"
