카테고리,울산광역시 남구,울산광역시 남구 신정1동,울산광역시 남구 신정2동,울산광역시 남구 신정3동,울산광역시 남구 신정4동,울산광역시 남구 신정5동,울산광역시 남구 달동,울산광역시 남구 삼산동,울산광역시 남구 삼호동,울산광역시 남구 무거동,울산광역시 남구 옥동,울산광역시 남구 대현동,울산광역시 남구 수암동,울산광역시 남구 선암동,울산광역시 남구 야음장생포동
2020년01월_계_총인구수,"323,704","19,172","25,361","16,375","23,286","8,859","27,833","49,205","21,983","33,163","25,005","31,170","16,790","15,190","10,312"
2020년01월_계_연령구간인구수,"323,704","19,172","25,361","16,375","23,286","8,859","27,833","49,205","21,983","33,163","25,005","31,170","16,790","15,190","10,312"
2020년01월_계_0~9세,"24,815",921,"2,012","1,332","1,978",473,"1,746","3,814","1,333","2,387","1,853","3,681","1,557","1,323",405
2020년01월_계_10~19세,"32,320","1,153","3,272","1,253","2,539",616,"2,313","4,657","1,952","3,911","3,367","3,383","1,899","1,414",591
2020년01월_계_20~29세,"46,877","2,679","3,540","2,143","3,222","1,393","4,228","7,907","3,465","5,870","3,532","3,606","2,349","1,928","1,015"
2020년01월_계_30~39세,"43,226","2,337","2,952","2,097","3,072","1,287","4,041","7,924","2,452","3,795","2,642","5,027","2,319","2,186","1,095"
2020년01월_계_40~49세,"53,234","2,529","4,507","2,572","3,949","1,382","4,293","8,641","3,373","5,633","4,238","5,486","2,693","2,511","1,427"
2020년01월_계_50~59세,"62,505","3,932","4,846","3,308","4,142","1,773","5,535","9,246","4,860","6,721","5,143","4,959","3,239","2,796","2,005"
2020년01월_계_60~69세,"39,045","3,437","2,652","2,283","2,767","1,208","3,649","4,947","2,844","3,100","2,845","3,263","1,907","1,984","2,159"
2020년01월_계_70~79세,"15,737","1,618","1,177",992,"1,191",547,"1,396","1,525","1,199","1,229","1,010","1,319",595,742,"1,197"
2020년01월_계_80~89세,"5,270",502,346,341,370,158,568,481,455,461,332,404,200,278,374
2020년01월_계_90~99세,642,59,55,50,53,22,60,59,50,55,43,39,31,25,41
2020년01월_계_100세 이상,33,5,2,4,3,0,4,4,0,1,0,3,1,3,3
2020년01월_남_총인구수,"164,993","9,766","13,043","8,353","11,731","4,724","14,033","25,377","11,205","16,960","12,505","15,622","8,426","7,765","5,483"
2020년01월_남_연령구간인구수,"164,993","9,766","13,043","8,353","11,731","4,724","14,033","25,377","11,205","16,960","12,505","15,622","8,426","7,765","5,483"
2020년01월_남_0~9세,"12,769",468,"1,073",707,"1,006",250,910,"1,934",750,"1,221",939,"1,854",789,674,194
2020년01월_남_10~19세,"17,077",589,"1,793",664,"1,316",327,"1,213","2,426","1,025","2,060","1,872","1,746","1,003",719,324
2020년01월_남_20~29세,"26,170","1,529","2,024","1,174","1,784",796,"2,356","4,376","1,943","3,337","2,012","1,933","1,264","1,053",589
2020년01월_남_30~39세,"22,797","1,357","1,487","1,092","1,567",751,"2,201","4,240","1,334","2,032","1,279","2,481","1,155","1,156",665
2020년01월_남_40~49세,"25,859","1,341","2,105","1,305","1,927",735,"2,098","4,182","1,622","2,581","1,839","2,727","1,248","1,283",866
2020년01월_남_50~59세,"31,509","1,933","2,526","1,681","2,095",914,"2,653","4,707","2,447","3,399","2,504","2,500","1,634","1,392","1,124"
2020년01월_남_60~69세,"19,453","1,627","1,327","1,108","1,333",619,"1,786","2,564","1,401","1,587","1,455","1,605",980,"1,032","1,029"
2020년01월_남_70~79세,"7,485",744,584,475,556,273,635,779,541,582,493,621,285,361,556
2020년01월_남_80~89세,"1,755",168,115,136,135,55,170,159,134,152,104,147,64,90,126
2020년01월_남_90~99세,109,9,8,9,11,4,10,9,8,9,8,8,4,2,10
2020년01월_남_100세 이상,10,1,1,2,1,0,1,1,0,0,0,0,0,3,0
2020년01월_여_총인구수,"158,711","9,406","12,318","8,022","11,555","4,135","13,800","23,828","10,778","16,203","12,500","15,548","8,364","7,425","4,829"
2020년01월_여_연령구간인구수,"158,711","9,406","12,318","8,022","11,555","4,135","13,800","23,828","10,778","16,203","12,500","15,548","8,364","7,425","4,829"
2020년01월_여_0~9세,"12,046",453,939,625,972,223,836,"1,880",583,"1,166",914,"1,827",768,649,211
2020년01월_여_10~19세,"15,243",564,"1,479",589,"1,223",289,"1,100","2,231",927,"1,851","1,495","1,637",896,695,267
2020년01월_여_20~29세,"20,707","1,150","1,516",969,"1,438",597,"1,872","3,531","1,522","2,533","1,520","1,673","1,085",875,426
2020년01월_여_30~39세,"20,429",980,"1,465","1,005","1,505",536,"1,840","3,684","1,118","1,763","1,363","2,546","1,164","1,030",430
2020년01월_여_40~49세,"27,375","1,188","2,402","1,267","2,022",647,"2,195","4,459","1,751","3,052","2,399","2,759","1,445","1,228",561
2020년01월_여_50~59세,"30,996","1,999","2,320","1,627","2,047",859,"2,882","4,539","2,413","3,322","2,639","2,459","1,605","1,404",881
2020년01월_여_60~69세,"19,592","1,810","1,325","1,175","1,434",589,"1,863","2,383","1,443","1,513","1,390","1,658",927,952,"1,130"
2020년01월_여_70~79세,"8,252",874,593,517,635,274,761,746,658,647,517,698,310,381,641
2020년01월_여_80~89세,"3,515",334,231,205,235,103,398,322,321,309,228,257,136,188,248
2020년01월_여_90~99세,533,50,47,41,42,18,50,50,42,46,35,31,27,23,31
2020년01월_여_100세 이상,23,4,1,2,2,0,3,3,0,1,0,3,1,0,3
