,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2020년03월_계_총인구수,"452,646","31,842","27,516","26,440","17,547","26,644","21,030","36,178","15,469","18,460","27,911","34,925","26,997","20,336","24,401","23,577","45,731",266,"27,376"
2020년03월_계_연령구간인구수,"452,646","31,842","27,516","26,440","17,547","26,644","21,030","36,178","15,469","18,460","27,911","34,925","26,997","20,336","24,401","23,577","45,731",266,"27,376"
2020년03월_계_0~9세,"34,715","2,659","3,527","2,155","1,194","3,311","2,374","2,351","1,453","2,126","1,561","1,862","1,468","1,610","1,159","1,359","2,621",7,"1,918"
2020년03월_계_10~19세,"39,594","4,474","2,881","2,684","2,575","3,446","1,866","2,825","1,075","1,943","1,919","1,977","1,398","1,801","1,285","1,948","3,137",8,"2,352"
2020년03월_계_20~29세,"60,598","3,921","2,959","3,302","2,227","2,562","2,325","4,966","2,032","1,999","3,912","5,026","4,112","2,731","3,983","3,620","6,947",19,"3,955"
2020년03월_계_30~39세,"70,712","3,387","4,474","4,197","1,887","3,942","3,627","5,579","2,907","2,707","4,140","6,261","4,806","3,347","4,329","3,589","7,432",28,"4,073"
2020년03월_계_40~49세,"73,200","5,569","4,867","4,309","3,137","5,482","3,493","5,722","2,453","3,288","4,192","5,122","3,905","3,432","3,610","3,697","6,825",51,"4,046"
2020년03월_계_50~59세,"72,569","4,994","4,066","4,152","2,818","3,571","3,233","6,150","2,278","2,694","4,792","6,028","4,496","3,074","3,946","4,022","7,596",32,"4,627"
2020년03월_계_60~69세,"59,919","3,722","3,149","3,438","2,380","2,667","2,612","4,915","1,827","2,291","4,279","4,892","3,945","2,554","3,495","3,114","6,685",55,"3,899"
2020년03월_계_70~79세,"29,322","2,036","1,159","1,541",919,"1,078","1,054","2,626","1,067","1,016","2,237","2,713","2,057","1,286","1,864","1,645","3,228",39,"1,757"
2020년03월_계_80~89세,"9,991",912,358,538,321,437,365,880,324,320,742,873,700,423,620,494,"1,054",11,619
2020년03월_계_90~99세,"1,786",152,69,113,84,121,77,140,41,68,124,146,97,74,93,78,184,8,117
2020년03월_계_100세 이상,240,16,7,11,5,27,4,24,12,8,13,25,13,4,17,11,22,8,13
2020년03월_남_총인구수,"223,189","15,366","13,611","12,911","8,662","13,551","10,702","17,885","7,511","9,022","13,782","17,351","13,285","9,860","11,995","11,646","22,372",127,"13,550"
2020년03월_남_연령구간인구수,"223,189","15,366","13,611","12,911","8,662","13,551","10,702","17,885","7,511","9,022","13,782","17,351","13,285","9,860","11,995","11,646","22,372",127,"13,550"
