카테고리,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2020년03월_계_총인구수,"442,494","17,067","24,390","15,523","15,708","24,830","15,480","16,236","18,937","23,535","15,570","26,145","36,775","17,089","40,064","27,167","20,120","20,367","13,815","17,913","35,763"
2020년03월_계_연령구간인구수,"442,494","17,067","24,390","15,523","15,708","24,830","15,480","16,236","18,937","23,535","15,570","26,145","36,775","17,089","40,064","27,167","20,120","20,367","13,815","17,913","35,763"
2020년03월_계_0~9세,"30,496",849,"1,275",610,893,"2,173",500,"1,014","1,499","1,590",715,"1,828","4,253","1,503","2,873","2,226","1,206","1,021",602,"1,797","2,069"
2020년03월_계_10~19세,"38,896","1,253","2,042","1,059","1,457","2,928","1,001","1,046","1,862","1,979","1,082","2,266","4,873","1,442","3,831","2,671","1,559","1,663",951,"1,539","2,392"
2020년03월_계_20~29세,"66,839","2,789","4,420","4,342","2,151","2,989","4,912","2,866","2,348","3,207","2,986","3,300","3,496","2,164","5,818","3,082","3,561","3,008","1,836","2,304","5,260"
2020년03월_계_30~39세,"61,360","2,543","3,498","2,496","2,049","3,140","2,135","2,738","2,771","3,125","1,929","3,485","5,045","2,609","5,345","3,645","2,811","2,442","1,601","2,898","5,055"
2020년03월_계_40~49세,"71,972","2,654","3,891","2,086","2,333","4,673","1,768","2,509","3,343","3,708","2,042","4,358","8,050","2,994","6,653","4,767","2,961","2,993","2,038","2,843","5,308"
2020년03월_계_50~59세,"69,937","2,760","3,782","1,881","2,796","4,039","2,137","2,605","2,882","3,785","2,383","4,216","4,834","2,721","6,372","4,279","3,057","3,925","2,546","2,849","6,088"
2020년03월_계_60~69세,"53,548","2,009","2,694","1,439","2,139","2,628","1,476","1,846","2,170","3,287","2,155","3,543","3,215","2,048","4,596","3,455","2,579","2,914","2,147","2,094","5,114"
2020년03월_계_70~79세,"33,465","1,408","1,864","1,098","1,263","1,457","1,040","1,069","1,398","1,953","1,497","2,186","2,069","1,104","2,898","2,138","1,602","1,645","1,444","1,134","3,198"
2020년03월_계_80~89세,"13,654",662,786,427,544,683,443,457,577,773,658,821,796,427,"1,410",782,680,663,543,391,"1,131"
2020년03월_계_90~99세,"1,959",126,104,68,70,109,55,71,75,110,114,120,117,58,226,98,93,80,81,51,133
2020년03월_계_100세 이상,368,14,34,17,13,11,13,15,12,18,9,22,27,19,42,24,11,13,26,13,15
2020년03월_남_총인구수,"213,926","8,033","11,625","6,562","7,352","11,860","7,842","7,842","9,183","11,450","7,742","12,646","17,505","8,249","19,713","13,157","9,726","9,964","6,851","8,916","17,708"
2020년03월_남_연령구간인구수,"213,926","8,033","11,625","6,562","7,352","11,860","7,842","7,842","9,183","11,450","7,742","12,646","17,505","8,249","19,713","13,157","9,726","9,964","6,851","8,916","17,708"
2020년03월_남_0~9세,"15,582",407,672,303,428,"1,122",255,518,789,820,363,951,"2,191",794,"1,469","1,113",630,496,294,902,"1,065"
2020년03월_남_10~19세,"19,752",669,"1,056",460,689,"1,465",527,517,923,"1,037",571,"1,193","2,366",764,"2,047","1,294",774,860,482,792,"1,266"
2020년03월_남_20~29세,"32,495","1,303","1,989","1,441","1,008","1,486","2,607","1,394","1,190","1,623","1,680","1,672","1,679","1,031","3,075","1,495","1,566","1,567",932,"1,159","2,598"
2020년03월_남_30~39세,"30,520","1,193","1,716","1,156","1,010","1,463","1,187","1,400","1,348","1,609","1,081","1,686","2,274","1,267","2,633","1,812","1,463","1,312",849,"1,422","2,639"
2020년03월_남_40~49세,"35,479","1,285","1,913",992,"1,097","2,204",905,"1,255","1,643","1,835","1,008","2,158","3,889","1,399","3,297","2,370","1,501","1,460","1,102","1,450","2,716"
2020년03월_남_50~59세,"34,432","1,303","1,892",916,"1,352","1,945","1,037","1,243","1,424","1,808","1,166","2,037","2,442","1,361","3,186","2,146","1,545","1,881","1,294","1,453","3,001"
2020년03월_남_60~69세,"25,215",952,"1,270",640,986,"1,252",699,873,"1,010","1,526",963,"1,622","1,451",984,"2,178","1,633","1,251","1,404","1,017","1,018","2,486"
2020년03월_남_70~79세,"14,590",603,781,464,556,626,437,458,611,845,625,961,901,471,"1,232",963,708,716,643,542,"1,447"
2020년03월_남_80~89세,"5,259",275,300,165,196,265,172,166,224,315,255,326,281,157,518,305,266,240,218,164,451
2020년03월_남_90~99세,510,36,28,20,25,29,12,13,20,30,28,37,24,16,64,20,21,24,18,12,33
2020년03월_남_100세 이상,92,7,8,5,5,3,4,5,1,2,2,3,7,5,14,6,1,4,2,2,6
2020년03월_여_총인구수,"228,568","9,034","12,765","8,961","8,356","12,970","7,638","8,394","9,754","12,085","7,828","13,499","19,270","8,840","20,351","14,010","10,394","10,403","6,964","8,997","18,055"
2020년03월_여_연령구간인구수,"228,568","9,034","12,765","8,961","8,356","12,970","7,638","8,394","9,754","12,085","7,828","13,499","19,270","8,840","20,351","14,010","10,394","10,403","6,964","8,997","18,055"
2020년03월_여_0~9세,"14,914",442,603,307,465,"1,051",245,496,710,770,352,877,"2,062",709,"1,404","1,113",576,525,308,895,"1,004"
2020년03월_여_10~19세,"19,144",584,986,599,768,"1,463",474,529,939,942,511,"1,073","2,507",678,"1,784","1,377",785,803,469,747,"1,126"
2020년03월_여_20~29세,"34,344","1,486","2,431","2,901","1,143","1,503","2,305","1,472","1,158","1,584","1,306","1,628","1,817","1,133","2,743","1,587","1,995","1,441",904,"1,145","2,662"
2020년03월_여_30~39세,"30,840","1,350","1,782","1,340","1,039","1,677",948,"1,338","1,423","1,516",848,"1,799","2,771","1,342","2,712","1,833","1,348","1,130",752,"1,476","2,416"
2020년03월_여_40~49세,"36,493","1,369","1,978","1,094","1,236","2,469",863,"1,254","1,700","1,873","1,034","2,200","4,161","1,595","3,356","2,397","1,460","1,533",936,"1,393","2,592"
2020년03월_여_50~59세,"35,505","1,457","1,890",965,"1,444","2,094","1,100","1,362","1,458","1,977","1,217","2,179","2,392","1,360","3,186","2,133","1,512","2,044","1,252","1,396","3,087"
