,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2020년04월_계_총인구수,"436,863","4,153","23,645","4,311","19,682","20,809","9,764","11,453","9,035","8,761","18,738","7,502","27,817","7,005","30,165","37,785","22,564","25,174","37,110","17,463","27,397","29,570","12,556","24,404"
2020년04월_계_연령구간인구수,"436,863","4,153","23,645","4,311","19,682","20,809","9,764","11,453","9,035","8,761","18,738","7,502","27,817","7,005","30,165","37,785","22,564","25,174","37,110","17,463","27,397","29,570","12,556","24,404"
2020년04월_계_0~9세,"34,879",155,"2,502",185,"2,393","1,867",276,635,317,330,"1,349",206,"2,141",372,"2,871","4,695","1,495","1,737","2,899","1,055","1,838","2,501",708,"2,352"
2020년04월_계_10~19세,"44,590",244,"2,111",238,"2,283","2,393",522,992,511,514,"1,204",406,"3,023",477,"3,603","3,191","1,871","2,616","5,313","1,725","2,665","4,689",678,"3,321"
2020년04월_계_20~29세,"60,528",498,"2,715",493,"2,154","2,449","1,109","1,744","2,324","1,273","2,752","2,116","4,030",790,"3,181","4,106","3,723","3,750","5,404","2,521","4,398","4,174","1,457","3,367"
2020년04월_계_30~39세,"54,369",403,"3,792",457,"3,001","2,529",776,"1,198","1,112","1,045","2,353","1,000","3,424",879,"3,759","6,775","2,762","2,872","3,689","1,694","3,164","3,003","1,675","3,007"
2020년04월_계_40~49세,"73,344",514,"4,075",502,"3,724","3,601","1,205","1,589","1,134","1,088","2,715",862,"4,523",940,"6,096","6,427","3,305","4,106","7,235","2,693","4,049","6,374","1,707","4,880"
2020년04월_계_50~59세,"77,259",795,"3,349",958,"2,785","3,510","1,975","2,361","1,318","1,644","3,023","1,230","5,054","1,297","4,823","6,002","4,263","4,758","7,105","3,581","5,534","5,256","2,510","4,128"
2020년04월_계_60~69세,"51,162",765,"2,604",868,"1,848","2,342","2,003","1,651","1,204","1,554","2,691",978,"3,355","1,251","3,387","4,025","2,915","3,080","3,089","2,463","3,319","1,833","2,194","1,743"
2020년04월_계_70~79세,"27,661",519,"1,603",431,"1,024","1,436","1,281",886,754,908,"1,760",485,"1,500",680,"1,790","1,846","1,457","1,607","1,559","1,132","1,575","1,137","1,229","1,062"
