카테고리,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 완산구 중앙동,전라북도 전주시 완산구 풍남동,전라북도 전주시 완산구 노송동,전라북도 전주시 완산구 완산동,전라북도 전주시 완산구 동서학동,전라북도 전주시 완산구 서서학동,전라북도 전주시 완산구 중화산1동,전라북도 전주시 완산구 중화산2동,전라북도 전주시 완산구 서신동,전라북도 전주시 완산구 평화1동,전라북도 전주시 완산구 평화2동,전라북도 전주시 완산구 삼천1동,전라북도 전주시 완산구 삼천2동,전라북도 전주시 완산구 삼천3동,전라북도 전주시 완산구 효자1동,전라북도 전주시 완산구 효자2동,전라북도 전주시 완산구 효자3동,전라북도 전주시 완산구 효자4동,전라북도 전주시 완산구 효자5동,전라북도 전주시 덕진구,전라북도 전주시 덕진구 진북동,전라북도 전주시 덕진구 인후1동,전라북도 전주시 덕진구 인후2동,전라북도 전주시 덕진구 인후3동,전라북도 전주시 덕진구 덕진동,전라북도 전주시 덕진구 금암1동,전라북도 전주시 덕진구 금암2동,전라북도 전주시 덕진구 팔복동,전라북도 전주시 덕진구 우아1동,전라북도 전주시 덕진구 우아2동,전라북도 전주시 덕진구 호성동,전라북도 전주시 덕진구 송천1동,전라북도 전주시 덕진구 송천2동,전라북도 전주시 덕진구 조촌동,전라북도 전주시 덕진구 여의동,전라북도 전주시 덕진구 혁신동,전라북도 전주시효자출장소
2020년01월_계_총인구수,"654,963","338,977","7,865","4,462","13,079","5,068","6,725","9,096","15,114","19,900","40,163","12,929","46,075","12,644","14,295","23,132","11,687","10,812","15,429","33,080","37,422","315,986","14,831","18,971","11,747","32,140","20,372","7,532","10,315","8,003","9,954","14,901","21,035","59,269","26,653","12,147","30,165","17,951",0
2020년01월_계_연령구간인구수,"654,963","338,977","7,865","4,462","13,079","5,068","6,725","9,096","15,114","19,900","40,163","12,929","46,075","12,644","14,295","23,132","11,687","10,812","15,429","33,080","37,422","315,986","14,831","18,971","11,747","32,140","20,372","7,532","10,315","8,003","9,954","14,901","21,035","59,269","26,653","12,147","30,165","17,951",0
2020년01월_계_0~9세,"55,983","25,481",350,118,676,195,336,383,"1,073","1,525","3,282",675,"4,271",852,759,"1,780",734,571,"1,125","3,372","3,404","30,502",737,"1,600",631,"2,903","2,194",239,501,363,699,969,"1,673","8,102","2,256",857,"3,736","3,042",0
2020년01월_계_10~19세,"74,055","37,843",495,211,903,379,497,722,"1,388","2,754","5,199",935,"5,611","1,280","1,414","2,835","1,033","1,045","1,698","4,392","5,052","36,212","1,176","2,486",799,"4,323","1,659",392,699,582,845,"1,388","2,715","8,474","3,299","1,042","3,105","3,228",0
2020년01월_계_20~29세,"92,038","49,026",962,428,"1,489",538,748,"1,074","2,419","3,217","6,103","1,376","5,826","1,801","2,264","3,244","1,579","1,592","2,186","5,349","6,831","43,012","1,795","2,431","1,620","4,568","3,157","2,034","1,588",896,"1,369","2,072","2,807","7,656","3,935","1,541","3,914","1,629",0
2020년01월_계_30~39세,"82,718","40,181",805,442,"1,450",449,606,862,"1,775","2,416","4,905","1,392","5,406","1,350","1,405","2,304","1,268","1,150","1,792","4,198","6,206","42,537","1,357","2,038","1,410","4,143","3,458",939,"1,160",806,"1,289","2,086","2,194","9,301","3,026","1,651","5,224","2,455",0
2020년01월_계_40~49세,"108,228","54,713",971,569,"1,806",730,859,"1,261","2,048","3,633","7,179","1,806","7,688","1,854","1,920","3,821","1,646","1,502","2,252","5,832","7,336","53,515","1,974","3,203","1,550","6,146","3,098",895,"1,314","1,158","1,494","2,619","3,343","11,412","4,279","1,807","5,047","4,176",0
2020년01월_계_50~59세,"105,725","57,079","1,389",745,"2,146",827,"1,141","1,629","2,646","3,291","6,795","2,334","7,574","2,396","2,782","4,338","1,914","1,936","2,659","5,248","5,289","48,646","2,476","2,894","1,943","4,923","2,842","1,114","1,685","1,556","1,713","2,628","3,670","7,973","4,648","2,156","4,369","2,056",0
2020년01월_계_60~69세,"72,769","40,149","1,402",897,"2,171",873,"1,251","1,591","2,087","1,791","3,640","2,108","5,518","1,737","2,237","2,595","1,806","1,651","2,031","2,826","1,937","32,620","2,293","2,210","1,878","2,638","2,036",936,"1,663","1,350","1,441","1,705","2,651","3,760","2,905","1,580","2,739",835,0
2020년01월_계_70~79세,"41,948","22,686",987,674,"1,540",703,826,"1,082","1,099",842,"1,986","1,496","2,770",936,"1,050","1,352","1,176",959,"1,101","1,207",900,"19,262","1,944","1,465","1,327","1,698","1,302",655,"1,203",909,726,921,"1,282","1,684","1,540",930,"1,327",349,0
2020년01월_계_80~89세,"18,771","10,279",442,319,775,329,399,435,506,376,967,697,"1,233",374,414,740,457,351,496,559,410,"8,492",947,563,524,705,532,290,455,338,338,456,617,774,677,521,606,149,0
2020년01월_계_90~99세,"2,563","1,456",53,54,108,44,57,51,70,52,103,108,170,60,50,122,70,52,88,93,51,"1,107",123,72,59,89,75,37,45,40,38,56,80,131,87,54,89,32,0
2020년01월_계_100세 이상,165,84,9,5,15,1,5,6,3,3,4,2,8,4,0,1,4,3,1,4,6,81,9,9,6,4,19,1,2,5,2,1,3,2,1,8,9,0,0
2020년01월_남_총인구수,"322,524","165,234","3,968","2,230","6,358","2,530","3,334","4,423","7,309","9,923","19,650","6,221","22,279","6,137","6,885","11,246","5,620","5,150","7,329","16,057","18,585","157,290","7,304","9,157","5,895","15,754","10,293","4,015","5,098","4,355","4,997","7,695","10,154","29,377","13,008","6,233","15,213","8,742",0
