카테고리,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2020년01월_계_총인구수,"408,394","14,526","14,006","17,187","17,272","18,184","7,718","47,202","32,537","19,761","23,974","26,928","20,597","18,423","9,065","14,745","17,951","23,168","13,397","22,042","15,934","13,777"
2020년01월_계_연령구간인구수,"408,394","14,526","14,006","17,187","17,272","18,184","7,718","47,202","32,537","19,761","23,974","26,928","20,597","18,423","9,065","14,745","17,951","23,168","13,397","22,042","15,934","13,777"
2020년01월_계_0~9세,"29,070","1,178","1,067","1,112",714,"1,394",314,"4,517","2,462","1,326","1,826","2,232","1,450","1,056",551,676,918,"2,206",678,"1,470","1,134",789
2020년01월_계_10~19세,"33,062",957,844,"1,411","1,012","1,414",404,"4,967","3,641","1,924","1,681","2,077",914,"1,233",714,943,"1,308","1,897","1,065","2,029","1,367","1,260"
2020년01월_계_20~29세,"57,272","1,886","2,032","2,184","3,694","2,800",869,"6,212","4,288","2,582","3,413","3,510","4,281","2,361","1,134","1,750","2,617","2,926","1,649","2,999","2,229","1,856"
2020년01월_계_30~39세,"57,738","2,216","2,380","2,330","1,898","2,951",894,"6,546","3,613","2,417","3,890","4,362","4,477","2,316","1,039","1,730","2,478","3,851","1,540","2,781","2,067","1,962"
2020년01월_계_40~49세,"64,756","2,170","2,055","2,595","2,214","2,720","1,069","8,479","5,807","3,179","3,677","4,113","3,084","2,672","1,456","2,017","2,754","3,964","2,034","3,514","2,364","2,819"
2020년01월_계_50~59세,"68,435","2,364","2,251","2,858","2,731","2,695","1,364","7,707","5,725","3,449","3,834","4,422","3,107","3,239","1,564","2,591","3,218","3,467","2,425","4,082","2,887","2,455"
2020년01월_계_60~69세,"53,203","1,974","1,778","2,396","2,484","2,271","1,392","4,988","3,947","2,578","3,000","3,511","1,969","2,904","1,362","2,583","2,519","2,708","2,136","2,921","2,248","1,534"
2020년01월_계_70~79세,"30,590","1,192",997,"1,565","1,755","1,372",934,"2,611","2,133","1,540","1,795","1,861",917,"1,807",888,"1,702","1,403","1,413","1,262","1,567","1,111",765
