,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 군내면,경기도 파주시 장단출장소,경기도 파주시 장단면,경기도 파주시 진동면,경기도 파주시 진서면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2020년03월_계_총인구수,"454,494","48,496","13,128","11,044","30,314","9,382","13,517","11,580","3,950","7,582",0,580,0,159,0,"22,651","33,817","27,463","41,025","45,122","61,635","73,049"
2020년03월_계_연령구간인구수,"454,494","48,496","13,128","11,044","30,314","9,382","13,517","11,580","3,950","7,582",0,580,0,159,0,"22,651","33,817","27,463","41,025","45,122","61,635","73,049"
2020년03월_계_0~9세,"44,831","5,261",547,391,"1,898",195,744,519,116,591,0,23,0,5,0,"1,261","3,689","2,477","4,077","5,339","9,169","8,529"
2020년03월_계_10~19세,"48,361","4,719",803,811,"2,869",291,"1,048",693,204,545,0,39,0,12,0,"1,576","4,357","2,816","5,540","5,871","7,399","8,768"
2020년03월_계_20~29세,"55,377","5,691","1,461","1,348","3,833","2,312","1,522","1,280",417,948,0,61,0,4,0,"3,511","4,285","3,817","4,428","5,054","6,606","8,799"
2020년03월_계_30~39세,"66,944","8,034","1,356",941,"3,157","2,275","1,531","1,089",279,869,0,52,0,9,0,"2,967","4,865","3,860","5,275","6,740","12,014","11,631"
2020년03월_계_40~49세,"79,160","7,446","1,739","1,341","4,590",948,"2,218","1,398",374,869,0,74,0,16,0,"3,418","6,297","4,391","8,374","8,944","12,110","14,613"
2020년03월_계_50~59세,"70,076","6,886","2,518","2,256","5,938","1,334","2,576","2,407",788,"1,245",0,104,0,28,0,"4,243","5,064","4,566","6,369","6,540","6,964","10,250"
2020년03월_계_60~69세,"46,084","4,951","2,225","1,915","4,263","1,091","1,942","2,131",759,"1,170",0,94,0,32,0,"2,968","2,631","2,930","3,705","3,669","3,950","5,658"
2020년03월_계_70~79세,"28,159","3,500","1,486","1,285","2,431",549,"1,161","1,240",588,912,0,89,0,35,0,"1,792","1,714","1,691","2,098","1,982","2,355","3,251"
2020년03월_계_80~89세,"13,384","1,740",826,646,"1,163",339,652,683,357,367,0,42,0,17,0,795,797,808,984,852,933,"1,383"
2020년03월_계_90~99세,"1,928",241,127,97,159,45,114,125,57,64,0,2,0,1,0,104,107,104,164,122,132,163
2020년03월_계_100세 이상,190,27,40,13,13,3,9,15,11,2,0,0,0,0,0,16,11,3,11,9,3,4
2020년03월_남_총인구수,"230,790","24,707","7,005","5,858","15,409","5,961","7,309","6,291","2,046","4,062",0,297,0,86,0,"11,932","16,578","14,112","20,874","22,182","30,150","35,931"
2020년03월_남_연령구간인구수,"230,790","24,707","7,005","5,858","15,409","5,961","7,309","6,291","2,046","4,062",0,297,0,86,0,"11,932","16,578","14,112","20,874","22,182","30,150","35,931"
2020년03월_남_0~9세,"22,847","2,635",292,201,955,93,400,266,67,299,0,11,0,1,0,656,"1,899","1,228","2,079","2,729","4,623","4,413"
2020년03월_남_10~19세,"25,006","2,459",433,458,"1,436",163,538,374,106,308,0,15,0,4,0,839,"2,238","1,492","2,906","2,958","3,742","4,537"
2020년03월_남_20~29세,"29,108","3,030",884,800,"2,094","1,357",860,781,266,595,0,33,0,4,0,"1,936","2,145","2,052","2,433","2,448","3,062","4,328"
2020년03월_남_30~39세,"35,731","4,492",795,541,"1,724","1,882",913,663,148,486,0,27,0,5,0,"1,731","2,480","2,101","2,604","3,311","6,078","5,750"
2020년03월_남_40~49세,"40,711","3,946","1,038",751,"2,349",657,"1,256",819,219,503,0,51,0,5,0,"1,854","3,030","2,292","4,218","4,437","6,063","7,223"
2020년03월_남_50~59세,"36,720","3,551","1,425","1,247","3,110",813,"1,485","1,338",437,676,0,55,0,19,0,"2,364","2,569","2,367","3,432","3,291","3,448","5,093"
2020년03월_남_60~69세,"22,830","2,368","1,158","1,019","2,170",598,"1,023","1,176",380,625,0,48,0,16,0,"1,460","1,208","1,470","1,890","1,779","1,798","2,644"
2020년03월_남_70~79세,"12,392","1,502",645,589,"1,079",279,554,623,273,417,0,38,0,22,0,795,691,764,935,868,939,"1,379"
2020년03월_남_80~89세,"4,916",637,291,220,447,112,253,219,133,139,0,18,0,9,0,270,290,315,345,332,361,525
2020년03월_남_90~99세,472,74,34,28,41,7,26,28,11,14,0,1,0,1,0,21,26,29,31,27,34,39
2020년03월_남_100세 이상,57,13,10,4,4,0,1,4,6,0,0,0,0,0,0,6,2,2,1,2,2,0
2020년03월_여_총인구수,"223,704","23,789","6,123","5,186","14,905","3,421","6,208","5,289","1,904","3,520",0,283,0,73,0,"10,719","17,239","13,351","20,151","22,940","31,485","37,118"
2020년03월_여_연령구간인구수,"223,704","23,789","6,123","5,186","14,905","3,421","6,208","5,289","1,904","3,520",0,283,0,73,0,"10,719","17,239","13,351","20,151","22,940","31,485","37,118"
2020년03월_여_0~9세,"21,984","2,626",255,190,943,102,344,253,49,292,0,12,0,4,0,605,"1,790","1,249","1,998","2,610","4,546","4,116"
2020년03월_여_10~19세,"23,355","2,260",370,353,"1,433",128,510,319,98,237,0,24,0,8,0,737,"2,119","1,324","2,634","2,913","3,657","4,231"
2020년03월_여_20~29세,"26,269","2,661",577,548,"1,739",955,662,499,151,353,0,28,0,0,0,"1,575","2,140","1,765","1,995","2,606","3,544","4,471"
2020년03월_여_30~39세,"31,213","3,542",561,400,"1,433",393,618,426,131,383,0,25,0,4,0,"1,236","2,385","1,759","2,671","3,429","5,936","5,881"
2020년03월_여_40~49세,"38,449","3,500",701,590,"2,241",291,962,579,155,366,0,23,0,11,0,"1,564","3,267","2,099","4,156","4,507","6,047","7,390"
2020년03월_여_50~59세,"33,356","3,335","1,093","1,009","2,828",521,"1,091","1,069",351,569,0,49,0,9,0,"1,879","2,495","2,199","2,937","3,249","3,516","5,157"
2020년03월_여_60~69세,"23,254","2,583","1,067",896,"2,093",493,919,955,379,545,0,46,0,16,0,"1,508","1,423","1,460","1,815","1,890","2,152","3,014"
2020년03월_여_70~79세,"15,767","1,998",841,696,"1,352",270,607,617,315,495,0,51,0,13,0,997,"1,023",927,"1,163","1,114","1,416","1,872"
2020년03월_여_80~89세,"8,468","1,103",535,426,716,227,399,464,224,228,0,24,0,8,0,525,507,493,639,520,572,858
2020년03월_여_90~99세,"1,456",167,93,69,118,38,88,97,46,50,0,1,0,0,0,83,81,75,133,95,98,124
2020년03월_여_100세 이상,133,14,30,9,9,3,8,11,5,2,0,0,0,0,0,10,9,1,10,7,1,4
