카테고리,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 의정부3동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2020년01월_계_총인구수,"451,876","30,674","32,123",0,"36,513","35,947","19,642","45,321","44,631","29,073","34,791","46,075","28,133","26,560","19,711","22,682"
2020년01월_계_연령구간인구수,"451,876","30,674","32,123",0,"36,513","35,947","19,642","45,321","44,631","29,073","34,791","46,075","28,133","26,560","19,711","22,682"
2020년01월_계_0~9세,"35,089","1,207","1,953",0,"2,582","2,741","1,428","3,137","3,200","1,981","3,088","7,068","2,135","1,587","1,250","1,732"
2020년01월_계_10~19세,"43,635","1,672","2,344",0,"2,874","3,676","2,056","4,443","5,174","2,893","4,628","4,976","2,770","2,151","1,697","2,281"
2020년01월_계_20~29세,"62,493","5,538","5,278",0,"4,721","4,621","2,268","6,435","6,528","3,996","4,651","5,111","3,878","3,705","2,608","3,155"
2020년01월_계_30~39세,"59,654","4,565","4,830",0,"4,970","4,323","2,206","5,556","4,765","3,495","4,090","8,844","3,336","3,424","2,364","2,886"
2020년01월_계_40~49세,"74,524","4,444","5,074",0,"5,835","5,891","3,318","7,312","7,382","4,756","6,767","8,560","4,525","4,001","2,993","3,666"
2020년01월_계_50~59세,"78,789","5,573","5,721",0,"5,819","6,031","3,269","8,644","8,461","5,382","5,843","5,830","5,278","5,205","3,706","4,027"
2020년01월_계_60~69세,"52,511","4,235","3,800",0,"5,007","4,283","2,615","5,516","5,060","3,551","2,857","3,403","3,296","3,517","2,726","2,645"
2020년01월_계_70~79세,"30,318","2,236","2,160",0,"3,388","3,012","1,651","2,892","2,639","1,891","1,867","1,573","1,903","2,071","1,557","1,478"
2020년01월_계_80~89세,"12,939",999,855,0,"1,175","1,221",721,"1,233","1,238",964,879,615,873,779,686,701
2020년01월_계_90~99세,"1,722",147,97,0,123,140,100,142,176,154,117,94,121,111,91,109
2020년01월_계_100세 이상,202,58,11,0,19,8,10,11,8,10,4,1,18,9,33,2
2020년01월_남_총인구수,"222,611","15,646","15,946",0,"17,884","17,460","9,357","22,345","21,609","14,431","17,177","22,421","13,811","13,247","9,975","11,302"
2020년01월_남_연령구간인구수,"222,611","15,646","15,946",0,"17,884","17,460","9,357","22,345","21,609","14,431","17,177","22,421","13,811","13,247","9,975","11,302"
2020년01월_남_0~9세,"18,129",642,"1,037",0,"1,359","1,391",718,"1,686","1,627","1,004","1,598","3,593","1,080",821,650,923
2020년01월_남_10~19세,"22,461",837,"1,253",0,"1,469","1,841","1,055","2,237","2,705","1,511","2,342","2,515","1,444","1,117",905,"1,230"
2020년01월_남_20~29세,"31,892","2,635","2,613",0,"2,298","2,371","1,162","3,369","3,337","2,125","2,435","2,512","2,039","1,950","1,400","1,646"
2020년01월_남_30~39세,"30,312","2,528","2,521",0,"2,554","2,134","1,084","2,839","2,381","1,840","1,985","4,209","1,645","1,826","1,303","1,463"
2020년01월_남_40~49세,"37,218","2,488","2,574",0,"3,020","2,886","1,632","3,521","3,495","2,342","3,271","4,314","2,212","2,033","1,585","1,845"
2020년01월_남_50~59세,"38,855","2,989","2,830",0,"2,805","2,945","1,517","4,213","4,013","2,700","3,039","2,779","2,582","2,579","1,879","1,985"
2020년01월_남_60~69세,"25,304","2,130","1,797",0,"2,294","2,002","1,239","2,733","2,455","1,740","1,381","1,587","1,631","1,729","1,302","1,284"
2020년01월_남_70~79세,"13,257",978,952,0,"1,547","1,331",699,"1,288","1,136",828,767,702,832,884,671,642
2020년01월_남_80~89세,"4,708",375,338,0,500,506,236,421,419,304,331,181,304,282,256,255
2020년01월_남_90~99세,431,32,27,0,34,52,14,35,38,36,26,29,32,25,22,29
2020년01월_남_100세 이상,44,12,4,0,4,1,1,3,3,1,2,0,10,1,2,0
2020년01월_여_총인구수,"229,265","15,028","16,177",0,"18,629","18,487","10,285","22,976","23,022","14,642","17,614","23,654","14,322","13,313","9,736","11,380"
2020년01월_여_연령구간인구수,"229,265","15,028","16,177",0,"18,629","18,487","10,285","22,976","23,022","14,642","17,614","23,654","14,322","13,313","9,736","11,380"
2020년01월_여_0~9세,"16,960",565,916,0,"1,223","1,350",710,"1,451","1,573",977,"1,490","3,475","1,055",766,600,809
