카테고리,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2020년03월_계_총인구수,"544,804","17,208","23,264","21,556","27,631","29,214","14,680","30,436","25,257","38,422","20,466","35,969","37,186","22,494","34,412","6,865","22,454","18,116","44,865","24,325","16,242","18,017","15,725"
2020년03월_계_연령구간인구수,"544,804","17,208","23,264","21,556","27,631","29,214","14,680","30,436","25,257","38,422","20,466","35,969","37,186","22,494","34,412","6,865","22,454","18,116","44,865","24,325","16,242","18,017","15,725"
2020년03월_계_0~9세,"38,588","1,052",738,"1,175","2,275","2,394",945,"2,547","2,148","2,080",831,"1,128","3,125","1,876","3,043",404,"1,683","1,139","4,874","2,372",804,"1,260",695
2020년03월_계_10~19세,"60,013","1,774",941,"1,313","2,888","2,472","1,431","3,485","5,606","6,632","2,563","1,444","5,505","2,340","4,854",607,"2,665","1,666","4,543","3,437","1,292","1,895",660
2020년03월_계_20~29세,"75,431","2,352","4,710","3,501","3,254","4,164","2,121","3,996","2,485","5,153","3,418","7,667","4,746","3,125","4,091",818,"3,003","2,667","5,424","2,669","2,366","1,991","1,710"
2020년03월_계_30~39세,"85,013","2,528","5,983","4,680","3,612","4,835","2,212","5,228","1,707","3,475","3,402","10,203","5,472","3,405","3,823",736,"2,926","2,824","7,262","3,155","2,383","2,653","2,509"
2020년03월_계_40~49세,"100,367","3,130","3,861","3,697","5,015","5,061","2,400","6,517","6,285","7,649","4,166","5,982","8,689","3,918","6,702",978,"3,740","3,033","7,740","4,672","2,232","3,166","1,734"
2020년03월_계_50~59세,"80,054","2,487","2,794","2,904","3,979","4,390","2,395","4,004","3,708","6,728","3,210","4,232","4,667","3,516","5,459","1,150","3,883","3,092","6,035","3,690","2,663","2,652","2,416"
2020년03월_계_60~69세,"58,283","1,790","2,322","2,229","3,125","3,247","1,778","2,417","1,918","4,014","1,522","2,995","2,591","2,511","3,509","1,188","2,910","2,268","4,833","2,792","2,529","2,490","3,305"
2020년03월_계_70~79세,"33,273","1,408","1,360","1,489","2,411","1,877","1,025","1,659",998,"1,988","1,026","1,671","1,740","1,248","2,060",695,"1,215","1,038","2,671","1,039","1,371","1,424","1,860"
