카테고리,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2020년03월_계_총인구수,"45,934","10,220","3,172","3,568","2,012","1,929","2,354","3,601","6,208","1,819","1,827","1,592","4,416","3,216"
2020년03월_계_연령구간인구수,"45,934","10,220","3,172","3,568","2,012","1,929","2,354","3,601","6,208","1,819","1,827","1,592","4,416","3,216"
2020년03월_계_0~9세,"2,038",632,100,110,65,51,87,109,383,32,78,78,174,139
2020년03월_계_10~19세,"3,045",914,230,199,96,79,122,138,496,79,87,171,246,188
2020년03월_계_20~29세,"3,751","1,075",253,214,134,134,160,314,515,109,107,97,299,340
2020년03월_계_30~39세,"3,010",884,137,167,101,112,126,205,474,79,127,89,257,252
2020년03월_계_40~49세,"5,402","1,460",390,381,209,176,239,361,857,166,179,152,424,408
2020년03월_계_50~59세,"8,707","1,870",739,726,372,371,422,705,"1,092",315,306,274,876,639
2020년03월_계_60~69세,"8,515","1,586",578,725,408,400,494,738,"1,051",364,362,373,905,531
2020년03월_계_70~79세,"6,447","1,130",477,593,318,299,356,585,745,345,307,211,661,420
2020년03월_계_80~89세,"4,306",592,225,378,272,263,289,382,505,282,238,125,490,265
2020년03월_계_90~99세,690,75,41,73,37,43,57,62,87,45,34,21,81,34
2020년03월_계_100세 이상,23,2,2,2,0,1,2,2,3,3,2,1,3,0
2020년03월_남_총인구수,"22,875","5,028","1,619","1,759",975,938,"1,160","1,830","3,084",889,883,826,"2,206","1,678"
2020년03월_남_연령구간인구수,"22,875","5,028","1,619","1,759",975,938,"1,160","1,830","3,084",889,883,826,"2,206","1,678"
2020년03월_남_0~9세,"1,071",317,52,68,38,25,51,58,186,19,33,50,96,78
2020년03월_남_10~19세,"1,621",459,126,116,54,45,58,68,263,32,51,110,134,105
2020년03월_남_20~29세,"2,233",612,138,134,80,74,99,206,316,71,61,58,170,214
2020년03월_남_30~39세,"1,665",468,80,88,50,65,80,136,243,47,69,48,137,154
2020년03월_남_40~49세,"3,017",763,207,211,119,99,140,212,473,101,106,87,253,246
2020년03월_남_50~59세,"4,719",954,424,392,200,191,239,402,583,174,175,141,484,360
2020년03월_남_60~69세,"4,370",796,303,375,211,212,258,354,536,189,193,189,480,274
2020년03월_남_70~79세,"2,728",464,198,248,128,137,145,252,312,163,120,108,288,165
2020년03월_남_80~89세,"1,306",180,81,119,82,77,81,133,158,77,66,32,146,74
2020년03월_남_90~99세,141,15,9,8,13,12,9,9,14,15,8,3,18,8
2020년03월_남_100세 이상,4,0,1,0,0,1,0,0,0,1,1,0,0,0
2020년03월_여_총인구수,"23,059","5,192","1,553","1,809","1,037",991,"1,194","1,771","3,124",930,944,766,"2,210","1,538"
2020년03월_여_연령구간인구수,"23,059","5,192","1,553","1,809","1,037",991,"1,194","1,771","3,124",930,944,766,"2,210","1,538"
2020년03월_여_0~9세,967,315,48,42,27,26,36,51,197,13,45,28,78,61
2020년03월_여_10~19세,"1,424",455,104,83,42,34,64,70,233,47,36,61,112,83
2020년03월_여_20~29세,"1,518",463,115,80,54,60,61,108,199,38,46,39,129,126
2020년03월_여_30~39세,"1,345",416,57,79,51,47,46,69,231,32,58,41,120,98
2020년03월_여_40~49세,"2,385",697,183,170,90,77,99,149,384,65,73,65,171,162
2020년03월_여_50~59세,"3,988",916,315,334,172,180,183,303,509,141,131,133,392,279
2020년03월_여_60~69세,"4,145",790,275,350,197,188,236,384,515,175,169,184,425,257
2020년03월_여_70~79세,"3,719",666,279,345,190,162,211,333,433,182,187,103,373,255
2020년03월_여_80~89세,"3,000",412,144,259,190,186,208,249,347,205,172,93,344,191
2020년03월_여_90~99세,549,60,32,65,24,31,48,53,73,30,26,18,63,26
2020년03월_여_100세 이상,19,2,1,2,0,0,2,2,3,2,1,1,3,0
