,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2020년03월_계_총인구수,"159,338","6,522","4,156","3,100","3,640","5,276","2,863","1,858","2,137","2,953","2,757","1,791","1,910","1,678","1,789","5,179","5,149","22,447","9,325","13,620","6,574","6,449","22,225","15,735","10,205"
2020년03월_계_연령구간인구수,"159,338","6,522","4,156","3,100","3,640","5,276","2,863","1,858","2,137","2,953","2,757","1,791","1,910","1,678","1,789","5,179","5,149","22,447","9,325","13,620","6,574","6,449","22,225","15,735","10,205"
2020년03월_계_0~9세,"11,050",215,94,74,83,223,54,38,62,72,56,32,45,30,30,261,329,"1,981",699,959,431,397,"2,179","1,551","1,155"
2020년03월_계_10~19세,"14,020",298,224,105,154,264,137,73,91,115,77,56,56,53,73,371,425,"2,397",902,"1,024",568,618,"2,681","1,697","1,561"
2020년03월_계_20~29세,"16,753",490,324,156,359,618,148,84,171,212,144,95,95,67,73,556,549,"3,004",855,"1,500",677,715,"2,774","1,875","1,212"
2020년03월_계_30~39세,"15,861",400,193,180,222,589,132,92,138,168,126,68,93,79,81,541,477,"2,620",882,"1,625",666,614,"2,651","2,076","1,148"
2020년03월_계_40~49세,"22,662",627,357,344,378,588,276,173,189,288,194,155,130,136,151,646,743,"3,649","1,417","1,935",939,899,"3,849","2,574","2,025"
2020년03월_계_50~59세,"26,874","1,135",716,581,632,835,477,301,451,545,535,325,400,304,308,850,969,"3,540","1,510","2,308","1,094","1,242","3,649","2,714","1,453"
2020년03월_계_60~69세,"24,573","1,360",871,614,821,886,619,391,451,678,660,447,454,427,439,911,805,"2,708","1,450","2,156","1,125","1,099","2,499","1,829",873
2020년03월_계_70~79세,"16,698","1,124",761,566,547,749,568,381,331,494,569,352,377,343,366,689,560,"1,600","1,033","1,403",710,606,"1,208",868,493
2020년03월_계_80~89세,"9,384",753,541,413,367,457,385,276,217,319,353,235,230,207,239,302,260,826,502,624,304,225,629,479,241
2020년03월_계_90~99세,"1,399",112,71,66,77,64,65,48,36,58,42,22,28,32,28,50,32,116,70,79,58,34,103,67,41
2020년03월_계_100세 이상,64,8,4,1,0,3,2,1,0,4,1,4,2,0,1,2,0,6,5,7,2,0,3,5,3
2020년03월_남_총인구수,"78,917","3,298","2,150","1,626","1,910","2,741","1,389",907,"1,094","1,554","1,389",923,980,892,932,"2,542","2,481","11,099","4,500","6,790","3,201","3,225","10,576","7,635","5,083"
2020년03월_남_연령구간인구수,"78,917","3,298","2,150","1,626","1,910","2,741","1,389",907,"1,094","1,554","1,389",923,980,892,932,"2,542","2,481","11,099","4,500","6,790","3,201","3,225","10,576","7,635","5,083"
2020년03월_남_0~9세,"5,814",117,51,37,44,117,30,18,38,28,26,21,25,15,22,142,179,"1,042",382,491,212,214,"1,137",814,612
2020년03월_남_10~19세,"7,355",161,135,65,88,142,86,42,44,59,41,25,37,29,35,187,203,"1,232",460,576,305,320,"1,384",870,829
2020년03월_남_20~29세,"9,167",289,192,103,197,344,87,48,105,140,81,60,55,44,42,320,300,"1,652",455,828,378,378,"1,421","1,009",639
2020년03월_남_30~39세,"8,218",226,109,118,136,338,72,56,81,103,76,44,57,52,55,268,229,"1,334",447,855,351,346,"1,272","1,052",541
2020년03월_남_40~49세,"11,802",389,225,230,230,358,175,112,112,184,141,102,86,96,98,355,393,"1,804",721,"1,022",491,455,"1,840","1,227",956
2020년03월_남_50~59세,"13,707",630,402,339,365,478,264,174,247,326,307,189,216,180,172,438,485,"1,769",739,"1,124",508,607,"1,707","1,272",769
2020년03월_남_60~69세,"11,909",680,452,310,433,440,289,201,235,363,351,241,240,219,243,401,375,"1,272",648,"1,005",499,509,"1,155",904,444
2020년03월_남_70~79세,"7,408",519,356,257,264,344,248,162,153,237,221,149,172,160,176,317,240,692,453,640,330,296,466,343,213
2020년03월_남_80~89세,"3,207",253,209,153,133,160,124,89,71,93,133,84,84,89,80,106,69,274,178,232,119,89,180,131,74
2020년03월_남_90~99세,315,32,19,14,20,19,14,5,8,20,12,8,8,8,8,6,8,25,17,15,8,11,13,11,6
2020년03월_남_100세 이상,15,2,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,3,0,2,0,0,1,2,0
2020년03월_여_총인구수,"80,421","3,224","2,006","1,474","1,730","2,535","1,474",951,"1,043","1,399","1,368",868,930,786,857,"2,637","2,668","11,348","4,825","6,830","3,373","3,224","11,649","8,100","5,122"
2020년03월_여_연령구간인구수,"80,421","3,224","2,006","1,474","1,730","2,535","1,474",951,"1,043","1,399","1,368",868,930,786,857,"2,637","2,668","11,348","4,825","6,830","3,373","3,224","11,649","8,100","5,122"
2020년03월_여_0~9세,"5,236",98,43,37,39,106,24,20,24,44,30,11,20,15,8,119,150,939,317,468,219,183,"1,042",737,543
2020년03월_여_10~19세,"6,665",137,89,40,66,122,51,31,47,56,36,31,19,24,38,184,222,"1,165",442,448,263,298,"1,297",827,732
2020년03월_여_20~29세,"7,586",201,132,53,162,274,61,36,66,72,63,35,40,23,31,236,249,"1,352",400,672,299,337,"1,353",866,573
2020년03월_여_30~39세,"7,643",174,84,62,86,251,60,36,57,65,50,24,36,27,26,273,248,"1,286",435,770,315,268,"1,379","1,024",607
2020년03월_여_40~49세,"10,860",238,132,114,148,230,101,61,77,104,53,53,44,40,53,291,350,"1,845",696,913,448,444,"2,009","1,347","1,069"
2020년03월_여_50~59세,"13,167",505,314,242,267,357,213,127,204,219,228,136,184,124,136,412,484,"1,771",771,"1,184",586,635,"1,942","1,442",684
2020년03월_여_60~69세,"12,664",680,419,304,388,446,330,190,216,315,309,206,214,208,196,510,430,"1,436",802,"1,151",626,590,"1,344",925,429
2020년03월_여_70~79세,"9,290",605,405,309,283,405,320,219,178,257,348,203,205,183,190,372,320,908,580,763,380,310,742,525,280
2020년03월_여_80~89세,"6,177",500,332,260,234,297,261,187,146,226,220,151,146,118,159,196,191,552,324,392,185,136,449,348,167
2020년03월_여_90~99세,"1,084",80,52,52,57,45,51,43,28,38,30,14,20,24,20,44,24,91,53,64,50,23,90,56,35
