카테고리,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2020년03월_계_총인구수,"405,969","11,380","6,709","16,136","4,834","32,672","25,199","11,725","16,640","7,342","26,400","44,047","21,402","32,116","78,576","23,375","2,140","1,971","4,056","2,275","2,092","34,882"
2020년03월_계_연령구간인구수,"405,969","11,380","6,709","16,136","4,834","32,672","25,199","11,725","16,640","7,342","26,400","44,047","21,402","32,116","78,576","23,375","2,140","1,971","4,056","2,275","2,092","34,882"
2020년03월_계_0~9세,"42,290",792,355,"1,583",372,"4,116","2,041",785,"1,298",696,"1,987","4,071","2,298","3,305","11,087","3,263",55,52,150,56,44,"3,884"
2020년03월_계_10~19세,"53,757","1,255",412,"1,796",433,"3,644","2,137","1,257","2,172",799,"3,593","5,959","3,210","4,193","13,581","3,148",118,90,149,119,93,"5,599"
2020년03월_계_20~29세,"57,382","1,751",961,"2,256",626,"3,930","3,748","2,005","2,495",920,"4,879","7,846","2,964","4,786","9,242","2,790",182,184,424,169,155,"5,069"
2020년03월_계_30~39세,"56,162","1,270",952,"2,356",612,"5,696","3,702","1,354","1,885",946,"3,046","5,934","2,739","4,323","11,280","3,811",115,163,460,152,141,"5,225"
2020년03월_계_40~49세,"77,548","1,976",888,"2,818",744,"5,950","3,863","1,798","3,061","1,423","4,421","8,365","4,473","6,104","18,052","4,700",185,190,499,216,253,"7,569"
2020년03월_계_50~59세,"62,454","1,821","1,105","2,462",809,"4,490","4,519","2,334","3,063","1,316","5,264","7,502","3,194","5,410","9,333","3,123",393,344,677,412,329,"4,554"
2020년03월_계_60~69세,"30,962","1,306",935,"1,436",612,"2,809","2,831","1,341","1,605",632,"1,972","2,513","1,435","2,148","3,648","1,657",434,389,768,453,344,"1,694"
2020년03월_계_70~79세,"16,764",836,764,984,438,"1,376","1,469",560,728,388,791,"1,191",776,"1,255","1,661",589,370,362,573,365,396,892
2020년03월_계_80~89세,"7,484",321,294,385,152,561,765,256,291,199,380,578,277,518,598,254,249,175,291,290,299,351
2020년03월_계_90~99세,"1,102",49,37,55,31,94,122,35,39,22,66,85,32,71,89,36,37,19,63,40,36,44
2020년03월_계_100세 이상,64,3,6,5,5,6,2,0,3,1,1,3,4,3,5,4,2,3,2,3,2,1
