카테고리,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2020년01월_계_총인구수,"510,362","37,961","19,355","13,415","37,408","34,192","14,959","13,505","32,791","23,124","18,577","7,488","35,220","17,058","19,972","35,642","30,163","17,289","17,995","33,211","13,352","13,229","24,456"
2020년01월_계_연령구간인구수,"510,362","37,961","19,355","13,415","37,408","34,192","14,959","13,505","32,791","23,124","18,577","7,488","35,220","17,058","19,972","35,642","30,163","17,289","17,995","33,211","13,352","13,229","24,456"
2020년01월_계_0~9세,"36,284","2,592","1,109",716,"2,858","2,838","1,021",643,"2,880","1,392","1,329",374,"2,880","1,002","1,371","2,761","2,748",996,"1,259","2,193","1,212",782,"1,328"
2020년01월_계_10~19세,"46,097","3,122","1,497",906,"2,540","2,484",902,"1,050","3,945","2,175","1,968",578,"3,159","1,408","1,591","3,911","4,485","1,216","1,665","3,624","1,104","1,081","1,686"
2020년01월_계_20~29세,"73,282","6,245","2,776","1,800","5,879","5,304","2,186","1,799","4,455","3,074","2,752",970,"5,009","2,594","2,713","5,025","3,825","2,286","2,591","5,215","1,766","1,695","3,323"
2020년01월_계_30~39세,"72,003","6,344","2,841","1,758","6,967","6,512","2,380","1,506","4,087","2,568","2,273",898,"5,271","2,339","3,013","4,412","3,260","2,276","2,379","4,212","1,974","1,569","3,164"
2020년01월_계_40~49세,"80,798","5,824","2,985","1,958","5,752","5,473","2,204","1,886","5,682","3,360","2,972","1,181","5,371","2,550","2,634","6,005","6,190","2,538","2,860","5,662","1,936","2,036","3,739"
2020년01월_계_50~59세,"93,193","6,184","3,519","2,518","6,224","5,540","2,633","2,744","5,935","4,256","3,474","1,593","6,609","3,441","3,770","6,668","5,217","3,130","3,330","6,501","2,302","2,585","5,020"
2020년01월_계_60~69세,"62,360","4,337","2,543","2,018","4,126","3,470","2,033","2,162","3,488","3,305","2,260","1,106","4,143","2,224","2,895","3,871","2,588","2,721","2,256","3,364","1,867","1,955","3,628"
2020년01월_계_70~79세,"30,739","2,148","1,462","1,148","2,079","1,723","1,035","1,112","1,560","1,849",961,552,"1,852","1,009","1,261","1,857","1,200","1,512","1,145","1,626",821,"1,048","1,779"
2020년01월_계_80~89세,"13,387","1,003",537,499,849,722,477,508,645,977,514,182,808,423,616,964,551,556,450,693,315,404,694
2020년01월_계_90~99세,"2,026",149,74,82,119,114,78,80,108,151,72,43,112,64,105,156,98,55,56,116,49,62,83
2020년01월_계_100세 이상,193,13,12,12,15,12,10,15,6,17,2,11,6,4,3,12,1,3,4,5,6,12,12
2020년01월_남_총인구수,"252,799","18,289","9,694","6,690","18,528","16,961","7,414","6,825","16,186","11,244","8,925","4,029","17,627","8,631","9,774","17,478","14,637","8,740","8,765","16,058","6,860","6,784","12,660"
2020년01월_남_연령구간인구수,"252,799","18,289","9,694","6,690","18,528","16,961","7,414","6,825","16,186","11,244","8,925","4,029","17,627","8,631","9,774","17,478","14,637","8,740","8,765","16,058","6,860","6,784","12,660"
2020년01월_남_0~9세,"18,550","1,298",569,388,"1,441","1,437",554,338,"1,471",739,711,174,"1,490",495,695,"1,409","1,362",502,634,"1,105",652,429,657
2020년01월_남_10~19세,"23,840","1,545",771,486,"1,323","1,254",463,536,"2,052","1,151",995,304,"1,655",781,835,"2,014","2,289",639,844,"1,828",586,574,915
2020년01월_남_20~29세,"37,753","3,017","1,456",933,"2,898","2,657","1,084",996,"2,378","1,650","1,366",545,"2,628","1,369","1,428","2,640","1,963","1,210","1,300","2,626",971,897,"1,741"
2020년01월_남_30~39세,"37,136","3,270","1,529",942,"3,624","3,453","1,224",843,"1,924","1,290","1,135",503,"2,706","1,268","1,542","2,224","1,534","1,209","1,175","2,069","1,064",845,"1,763"
2020년01월_남_40~49세,"40,615","2,824","1,577","1,058","2,979","2,889","1,174",977,"2,744","1,654","1,383",685,"2,713","1,325","1,321","2,882","2,861","1,406","1,417","2,638","1,024","1,064","2,020"
2020년01월_남_50~59세,"45,766","2,922","1,753","1,224","3,023","2,664","1,282","1,402","2,895","1,990","1,624",886,"3,248","1,698","1,754","3,356","2,671","1,548","1,599","3,164","1,080","1,353","2,630"
2020년01월_남_60~69세,"30,464","2,036","1,184",974,"1,958","1,599",978,"1,063","1,748","1,599","1,113",606,"2,035","1,093","1,447","1,899","1,271","1,302","1,103","1,688",965,978,"1,825"
2020년01월_남_70~79세,"13,739",961,656,488,932,742,475,495,743,819,421,265,846,449,568,769,510,703,519,690,392,469,827
2020년01월_남_80~89세,"4,462",381,174,170,311,236,167,156,207,317,166,52,284,143,160,254,162,208,157,222,116,159,260
2020년01월_남_90~99세,431,34,21,21,34,28,12,16,23,32,10,5,21,10,22,30,14,13,16,26,8,14,21
2020년01월_남_100세 이상,43,1,4,6,5,2,1,3,1,3,1,4,1,0,2,1,0,0,1,2,2,2,1
2020년01월_여_총인구수,"257,563","19,672","9,661","6,725","18,880","17,231","7,545","6,680","16,605","11,880","9,652","3,459","17,593","8,427","10,198","18,164","15,526","8,549","9,230","17,153","6,492","6,445","11,796"
2020년01월_여_연령구간인구수,"257,563","19,672","9,661","6,725","18,880","17,231","7,545","6,680","16,605","11,880","9,652","3,459","17,593","8,427","10,198","18,164","15,526","8,549","9,230","17,153","6,492","6,445","11,796"
2020년01월_여_0~9세,"17,734","1,294",540,328,"1,417","1,401",467,305,"1,409",653,618,200,"1,390",507,676,"1,352","1,386",494,625,"1,088",560,353,671
2020년01월_여_10~19세,"22,257","1,577",726,420,"1,217","1,230",439,514,"1,893","1,024",973,274,"1,504",627,756,"1,897","2,196",577,821,"1,796",518,507,771
2020년01월_여_20~29세,"35,529","3,228","1,320",867,"2,981","2,647","1,102",803,"2,077","1,424","1,386",425,"2,381","1,225","1,285","2,385","1,862","1,076","1,291","2,589",795,798,"1,582"
2020년01월_여_30~39세,"34,867","3,074","1,312",816,"3,343","3,059","1,156",663,"2,163","1,278","1,138",395,"2,565","1,071","1,471","2,188","1,726","1,067","1,204","2,143",910,724,"1,401"
2020년01월_여_40~49세,"40,183","3,000","1,408",900,"2,773","2,584","1,030",909,"2,938","1,706","1,589",496,"2,658","1,225","1,313","3,123","3,329","1,132","1,443","3,024",912,972,"1,719"
2020년01월_여_50~59세,"47,427","3,262","1,766","1,294","3,201","2,876","1,351","1,342","3,040","2,266","1,850",707,"3,361","1,743","2,016","3,312","2,546","1,582","1,731","3,337","1,222","1,232","2,390"
2020년01월_여_60~69세,"31,896","2,301","1,359","1,044","2,168","1,871","1,055","1,099","1,740","1,706","1,147",500,"2,108","1,131","1,448","1,972","1,317","1,419","1,153","1,676",902,977,"1,803"
2020년01월_여_70~79세,"17,000","1,187",806,660,"1,147",981,560,617,817,"1,030",540,287,"1,006",560,693,"1,088",690,809,626,936,429,579,952
2020년01월_여_80~89세,"8,925",622,363,329,538,486,310,352,438,660,348,130,524,280,456,710,389,348,293,471,199,245,434
2020년01월_여_90~99세,"1,595",115,53,61,85,86,66,64,85,119,62,38,91,54,83,126,84,42,40,90,41,48,62
2020년01월_여_100세 이상,150,12,8,6,10,10,9,12,5,14,1,7,5,4,1,11,1,3,3,3,4,10,11
