카테고리,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2020년01월_계_총인구수,"43,975","13,904","6,318","3,769","3,094","2,000","1,194","2,492","3,152","4,629","3,423"
2020년01월_계_연령구간인구수,"43,975","13,904","6,318","3,769","3,094","2,000","1,194","2,492","3,152","4,629","3,423"
2020년01월_계_0~9세,"2,019","1,007",218,110,84,47,34,84,105,200,130
2020년01월_계_10~19세,"2,470","1,336",220,136,114,44,36,109,87,242,146
2020년01월_계_20~29세,"3,790","1,561",535,255,177,145,71,183,217,368,278
2020년01월_계_30~39세,"3,499","1,434",503,273,190,119,57,151,200,333,239
2020년01월_계_40~49세,"4,961","2,086",646,347,258,170,103,255,277,497,322
2020년01월_계_50~59세,"8,843","2,506","1,475",847,613,421,233,461,665,916,706
2020년01월_계_60~69세,"8,854","1,994","1,404",905,702,487,282,557,780,991,752
2020년01월_계_70~79세,"5,698","1,212",828,531,510,316,209,411,501,663,517
2020년01월_계_80~89세,"3,366",672,421,321,378,226,149,246,269,383,301
2020년01월_계_90~99세,452,91,64,43,63,24,19,35,49,33,31
2020년01월_계_100세 이상,23,5,4,1,5,1,1,0,2,3,1
2020년01월_남_총인구수,"22,709","7,046","3,434","2,061","1,516",998,617,"1,257","1,617","2,362","1,801"
2020년01월_남_연령구간인구수,"22,709","7,046","3,434","2,061","1,516",998,617,"1,257","1,617","2,362","1,801"
2020년01월_남_0~9세,"1,010",490,116,53,43,21,20,37,54,105,71
2020년01월_남_10~19세,"1,388",767,127,86,54,20,19,59,48,133,75
2020년01월_남_20~29세,"2,203",872,330,158,96,92,52,96,131,212,164
2020년01월_남_30~39세,"1,915",732,293,172,111,76,36,85,98,178,134
2020년01월_남_40~49세,"2,973","1,112",446,231,150,113,67,165,196,295,198
2020년01월_남_50~59세,"4,815","1,323",815,492,316,217,132,263,349,504,404
2020년01월_남_60~69세,"4,601",979,757,516,380,245,139,270,412,510,393
2020년01월_남_70~79세,"2,601",532,402,246,235,131,102,180,234,297,242
2020년01월_남_80~89세,"1,091",217,131,96,113,80,47,93,81,120,113
2020년01월_남_90~99세,107,21,15,11,17,3,2,9,14,8,7
2020년01월_남_100세 이상,5,1,2,0,1,0,1,0,0,0,0
2020년01월_여_총인구수,"21,266","6,858","2,884","1,708","1,578","1,002",577,"1,235","1,535","2,267","1,622"
2020년01월_여_연령구간인구수,"21,266","6,858","2,884","1,708","1,578","1,002",577,"1,235","1,535","2,267","1,622"
2020년01월_여_0~9세,"1,009",517,102,57,41,26,14,47,51,95,59
2020년01월_여_10~19세,"1,082",569,93,50,60,24,17,50,39,109,71
2020년01월_여_20~29세,"1,587",689,205,97,81,53,19,87,86,156,114
2020년01월_여_30~39세,"1,584",702,210,101,79,43,21,66,102,155,105
2020년01월_여_40~49세,"1,988",974,200,116,108,57,36,90,81,202,124
2020년01월_여_50~59세,"4,028","1,183",660,355,297,204,101,198,316,412,302
2020년01월_여_60~69세,"4,253","1,015",647,389,322,242,143,287,368,481,359
2020년01월_여_70~79세,"3,097",680,426,285,275,185,107,231,267,366,275
2020년01월_여_80~89세,"2,275",455,290,225,265,146,102,153,188,263,188
2020년01월_여_90~99세,345,70,49,32,46,21,17,26,35,25,24
2020년01월_여_100세 이상,18,4,2,1,4,1,0,0,2,3,1
