카테고리,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2020년03월_계_총인구수,"237,508","6,458","10,304","11,623","8,698","8,891","17,059","17,360","13,468","18,029","27,939","2,415","10,173","30,254","19,435","34,289","1,113"
2020년03월_계_연령구간인구수,"237,508","6,458","10,304","11,623","8,698","8,891","17,059","17,360","13,468","18,029","27,939","2,415","10,173","30,254","19,435","34,289","1,113"
2020년03월_계_0~9세,"13,852",125,381,373,319,330,933,"1,263",610,"1,014","2,776",79,552,"1,352","1,339","2,321",85
2020년03월_계_10~19세,"18,758",332,547,623,409,512,"1,490","1,453",861,"1,314","2,511",117,732,"2,311","1,923","3,507",116
2020년03월_계_20~29세,"34,053",638,"1,213","1,281",906,937,"2,596","2,453","1,638","5,541","3,552",212,"1,124","4,697","2,561","4,621",83
2020년03월_계_30~39세,"26,514",541,"1,023","1,163",919,898,"1,866","2,241","1,557","2,011","3,932",196,"1,012","3,193","2,230","3,643",89
2020년03월_계_40~49세,"33,268",870,"1,290","1,415","1,066","1,183","2,435","2,481","1,874","2,190","4,757",260,"1,326","3,920","2,961","5,059",181
2020년03월_계_50~59세,"42,032","1,285","2,123","2,400","1,729","1,540","3,078","3,041","2,347","2,347","3,928",502,"1,810","5,822","3,599","6,301",180
2020년03월_계_60~69세,"37,843","1,410","2,165","2,393","1,917","1,805","2,535","2,517","2,586","1,947","3,301",532,"1,888","4,867","2,762","5,005",213
2020년03월_계_70~79세,"21,426",856,"1,110","1,417","1,067","1,205","1,433","1,250","1,447","1,136","2,077",339,"1,160","2,846","1,418","2,559",106
2020년03월_계_80~89세,"8,428",353,391,498,317,435,614,566,478,469,844,155,497,"1,097",562,"1,105",47
2020년03월_계_90~99세,"1,140",37,47,49,46,43,72,90,68,50,165,20,68,142,73,159,11
2020년03월_계_100세 이상,194,11,14,11,3,3,7,5,2,10,96,3,4,7,7,9,2
2020년03월_남_총인구수,"116,174","3,276","5,145","5,853","4,568","4,286","8,203","8,327","6,503","9,222","13,447","1,277","5,000","14,832","9,234","16,457",544
2020년03월_남_연령구간인구수,"116,174","3,276","5,145","5,853","4,568","4,286","8,203","8,327","6,503","9,222","13,447","1,277","5,000","14,832","9,234","16,457",544
2020년03월_남_0~9세,"7,120",66,183,193,182,171,499,650,308,492,"1,462",40,273,701,681,"1,178",41
2020년03월_남_10~19세,"9,650",176,283,319,222,259,768,732,470,648,"1,372",61,388,"1,175",925,"1,791",61
2020년03월_남_20~29세,"18,461",366,670,718,500,512,"1,366","1,283",867,"3,187","1,857",126,652,"2,561","1,352","2,396",48
2020년03월_남_30~39세,"13,697",322,566,669,517,489,933,"1,130",823,"1,081","1,868",122,512,"1,735","1,096","1,793",41
2020년03월_남_40~49세,"16,531",504,701,791,635,651,"1,136","1,182",967,"1,126","2,331",138,643,"1,945","1,370","2,320",91
2020년03월_남_50~59세,"19,906",671,"1,044","1,178",889,721,"1,420","1,400","1,075","1,114","1,808",276,863,"2,716","1,661","2,982",88
2020년03월_남_60~69세,"17,710",650,"1,025","1,155",973,797,"1,210","1,165","1,152",873,"1,471",291,869,"2,294","1,305","2,372",108
2020년03월_남_70~79세,"9,758",382,518,623,520,529,631,565,653,512,928,165,569,"1,280",639,"1,196",48
2020년03월_남_80~89세,"3,033",130,144,196,120,141,225,195,178,174,297,50,204,391,190,385,13
2020년03월_남_90~99세,267,8,7,11,9,14,14,23,10,12,30,8,27,33,14,43,4
2020년03월_남_100세 이상,41,1,4,0,1,2,1,2,0,3,23,0,0,1,1,1,1
2020년03월_여_총인구수,"121,334","3,182","5,159","5,770","4,130","4,605","8,856","9,033","6,965","8,807","14,492","1,138","5,173","15,422","10,201","17,832",569
2020년03월_여_연령구간인구수,"121,334","3,182","5,159","5,770","4,130","4,605","8,856","9,033","6,965","8,807","14,492","1,138","5,173","15,422","10,201","17,832",569
2020년03월_여_0~9세,"6,732",59,198,180,137,159,434,613,302,522,"1,314",39,279,651,658,"1,143",44
2020년03월_여_10~19세,"9,108",156,264,304,187,253,722,721,391,666,"1,139",56,344,"1,136",998,"1,716",55
2020년03월_여_20~29세,"15,592",272,543,563,406,425,"1,230","1,170",771,"2,354","1,695",86,472,"2,136","1,209","2,225",35
2020년03월_여_30~39세,"12,817",219,457,494,402,409,933,"1,111",734,930,"2,064",74,500,"1,458","1,134","1,850",48
2020년03월_여_40~49세,"16,737",366,589,624,431,532,"1,299","1,299",907,"1,064","2,426",122,683,"1,975","1,591","2,739",90
2020년03월_여_50~59세,"22,126",614,"1,079","1,222",840,819,"1,658","1,641","1,272","1,233","2,120",226,947,"3,106","1,938","3,319",92
2020년03월_여_60~69세,"20,133",760,"1,140","1,238",944,"1,008","1,325","1,352","1,434","1,074","1,830",241,"1,019","2,573","1,457","2,633",105
2020년03월_여_70~79세,"11,668",474,592,794,547,676,802,685,794,624,"1,149",174,591,"1,566",779,"1,363",58
2020년03월_여_80~89세,"5,395",223,247,302,197,294,389,371,300,295,547,105,293,706,372,720,34
2020년03월_여_90~99세,873,29,40,38,37,29,58,67,58,38,135,12,41,109,59,116,7
2020년03월_여_100세 이상,153,10,10,11,2,1,6,3,2,7,73,3,4,6,6,8,1
