,전라남도 화순군,전라남도 화순군 화순읍,전라남도 화순군 한천면,전라남도 화순군 한천면영외출장소,전라남도 화순군 춘양면,전라남도 화순군 청풍면,전라남도 화순군 이양면,전라남도 화순군 능주면,전라남도 화순군 도곡면,전라남도 화순군 도암면,전라남도 화순군 이서면,전라남도 화순군 백아면,전라남도 화순군 동복면,전라남도 화순군 사평면,전라남도 화순군 동면
2020년03월_계_총인구수,"62,493","39,001",946,433,"1,820","1,040","1,833","3,280","2,828","1,452",983,"1,595","1,630","2,198","3,454"
2020년03월_계_연령구간인구수,"62,493","39,001",946,433,"1,820","1,040","1,833","3,280","2,828","1,452",983,"1,595","1,630","2,198","3,454"
2020년03월_계_0~9세,"3,596","2,989",13,13,42,25,39,115,79,33,17,37,36,54,104
2020년03월_계_10~19세,"5,924","4,886",47,13,78,28,62,216,130,52,39,63,66,72,172
2020년03월_계_20~29세,"6,793","5,086",63,13,122,56,100,306,222,75,82,84,118,159,307
2020년03월_계_30~39세,"4,884","3,608",55,24,89,33,92,240,187,59,50,59,65,128,195
2020년03월_계_40~49세,"8,573","6,455",99,38,130,66,165,345,279,118,80,135,131,177,355
2020년03월_계_50~59세,"11,222","6,795",164,68,340,201,336,590,556,264,197,308,288,423,692
2020년03월_계_60~69세,"8,877","4,251",185,94,337,190,342,644,595,305,199,303,317,441,674
2020년03월_계_70~79세,"7,474","3,138",198,110,348,210,376,502,415,322,184,362,339,438,532
2020년03월_계_80~89세,"4,490","1,566",109,51,300,208,276,279,310,198,119,208,228,261,377
2020년03월_계_90~99세,626,214,12,9,34,23,41,43,54,24,14,35,39,43,41
2020년03월_계_100세 이상,34,13,1,0,0,0,4,0,1,2,2,1,3,2,5
2020년03월_남_총인구수,"30,938","19,191",488,207,918,502,888,"1,632","1,405",761,504,790,768,"1,115","1,769"
2020년03월_남_연령구간인구수,"30,938","19,191",488,207,918,502,888,"1,632","1,405",761,504,790,768,"1,115","1,769"
2020년03월_남_0~9세,"1,837","1,531",4,7,26,12,18,64,31,15,7,24,15,30,53
2020년03월_남_10~19세,"3,093","2,546",28,8,40,14,30,101,75,32,21,30,32,40,96
2020년03월_남_20~29세,"3,683","2,717",36,5,58,31,49,181,125,53,48,59,68,88,165
2020년03월_남_30~39세,"2,491","1,757",43,14,54,13,51,136,107,36,31,26,42,73,108
2020년03월_남_40~49세,"4,480","3,159",61,25,87,52,104,194,174,79,52,92,75,113,213
2020년03월_남_50~59세,"6,137","3,511",100,43,219,125,215,326,303,160,108,196,167,253,411
2020년03월_남_60~69세,"4,610","2,087",95,46,195,111,184,337,325,174,115,163,168,242,368
2020년03월_남_70~79세,"3,069","1,301",87,39,146,86,152,201,182,132,73,134,131,179,226
2020년03월_남_80~89세,"1,386",527,34,17,86,54,73,85,73,71,43,56,64,84,119
2020년03월_남_90~99세,150,54,0,3,7,4,11,7,10,9,6,10,6,13,10
2020년03월_남_100세 이상,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2020년03월_여_총인구수,"31,555","19,810",458,226,902,538,945,"1,648","1,423",691,479,805,862,"1,083","1,685"
2020년03월_여_연령구간인구수,"31,555","19,810",458,226,902,538,945,"1,648","1,423",691,479,805,862,"1,083","1,685"
2020년03월_여_0~9세,"1,759","1,458",9,6,16,13,21,51,48,18,10,13,21,24,51
2020년03월_여_10~19세,"2,831","2,340",19,5,38,14,32,115,55,20,18,33,34,32,76
2020년03월_여_20~29세,"3,110","2,369",27,8,64,25,51,125,97,22,34,25,50,71,142
2020년03월_여_30~39세,"2,393","1,851",12,10,35,20,41,104,80,23,19,33,23,55,87
2020년03월_여_40~49세,"4,093","3,296",38,13,43,14,61,151,105,39,28,43,56,64,142
2020년03월_여_50~59세,"5,085","3,284",64,25,121,76,121,264,253,104,89,112,121,170,281
2020년03월_여_60~69세,"4,267","2,164",90,48,142,79,158,307,270,131,84,140,149,199,306
2020년03월_여_70~79세,"4,405","1,837",111,71,202,124,224,301,233,190,111,228,208,259,306
2020년03월_여_80~89세,"3,104","1,039",75,34,214,154,203,194,237,127,76,152,164,177,258
2020년03월_여_90~99세,476,160,12,6,27,19,30,36,44,15,8,25,33,30,31
2020년03월_여_100세 이상,32,12,1,0,0,0,3,0,1,2,2,1,3,2,5
