카테고리,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2020년03월_계_총인구수,"395,014","32,182","12,711","45,749","28,634","25,475","29,339","32,781","23,342","27,707","25,561","14,649","13,303","39,557","23,689","20,335"
2020년03월_계_연령구간인구수,"395,014","32,182","12,711","45,749","28,634","25,475","29,339","32,781","23,342","27,707","25,561","14,649","13,303","39,557","23,689","20,335"
2020년03월_계_0~9세,"26,039","2,058",377,"3,159","2,389","1,380","1,876","2,456",872,"1,871","2,221",795,962,"2,463","1,640","1,520"
2020년03월_계_10~19세,"29,107","2,064",622,"3,494","1,988","1,769","2,011","2,243",992,"1,738","1,689",790,950,"4,383","2,617","1,757"
2020년03월_계_20~29세,"66,625","5,587","2,230","9,766","4,463","4,274","4,596","5,198","5,270","3,803","3,513","2,540","2,051","6,558","3,287","3,489"
2020년03월_계_30~39세,"63,399","5,361","1,865","6,561","4,937","4,335","4,981","4,842","4,743","4,636","4,236","2,566","2,244","5,597","3,080","3,415"
2020년03월_계_40~49세,"60,178","4,442","1,596","6,680","4,507","3,825","4,498","4,972","2,945","4,130","3,929","2,129","2,099","6,913","4,201","3,312"
2020년03월_계_50~59세,"59,002","4,790","2,273","6,424","4,166","3,893","4,524","5,261","3,189","4,293","3,762","2,169","2,024","5,875","3,654","2,705"
2020년03월_계_60~69세,"47,934","4,106","1,955","5,061","3,259","3,090","3,627","3,938","3,016","3,842","3,438","1,962","1,612","4,073","2,862","2,093"
2020년03월_계_70~79세,"29,339","2,482","1,213","3,080","1,941","2,053","2,212","2,498","1,760","2,394","2,012","1,223",951,"2,464","1,602","1,454"
2020년03월_계_80~89세,"11,372","1,091",486,"1,281",836,737,893,"1,132",482,843,642,403,344,"1,053",643,506
2020년03월_계_90~99세,"1,717",168,80,211,122,105,110,188,67,122,99,65,55,156,98,71
2020년03월_계_100세 이상,302,33,14,32,26,14,11,53,6,35,20,7,11,22,5,13
2020년03월_남_총인구수,"191,272","15,956","6,535","22,244","13,786","12,213","14,278","15,970","11,099","13,354","12,397","7,020","6,461","18,776","11,436","9,747"
2020년03월_남_연령구간인구수,"191,272","15,956","6,535","22,244","13,786","12,213","14,278","15,970","11,099","13,354","12,397","7,020","6,461","18,776","11,436","9,747"
2020년03월_남_0~9세,"13,332","1,041",201,"1,588","1,243",724,954,"1,265",438,975,"1,128",419,487,"1,251",843,775
2020년03월_남_10~19세,"14,866","1,056",320,"1,777","1,023",897,"1,076","1,132",532,943,909,401,492,"2,144","1,287",877
2020년03월_남_20~29세,"32,349","2,903","1,194","5,001","2,123","1,970","2,234","2,733","2,292","1,836","1,644","1,184","1,018","3,060","1,589","1,568"
2020년03월_남_30~39세,"32,068","2,876","1,093","3,255","2,390","2,270","2,593","2,416","2,451","2,301","2,040","1,317","1,130","2,737","1,520","1,679"
2020년03월_남_40~49세,"30,092","2,301",883,"3,345","2,262","1,891","2,268","2,516","1,508","2,034","2,020","1,081","1,062","3,294","1,992","1,635"
2020년03월_남_50~59세,"28,270","2,304","1,138","2,982","1,995","1,847","2,149","2,521","1,440","2,018","1,784","1,025",939,"2,970","1,843","1,315"
2020년03월_남_60~69세,"22,078","1,910",917,"2,384","1,515","1,365","1,671","1,845","1,353","1,753","1,610",856,759,"1,823","1,346",971
2020년03월_남_70~79세,"13,196","1,101",555,"1,373",866,933,976,"1,057",848,"1,107",948,569,425,"1,038",731,669
2020년03월_남_80~89세,"4,467",412,209,476,322,287,317,418,222,342,285,152,135,408,256,226
2020년03월_남_90~99세,464,41,19,55,40,24,36,50,15,31,23,15,13,46,28,28
2020년03월_남_100세 이상,90,11,6,8,7,5,4,17,0,14,6,1,1,5,1,4
2020년03월_여_총인구수,"203,742","16,226","6,176","23,505","14,848","13,262","15,061","16,811","12,243","14,353","13,164","7,629","6,842","20,781","12,253","10,588"
2020년03월_여_연령구간인구수,"203,742","16,226","6,176","23,505","14,848","13,262","15,061","16,811","12,243","14,353","13,164","7,629","6,842","20,781","12,253","10,588"
2020년03월_여_0~9세,"12,707","1,017",176,"1,571","1,146",656,922,"1,191",434,896,"1,093",376,475,"1,212",797,745
2020년03월_여_10~19세,"14,241","1,008",302,"1,717",965,872,935,"1,111",460,795,780,389,458,"2,239","1,330",880
2020년03월_여_20~29세,"34,276","2,684","1,036","4,765","2,340","2,304","2,362","2,465","2,978","1,967","1,869","1,356","1,033","3,498","1,698","1,921"
2020년03월_여_30~39세,"31,331","2,485",772,"3,306","2,547","2,065","2,388","2,426","2,292","2,335","2,196","1,249","1,114","2,860","1,560","1,736"
2020년03월_여_40~49세,"30,086","2,141",713,"3,335","2,245","1,934","2,230","2,456","1,437","2,096","1,909","1,048","1,037","3,619","2,209","1,677"
