카테고리,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 동백동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2020년01월_계_총인구수,"1,061,440","253,896","32,956","25,699","20,150","23,002","8,266","8,460","18,289","24,251","43,823","35,736","13,264","437,146","38,976",0,"30,800","16,397","42,138","13,599","33,283","21,005","25,345","39,497","32,354","32,984","27,345","22,397",0,"24,868","36,158","370,398","36,234","42,213","38,101","57,081","18,673","46,084","48,985","34,300","48,727"
2020년01월_계_연령구간인구수,"1,061,440","253,896","32,956","25,699","20,150","23,002","8,266","8,460","18,289","24,251","43,823","35,736","13,264","437,146","38,976",0,"30,800","16,397","42,138","13,599","33,283","21,005","25,345","39,497","32,354","32,984","27,345","22,397",0,"24,868","36,158","370,398","36,234","42,213","38,101","57,081","18,673","46,084","48,985","34,300","48,727"
2020년01월_계_0~9세,"105,068","22,151","2,498","2,040","1,682","3,108",355,253,"1,337","1,666","5,078","3,365",769,"45,547","3,608",0,"3,765","1,874","4,553","1,078","3,289","1,998","3,356","3,669","2,889","3,801","2,857","3,053",0,"2,168","3,589","37,370","2,969","4,887","3,731","5,536","1,632","5,288","4,921","3,497","4,909"
2020년01월_계_10~19세,"122,792","25,261","3,800","2,370","1,864","1,718",577,518,"1,882","2,240","4,509","4,549","1,234","51,659","3,814",0,"3,634","1,289","3,536","1,399","4,372","2,172","2,394","4,971","3,161","5,794","4,750","2,898",0,"2,960","4,515","45,872","3,904","6,003","5,336","7,312","1,658","5,092","6,397","4,334","5,836"
2020년01월_계_20~29세,"132,617","33,268","4,599","3,187","2,080","1,998",796,831,"2,212","4,299","6,650","4,730","1,886","53,920","5,108",0,"3,703","2,085","6,472","1,939","3,896","2,400","4,520","4,163","3,997","3,344","2,970","2,130",0,"3,261","3,932","45,429","5,369","5,008","4,035","7,579","2,785","5,267","6,294","3,886","5,206"
2020년01월_계_30~39세,"148,937","34,718","4,042","3,182","2,407","4,336",741,748,"2,288","3,128","7,593","4,756","1,497","62,185","6,344",0,"5,028","3,004","8,310","1,951","4,099","2,847","4,837","4,561","4,262","3,665","2,669","3,188",0,"2,994","4,426","52,034","6,130","6,368","4,165","7,340","3,420","7,501","6,943","4,499","5,668"
2020년01월_계_40~49세,"200,806","43,359","6,094","4,342","3,401","3,788","1,125","1,061","3,043","3,909","7,623","6,875","2,098","84,864","6,791",0,"6,182","2,632","7,167","2,495","6,606","3,811","4,273","7,932","5,470","8,114","6,466","4,888",0,"4,656","7,381","72,583","6,390","9,165","8,186","11,237","3,081","8,874","9,567","6,640","9,443"
2020년01월_계_50~59세,"158,617","42,553","5,690","4,565","3,693","3,170","1,647","1,702","3,288","4,116","6,238","5,840","2,604","63,270","6,126",0,"4,531","2,589","6,247","2,210","4,790","3,322","3,198","5,569","4,931","4,185","3,968","2,536",0,"4,138","4,930","52,794","5,329","5,647","5,480","8,379","2,843","6,434","6,872","4,956","6,854"
2020년01월_계_60~69세,"99,383","28,782","3,361","3,344","2,679","2,727","1,557","1,673","2,361","2,729","3,476","3,044","1,831","38,768","3,757",0,"2,365","1,519","3,305","1,224","3,190","2,449","1,646","4,123","3,638","1,987","1,860","1,803",0,"2,507","3,395","31,833","3,041","2,373","3,358","4,848","1,704","4,234","4,012","3,000","5,263"
2020년01월_계_70~79세,"63,594","15,545","1,851","1,789","1,468","1,474",925,952,"1,158","1,424","1,821","1,753",930,"25,369","2,328",0,"1,085",741,"1,799",900,"2,142","1,380",780,"3,126","2,756","1,437","1,221","1,391",0,"1,474","2,809","22,680","2,112","1,774","2,682","3,273","1,023","2,452","2,796","2,488","4,080"
