카테고리,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2020년03월_계_총인구수,"589,302","42,292","23,477","21,573","32,067","53,317","18,934","22,375","21,545","35,354","24,992","25,797","33,807","14,942","15,989","38,306","44,392","27,251","45,162","23,601","24,129"
2020년03월_계_연령구간인구수,"589,302","42,292","23,477","21,573","32,067","53,317","18,934","22,375","21,545","35,354","24,992","25,797","33,807","14,942","15,989","38,306","44,392","27,251","45,162","23,601","24,129"
2020년03월_계_0~9세,"42,840","4,329","1,380","1,471","1,813","3,089","1,371","1,418","1,288","2,542","1,383","1,556","1,874",564,819,"3,766","4,068","2,710","4,610","1,257","1,532"
2020년03월_계_10~19세,"46,611","4,578","1,471","1,710","2,278","2,692","1,563","1,670","1,441","2,617","1,763","1,724","2,037",497,673,"5,140","5,560","1,753","4,296","1,555","1,593"
2020년03월_계_20~29세,"87,486","5,637","4,597","3,346","4,340","9,137","2,570","3,288","2,991","5,802","4,080","3,869","8,288","1,833","1,959","4,759","5,342","3,923","5,510","3,464","2,751"
2020년03월_계_30~39세,"101,665","7,421","5,617","3,667","4,693","11,011","3,118","3,401","3,582","6,609","4,148","4,542","8,015","2,594","3,222","4,654","5,903","5,218","6,865","3,573","3,812"
2020년03월_계_40~49세,"92,942","7,772","3,319","3,147","4,128","7,757","3,261","3,294","3,328","5,788","3,758","4,070","4,565","1,486","2,020","7,484","8,765","4,196","7,886","3,323","3,595"
2020년03월_계_50~59세,"88,423","6,036","3,085","3,567","5,623","7,709","2,898","3,478","3,552","4,992","4,061","3,920","4,272","2,450","2,399","5,726","6,578","3,869","6,616","3,785","3,807"
2020년03월_계_60~69세,"74,524","4,044","2,127","2,832","5,004","6,900","2,413","3,413","3,082","4,123","3,547","3,464","3,034","3,149","2,651","3,810","4,872","3,161","5,478","3,571","3,849"
2020년03월_계_70~79세,"38,030","1,707","1,097","1,305","2,488","3,715","1,317","1,757","1,632","2,082","1,617","2,016","1,168","1,509","1,506","2,078","2,445","1,674","2,728","2,098","2,091"
2020년03월_계_80~89세,"14,188",670,650,442,"1,395","1,137",360,544,566,659,540,560,469,731,623,753,709,628,"1,003",840,909
2020년03월_계_90~99세,"2,371",87,129,82,291,153,57,90,77,131,88,71,80,126,115,127,127,92,157,110,181
2020년03월_계_100세 이상,222,11,5,4,14,17,6,22,6,9,7,5,5,3,2,9,23,27,13,25,9
2020년03월_남_총인구수,"285,085","20,617","11,082","10,627","15,278","26,010","9,210","10,758","10,562","17,249","12,307","12,401","15,687","7,095","7,526","18,236","21,256","13,788","22,046","11,665","11,685"
2020년03월_남_연령구간인구수,"285,085","20,617","11,082","10,627","15,278","26,010","9,210","10,758","10,562","17,249","12,307","12,401","15,687","7,095","7,526","18,236","21,256","13,788","22,046","11,665","11,685"
2020년03월_남_0~9세,"21,909","2,242",711,755,926,"1,565",700,745,670,"1,282",713,774,988,276,440,"1,945","2,035","1,404","2,295",653,790
2020년03월_남_10~19세,"23,721","2,346",831,953,"1,192","1,328",783,838,730,"1,399",980,873,"1,009",263,339,"2,473","2,658",899,"2,164",834,829
2020년03월_남_20~29세,"41,028","2,636","1,878","1,707","2,234","4,211","1,298","1,564","1,575","2,769","1,995","1,894","2,877",829,949,"2,339","2,592","1,957","2,645","1,664","1,415"
2020년03월_남_30~39세,"51,551","3,522","2,712","1,843","2,401","5,860","1,615","1,691","1,844","3,519","2,152","2,346","4,124","1,359","1,645","2,198","2,799","2,709","3,376","1,909","1,927"
2020년03월_남_40~49세,"46,703","3,826","1,663","1,536","1,964","4,051","1,636","1,590","1,705","2,934","1,905","2,082","2,374",751,"1,066","3,576","4,125","2,277","4,030","1,775","1,837"
2020년03월_남_50~59세,"42,115","2,966","1,491","1,681","2,590","3,628","1,348","1,641","1,693","2,308","1,899","1,735","2,023","1,144","1,105","2,762","3,280","1,936","3,205","1,868","1,812"
2020년03월_남_60~69세,"34,626","2,006","1,016","1,331","2,353","3,060","1,061","1,599","1,365","1,813","1,679","1,499","1,544","1,562","1,160","1,678","2,251","1,530","2,628","1,695","1,796"
2020년03월_남_70~79세,"17,839",815,491,648,"1,094","1,830",623,880,750,949,786,963,567,676,614,972,"1,211",798,"1,299",940,933
2020년03월_남_80~89세,"4,972",235,239,156,439,427,134,184,212,245,180,217,160,209,189,270,273,252,362,289,300
2020년03월_남_90~99세,553,23,48,17,78,43,11,23,16,28,17,16,20,24,19,21,26,15,36,28,44
2020년03월_남_100세 이상,68,0,2,0,7,7,1,3,2,3,1,2,1,2,0,2,6,11,6,10,2
2020년03월_여_총인구수,"304,217","21,675","12,395","10,946","16,789","27,307","9,724","11,617","10,983","18,105","12,685","13,396","18,120","7,847","8,463","20,070","23,136","13,463","23,116","11,936","12,444"
2020년03월_여_연령구간인구수,"304,217","21,675","12,395","10,946","16,789","27,307","9,724","11,617","10,983","18,105","12,685","13,396","18,120","7,847","8,463","20,070","23,136","13,463","23,116","11,936","12,444"
2020년03월_여_0~9세,"20,931","2,087",669,716,887,"1,524",671,673,618,"1,260",670,782,886,288,379,"1,821","2,033","1,306","2,315",604,742
2020년03월_여_10~19세,"22,890","2,232",640,757,"1,086","1,364",780,832,711,"1,218",783,851,"1,028",234,334,"2,667","2,902",854,"2,132",721,764
2020년03월_여_20~29세,"46,458","3,001","2,719","1,639","2,106","4,926","1,272","1,724","1,416","3,033","2,085","1,975","5,411","1,004","1,010","2,420","2,750","1,966","2,865","1,800","1,336"
2020년03월_여_30~39세,"50,114","3,899","2,905","1,824","2,292","5,151","1,503","1,710","1,738","3,090","1,996","2,196","3,891","1,235","1,577","2,456","3,104","2,509","3,489","1,664","1,885"
2020년03월_여_40~49세,"46,239","3,946","1,656","1,611","2,164","3,706","1,625","1,704","1,623","2,854","1,853","1,988","2,191",735,954,"3,908","4,640","1,919","3,856","1,548","1,758"
2020년03월_여_50~59세,"46,308","3,070","1,594","1,886","3,033","4,081","1,550","1,837","1,859","2,684","2,162","2,185","2,249","1,306","1,294","2,964","3,298","1,933","3,411","1,917","1,995"
2020년03월_여_60~69세,"39,898","2,038","1,111","1,501","2,651","3,840","1,352","1,814","1,717","2,310","1,868","1,965","1,490","1,587","1,491","2,132","2,621","1,631","2,850","1,876","2,053"
2020년03월_여_70~79세,"20,191",892,606,657,"1,394","1,885",694,877,882,"1,133",831,"1,053",601,833,892,"1,106","1,234",876,"1,429","1,158","1,158"
2020년03월_여_80~89세,"9,216",435,411,286,956,710,226,360,354,414,360,343,309,522,434,483,436,376,641,551,609
2020년03월_여_90~99세,"1,818",64,81,65,213,110,46,67,61,103,71,55,60,102,96,106,101,77,121,82,137
2020년03월_여_100세 이상,154,11,3,4,7,10,5,19,4,6,6,3,4,1,2,7,17,16,7,15,7
