,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 덕양구 주교동,경기도 고양시 덕양구 원신동,경기도 고양시 덕양구 흥도동,경기도 고양시 덕양구 성사1동,경기도 고양시 덕양구 성사2동,경기도 고양시 덕양구 효자동,경기도 고양시 덕양구 삼송동,경기도 고양시 덕양구 창릉동,경기도 고양시 덕양구 고양동,경기도 고양시 덕양구 관산동,경기도 고양시 덕양구 능곡동,경기도 고양시 덕양구 화정1동,경기도 고양시 덕양구 화정2동,경기도 고양시 덕양구 행주동,경기도 고양시 덕양구 행신1동,경기도 고양시 덕양구 행신2동,경기도 고양시 덕양구 행신3동,경기도 고양시 덕양구 화전동,경기도 고양시 덕양구 대덕동,경기도 고양시 일산동구,경기도 고양시 일산동구 식사동,경기도 고양시 일산동구 중산동,경기도 고양시 일산동구 정발산동,경기도 고양시 일산동구 풍산동,경기도 고양시 일산동구 백석1동,경기도 고양시 일산동구 백석2동,경기도 고양시 일산동구 마두1동,경기도 고양시 일산동구 마두2동,경기도 고양시 일산동구 장항1동,경기도 고양시 일산동구 장항2동,경기도 고양시 일산동구 고봉동,경기도 고양시 일산서구,경기도 고양시 일산서구 일산1동,경기도 고양시 일산서구 일산2동,경기도 고양시 일산서구 일산3동,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 주엽1동,경기도 고양시 일산서구 주엽2동,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 송포동,경기도 고양시 일산서구 송산동
2020년03월_계_총인구수,"1,072,909","471,039","15,534","23,898","44,551","21,946","11,667","10,257","22,117","20,149","30,947","36,503","15,932","38,567","33,826","19,720","22,553","32,976","46,772","20,507","2,617","298,863","34,359","47,879","24,108","39,524","31,219","20,943","24,730","16,677","10,540","26,306","22,578","303,007","28,227","19,020","36,501","52,815","28,469","29,657","34,858","21,691","51,769"
2020년03월_계_연령구간인구수,"1,072,909","471,039","15,534","23,898","44,551","21,946","11,667","10,257","22,117","20,149","30,947","36,503","15,932","38,567","33,826","19,720","22,553","32,976","46,772","20,507","2,617","298,863","34,359","47,879","24,108","39,524","31,219","20,943","24,730","16,677","10,540","26,306","22,578","303,007","28,227","19,020","36,501","52,815","28,469","29,657","34,858","21,691","51,769"
2020년03월_계_0~9세,"84,647","39,167",646,"3,273","5,628","1,359",697,"1,412","2,204","2,478","2,465","2,278",965,"2,208","2,863",820,"1,577","2,452","3,032","2,717",93,"21,674","3,458","3,608","1,334","3,435","2,135",960,"1,537","1,273","1,327","1,183","1,424","23,806","2,183","1,045","2,752","4,929","2,071","2,108","2,217","1,661","4,840"
2020년03월_계_10~19세,"108,017","42,352","1,303","1,875","3,721","1,954","1,135",737,"1,423","1,489","3,289","2,895","1,301","3,882","3,969","1,331","2,220","3,088","5,146","1,427",167,"30,607","4,642","4,769","2,269","4,697","2,971","1,432","3,354","2,292",945,"1,616","1,620","35,058","2,856","1,596","5,952","5,857","3,433","3,391","3,066","2,395","6,512"
2020년03월_계_20~29세,"150,346","62,629","2,213","2,393","5,028","2,992","1,446","1,390","2,720","2,301","3,567","4,380","2,168","6,297","4,676","2,988","3,200","5,042","7,038","2,337",453,"44,739","4,718","7,126","4,053","5,421","5,022","3,349","3,878","2,264","1,128","4,889","2,891","42,978","4,081","2,839","4,964","7,638","3,755","3,861","6,192","3,098","6,550"
2020년03월_계_30~39세,"142,165","66,780","1,514","4,259","7,983","2,524","1,364","2,209","4,270","4,503","3,554","4,295","1,827","4,324","4,320","2,345","2,801","4,975","5,216","4,220",277,"38,571","3,794","5,722","2,990","4,845","4,618","3,511","2,295","1,576","1,649","4,699","2,872","36,814","3,385","2,034","3,504","7,325","3,251","3,426","5,041","2,917","5,931"
2020년03월_계_40~49세,"185,328","78,977","2,312","4,264","8,168","3,649","1,840","1,658","3,513","3,496","5,495","5,772","2,402","6,251","6,564","2,941","3,757","5,242","7,995","3,343",315,"52,497","6,946","7,644","3,802","7,143","5,349","3,877","4,363","3,040","1,935","4,901","3,497","53,854","4,624","2,742","7,499","9,575","4,934","5,055","5,524","3,852","10,049"
2020년03월_계_50~59세,"192,899","81,990","3,280","3,360","6,186","4,294","2,129","1,353","3,241","2,525","5,054","6,926","3,244","7,615","5,773","4,184","4,279","6,049","9,237","2,777",484,"55,411","6,028","9,302","4,621","6,874","5,733","3,815","4,843","3,128","1,839","4,693","4,535","55,498","5,315","4,287","6,519","9,467","5,055","5,251","6,500","3,934","9,170"
2020년03월_계_60~69세,"112,453","53,029","2,274","2,629","4,386","2,736","1,526",803,"2,551","1,931","3,941","5,442","2,184","3,811","2,862","2,808","2,560","3,176","4,836","2,126",447,"30,317","2,723","5,211","2,782","3,949","3,110","2,131","2,423","1,468","1,086","2,226","3,208","29,107","3,010","2,508","2,978","4,217","2,876","2,999","3,478","2,110","4,931"
2020년03월_계_70~79세,"60,801","29,788","1,283","1,259","2,367","1,566",959,437,"1,510",979,"2,394","3,027","1,210","2,531","1,709","1,474","1,375","1,851","2,582","1,025",250,"15,265","1,337","2,686","1,427","1,971","1,438","1,125","1,208",855,444,"1,216","1,558","15,748","1,796","1,231","1,362","2,297","1,719","1,970","1,803","1,093","2,477"
2020년03월_계_80~89세,"31,450","14,151",620,515,949,747,512,200,598,368,"1,034","1,241",540,"1,461",973,722,690,970,"1,461",442,108,"8,436",613,"1,540",717,"1,039",752,645,703,675,154,775,823,"8,863",850,648,827,"1,321","1,210","1,397",911,556,"1,143"
2020년03월_계_90~99세,"4,485","1,972",83,66,130,113,54,40,72,67,141,209,79,172,114,100,89,124,225,76,18,"1,288",97,255,107,146,85,93,118,105,30,105,147,"1,225",117,85,138,186,159,191,118,73,158
2020년03월_계_100세 이상,318,204,6,5,5,12,5,18,15,12,13,38,12,15,3,7,5,7,4,17,5,58,3,16,6,4,6,5,8,1,3,3,3,56,10,5,6,3,6,8,8,2,8
2020년03월_남_총인구수,"525,756","233,101","8,008","11,543","21,664","10,875","5,652","5,043","10,728","10,100","15,575","18,570","8,150","18,736","16,400","10,244","10,989","16,246","22,753","10,304","1,521","145,533","16,710","23,187","11,643","19,115","14,909","10,134","11,949","7,850","5,421","12,796","11,819","147,122","13,754","9,438","17,712","25,861","13,405","13,884","16,824","10,721","25,523"
2020년03월_남_연령구간인구수,"525,756","233,101","8,008","11,543","21,664","10,875","5,652","5,043","10,728","10,100","15,575","18,570","8,150","18,736","16,400","10,244","10,989","16,246","22,753","10,304","1,521","145,533","16,710","23,187","11,643","19,115","14,909","10,134","11,949","7,850","5,421","12,796","11,819","147,122","13,754","9,438","17,712","25,861","13,405","13,884","16,824","10,721","25,523"
2020년03월_남_0~9세,"43,119","19,924",349,"1,662","2,794",699,350,709,"1,081","1,293","1,266","1,162",522,"1,122","1,426",429,820,"1,245","1,567","1,378",50,"11,099","1,754","1,859",693,"1,732","1,092",478,797,656,702,598,738,"12,096","1,083",509,"1,407","2,542","1,036","1,098","1,120",835,"2,466"
2020년03월_남_10~19세,"55,522","21,736",718,918,"1,872","1,032",586,345,728,756,"1,716","1,514",702,"2,035","2,033",697,"1,107","1,600","2,593",696,88,"15,860","2,394","2,503","1,155","2,419","1,531",757,"1,737","1,165",485,832,882,"17,926","1,462",854,"3,067","2,987","1,743","1,692","1,620","1,243","3,258"
2020년03월_남_20~29세,"76,804","32,336","1,222","1,204","2,479","1,569",770,618,"1,323","1,091","1,913","2,406","1,195","3,121","2,389","1,628","1,623","2,619","3,653","1,214",299,"22,503","2,349","3,754","2,070","2,748","2,468","1,592","1,911","1,132",598,"2,277","1,604","21,965","2,130","1,477","2,533","3,886","1,930","1,926","2,968","1,659","3,456"
2020년03월_남_30~39세,"70,255","33,623",837,"1,986","3,776","1,267",698,"1,096","2,142","2,255","1,826","2,270",941,"2,212","2,126","1,327","1,450","2,558","2,613","2,073",170,"18,718","1,650","2,791","1,518","2,366","2,274","1,701","1,065",669,751,"2,366","1,567","17,914","1,699","1,024","1,662","3,599","1,510","1,646","2,557","1,421","2,796"
2020년03월_남_40~49세,"89,719","39,750","1,214","2,188","4,267","1,884",872,870,"1,793","1,837","2,802","3,109","1,222","2,920","3,065","1,595","1,805","2,524","3,798","1,795",190,"24,855","3,236","3,582","1,790","3,331","2,438","1,896","1,970","1,330","1,018","2,356","1,908","25,114","2,183","1,362","3,355","4,597","2,179","2,283","2,570","1,782","4,803"
2020년03월_남_50~59세,"95,390","40,863","1,755","1,558","2,938","2,141","1,021",696,"1,509","1,259","2,672","3,538","1,651","3,763","2,834","2,233","2,060","2,960","4,561","1,413",301,"27,241","3,081","4,400","2,151","3,327","2,705","1,948","2,395","1,535",969,"2,338","2,392","27,286","2,573","2,126","3,213","4,706","2,389","2,473","3,135","1,960","4,711"
2020년03월_남_60~69세,"56,469","26,336","1,139","1,243","2,085","1,336",758,407,"1,224",974,"1,869","2,698","1,129","1,906","1,467","1,431","1,312","1,628","2,407","1,060",263,"15,402","1,440","2,586","1,354","1,948","1,519","1,061","1,281",748,601,"1,183","1,681","14,731","1,509","1,292","1,571","2,116","1,456","1,487","1,737","1,075","2,488"
2020년03월_남_70~79세,"25,861","12,849",549,583,"1,091",648,397,201,690,469,"1,062","1,365",567,994,674,629,537,758,"1,031",489,115,"6,462",544,"1,112",623,818,576,470,514,343,232,495,735,"6,550",759,529,576,925,672,736,769,499,"1,085"
2020년03월_남_80~89세,"11,365","5,134",204,181,338,275,186,73,220,144,403,452,204,602,354,257,252,320,471,159,39,"3,045",232,528,256,385,288,206,245,236,61,318,290,"3,186",321,242,288,454,434,477,314,229,427
2020년03월_남_90~99세,"1,169",498,19,19,24,23,13,19,13,21,41,46,15,57,31,17,22,33,59,22,4,329,29,68,30,41,16,25,31,35,3,31,20,342,34,23,39,49,55,63,31,17,31
2020년03월_남_100세 이상,83,52,2,1,0,1,1,9,5,1,5,10,2,4,1,1,1,1,0,5,2,19,1,4,3,0,2,0,3,1,1,2,2,12,1,0,1,0,1,3,3,1,2
2020년03월_여_총인구수,"547,153","237,938","7,526","12,355","22,887","11,071","6,015","5,214","11,389","10,049","15,372","17,933","7,782","19,831","17,426","9,476","11,564","16,730","24,019","10,203","1,096","153,330","17,649","24,692","12,465","20,409","16,310","10,809","12,781","8,827","5,119","13,510","10,759","155,885","14,473","9,582","18,789","26,954","15,064","15,773","18,034","10,970","26,246"
2020년03월_여_연령구간인구수,"547,153","237,938","7,526","12,355","22,887","11,071","6,015","5,214","11,389","10,049","15,372","17,933","7,782","19,831","17,426","9,476","11,564","16,730","24,019","10,203","1,096","153,330","17,649","24,692","12,465","20,409","16,310","10,809","12,781","8,827","5,119","13,510","10,759","155,885","14,473","9,582","18,789","26,954","15,064","15,773","18,034","10,970","26,246"
2020년03월_여_0~9세,"41,528","19,243",297,"1,611","2,834",660,347,703,"1,123","1,185","1,199","1,116",443,"1,086","1,437",391,757,"1,207","1,465","1,339",43,"10,575","1,704","1,749",641,"1,703","1,043",482,740,617,625,585,686,"11,710","1,100",536,"1,345","2,387","1,035","1,010","1,097",826,"2,374"
2020년03월_여_10~19세,"52,495","20,616",585,957,"1,849",922,549,392,695,733,"1,573","1,381",599,"1,847","1,936",634,"1,113","1,488","2,553",731,79,"14,747","2,248","2,266","1,114","2,278","1,440",675,"1,617","1,127",460,784,738,"17,132","1,394",742,"2,885","2,870","1,690","1,699","1,446","1,152","3,254"
2020년03월_여_20~29세,"73,542","30,293",991,"1,189","2,549","1,423",676,772,"1,397","1,210","1,654","1,974",973,"3,176","2,287","1,360","1,577","2,423","3,385","1,123",154,"22,236","2,369","3,372","1,983","2,673","2,554","1,757","1,967","1,132",530,"2,612","1,287","21,013","1,951","1,362","2,431","3,752","1,825","1,935","3,224","1,439","3,094"
2020년03월_여_30~39세,"71,910","33,157",677,"2,273","4,207","1,257",666,"1,113","2,128","2,248","1,728","2,025",886,"2,112","2,194","1,018","1,351","2,417","2,603","2,147",107,"19,853","2,144","2,931","1,472","2,479","2,344","1,810","1,230",907,898,"2,333","1,305","18,900","1,686","1,010","1,842","3,726","1,741","1,780","2,484","1,496","3,135"
2020년03월_여_40~49세,"95,609","39,227","1,098","2,076","3,901","1,765",968,788,"1,720","1,659","2,693","2,663","1,180","3,331","3,499","1,346","1,952","2,718","4,197","1,548",125,"27,642","3,710","4,062","2,012","3,812","2,911","1,981","2,393","1,710",917,"2,545","1,589","28,740","2,441","1,380","4,144","4,978","2,755","2,772","2,954","2,070","5,246"
2020년03월_여_50~59세,"97,509","41,127","1,525","1,802","3,248","2,153","1,108",657,"1,732","1,266","2,382","3,388","1,593","3,852","2,939","1,951","2,219","3,089","4,676","1,364",183,"28,170","2,947","4,902","2,470","3,547","3,028","1,867","2,448","1,593",870,"2,355","2,143","28,212","2,742","2,161","3,306","4,761","2,666","2,778","3,365","1,974","4,459"
