"행정구역","2020년01월_계_총인구수","2020년01월_계_연령구간인구수","2020년01월_계_0~9세","2020년01월_계_10~19세","2020년01월_계_20~29세","2020년01월_계_30~39세","2020년01월_계_40~49세","2020년01월_계_50~59세","2020년01월_계_60~69세","2020년01월_계_70~79세","2020년01월_계_80~89세","2020년01월_계_90~99세","2020년01월_계_100세 이상","2020년01월_남_총인구수","2020년01월_남_연령구간인구수","2020년01월_남_0~9세","2020년01월_남_10~19세","2020년01월_남_20~29세","2020년01월_남_30~39세","2020년01월_남_40~49세","2020년01월_남_50~59세","2020년01월_남_60~69세","2020년01월_남_70~79세","2020년01월_남_80~89세","2020년01월_남_90~99세","2020년01월_남_100세 이상","2020년01월_여_총인구수","2020년01월_여_연령구간인구수","2020년01월_여_0~9세","2020년01월_여_10~19세","2020년01월_여_20~29세","2020년01월_여_30~39세","2020년01월_여_40~49세","2020년01월_여_50~59세","2020년01월_여_60~69세","2020년01월_여_70~79세","2020년01월_여_80~89세","2020년01월_여_90~99세","2020년01월_여_100세 이상"
"서울특별시 중구 (1114000000)","126,201","126,201","7,346","7,294","18,465","20,575","18,551","20,932","17,016","10,407","4,580","841","194","61,946","61,946","3,742","3,709","8,942","10,305","9,450","10,649","8,486","4,651","1,692","255","65","64,255","64,255","3,604","3,585","9,523","10,270","9,101","10,283","8,530","5,756","2,888","586","129"
"서울특별시 중구 소공동(1114052000)","2,083","2,083","197","106","198","464","435","289","234","103","41","11","5","1,008","1,008","103","29","78","224","224","149","134","46","16","4","1","1,075","1,075","94","77","120","240","211","140","100","57","25","7","4"
"서울특별시 중구 회현동(1114054000)","5,248","5,248","217","215","503","559","697","1,032","1,066","556","277","85","41","2,838","2,838","117","90","226","282","393","630","629","291","125","36","19","2,410","2,410","100","125","277","277","304","402","437","265","152","49","22"
"서울특별시 중구 명동(1114055000)","2,949","2,949","98","140","333","399","448","504","525","327","138","28","9","1,250","1,250","55","53","156","198","191","208","225","116","37","8","3","1,699","1,699","43","87","177","201","257","296","300","211","101","20","6"
"서울특별시 중구 필동(1114057000)","3,976","3,976","211","171","666","623","512","606","610","352","166","50","9","2,048","2,048","113","93","334","349","290","333","296","165","59","13","3","1,928","1,928","98","78","332","274","222","273","314","187","107","37","6"
"서울특별시 중구 장충동(1114058000)","4,678","4,678","191","311","1,188","687","597","605","511","384","168","33","3","2,385","2,385","101","156","642","363","324","307","252","168","61","11","0","2,293","2,293","90","155","546","324","273","298","259","216","107","22","3"
"서울특별시 중구 광희동(1114059000)","4,900","4,900","142","194","711","728","614","892","852","518","201","34","14","2,591","2,591","74","105","356","404","331","507","441","269","84","15","5","2,309","2,309","68","89","355","324","283","385","411","249","117","19","9"
"서울특별시 중구 을지로동(1114060500)","1,795","1,795","49","35","209","261","192","358","391","192","76","23","9","1,098","1,098","28","15","99","153","128","250","269","107","37","8","4","697","697","21","20","110","108","64","108","122","85","39","15","5"
"서울특별시 중구 신당동(1114061500)","7,547","7,547","259","324","1,292","1,256","1,143","1,380","957","638","240","50","8","3,768","3,768","100","170","609","649","622","724","482","298","96","15","3","3,779","3,779","159","154","683","607","521","656","475","340","144","35","5"
"서울특별시 중구 다산동(1114062500)","14,529","14,529","626","923","2,411","2,341","2,135","2,379","1,928","1,223","477","73","13","7,069","7,069","323","500","1,173","1,206","1,071","1,163","898","545","172","15","3","7,460","7,460","303","423","1,238","1,135","1,064","1,216","1,030","678","305","58","10"
"서울특별시 중구 약수동(1114063500)","17,535","17,535","1,238","1,062","2,093","2,571","2,576","2,884","2,579","1,625","758","138","11","8,275","8,275","609","547","1,054","1,213","1,277","1,349","1,207","712","265","37","5","9,260","9,260","629","515","1,039","1,358","1,299","1,535","1,372","913","493","101","6"
"서울특별시 중구 청구동(1114064500)","14,271","14,271","852","969","1,990","2,276","2,068","2,389","1,866","1,183","580","90","8","6,778","6,778","430","500","993","1,117","991","1,156","889","459","214","26","3","7,493","7,493","422","469","997","1,159","1,077","1,233","977","724","366","64","5"
"서울특별시 중구 신당제5동(1114065000)","10,587","10,587","632","625","1,663","1,767","1,620","1,845","1,261","803","318","42","11","5,199","5,199","312","320","793","892","836","967","619","341","108","11","0","5,388","5,388","320","305","870","875","784","878","642","462","210","31","11"
"서울특별시 중구 동화동(1114066500)","10,821","10,821","803","899","1,511","1,409","1,676","1,959","1,341","743","404","62","14","5,215","5,215","436","446","753","654","821","939","680","321","143","18","4","5,606","5,606","367","453","758","755","855","1,020","661","422","261","44","10"
"서울특별시 중구 황학동(1114067000)","12,677","12,677","768","527","2,155","2,857","1,821","1,823","1,476","859","333","49","9","6,107","6,107","392","267","928","1,417","916","920","725","409","119","14","0","6,570","6,570","376","260","1,227","1,440","905","903","751","450","214","35","9"
"서울특별시 중구 중림동(1114068000)","12,605","12,605","1,063","793","1,542","2,377","2,017","1,987","1,419","901","403","73","30","6,317","6,317","549","418","748","1,184","1,035","1,047","740","404","156","24","12","6,288","6,288","514","375","794","1,193","982","940","679","497","247","49","18"
