"행정구역","2020년05월_계_총인구수","2020년05월_계_연령구간인구수","2020년05월_계_0~9세","2020년05월_계_10~19세","2020년05월_계_20~29세","2020년05월_계_30~39세","2020년05월_계_40~49세","2020년05월_계_50~59세","2020년05월_계_60~69세","2020년05월_계_70~79세","2020년05월_계_80~89세","2020년05월_계_90~99세","2020년05월_계_100세 이상","2020년05월_남_총인구수","2020년05월_남_연령구간인구수","2020년05월_남_0~9세","2020년05월_남_10~19세","2020년05월_남_20~29세","2020년05월_남_30~39세","2020년05월_남_40~49세","2020년05월_남_50~59세","2020년05월_남_60~69세","2020년05월_남_70~79세","2020년05월_남_80~89세","2020년05월_남_90~99세","2020년05월_남_100세 이상","2020년05월_여_총인구수","2020년05월_여_연령구간인구수","2020년05월_여_0~9세","2020년05월_여_10~19세","2020년05월_여_20~29세","2020년05월_여_30~39세","2020년05월_여_40~49세","2020년05월_여_50~59세","2020년05월_여_60~69세","2020년05월_여_70~79세","2020년05월_여_80~89세","2020년05월_여_90~99세","2020년05월_여_100세 이상"
"경상남도 창원시 (4812000000)","1,040,773","1,040,773","86,079","101,411","132,030","137,557","169,124","188,082","135,480","62,000","25,559","3,273","178","527,377","527,377","44,533","53,229","73,297","72,551","85,735","93,532","67,146","28,368","8,305","640","41","513,396","513,396","41,546","48,182","58,733","65,006","83,389","94,550","68,334","33,632","17,254","2,633","137"
"경상남도 창원시 의창구 (4812100000)","262,729","262,729","22,031","24,096","36,432","35,880","41,325","50,907","32,654","13,035","5,588","747","34","133,709","133,709","11,363","12,697","20,220","18,850","20,818","25,136","16,624","6,148","1,721","126","6","129,020","129,020","10,668","11,399","16,212","17,030","20,507","25,771","16,030","6,887","3,867","621","28"
"경상남도 창원시 의창구 동읍(4812125000)","20,418","20,418","1,285","1,987","2,363","1,919","3,324","3,977","3,021","1,644","795","100","3","10,405","10,405","660","1,066","1,385","1,005","1,723","2,057","1,521","737","242","9","0","10,013","10,013","625","921","978","914","1,601","1,920","1,500","907","553","91","3"
"경상남도 창원시 의창구 북면(4812131000)","42,698","42,698","6,607","3,482","4,015","8,332","6,806","6,146","4,468","1,792","912","132","6","21,572","21,572","3,420","1,786","2,174","4,084","3,663","2,967","2,337","865","256","19","1","21,126","21,126","3,187","1,696","1,841","4,248","3,143","3,179","2,131","927","656","113","5"
"경상남도 창원시 의창구 대산면(4812132000)","7,331","7,331","272","433","693","670","851","1,387","1,541","918","492","72","2","3,728","3,728","157","240","389","412","495","712","785","390","132","15","1","3,603","3,603","115","193","304","258","356","675","756","528","360","57","1"
"경상남도 창원시 의창구 의창동(4812151000)","50,727","50,727","4,418","4,753","7,211","7,276","7,882","9,779","6,071","2,327","882","121","7","25,715","25,715","2,245","2,478","3,956","3,866","3,911","4,795","3,037","1,121","286","19","1","25,012","25,012","2,173","2,275","3,255","3,410","3,971","4,984","3,034","1,206","596","102","6"
"경상남도 창원시 의창구 팔룡동(4812152000)","36,855","36,855","3,024","3,932","5,536","5,148","6,246","7,425","3,820","1,185","477","59","3","18,878","18,878","1,529","2,083","3,084","2,709","3,036","3,690","2,018","571","148","10","0","17,977","17,977","1,495","1,849","2,452","2,439","3,210","3,735","1,802","614","329","49","3"
"경상남도 창원시 의창구 명곡동(4812153000)","43,391","43,391","2,565","4,292","6,930","4,441","6,914","9,531","5,642","2,148","824","97","7","22,042","22,042","1,337","2,264","3,782","2,347","3,387","4,740","2,866","1,009","286","23","1","21,349","21,349","1,228","2,028","3,148","2,094","3,527","4,791","2,776","1,139","538","74","6"
"경상남도 창원시 의창구 봉림동(4812154000)","30,761","30,761","1,629","2,336","4,863","3,913","4,483","6,372","4,632","1,749","694","85","5","16,029","16,029","820","1,232","2,794","2,253","2,335","3,185","2,331","848","215","15","1","14,732","14,732","809","1,104","2,069","1,660","2,148","3,187","2,301","901","479","70","4"
"경상남도 창원시 의창구 용지동(4812155000)","30,548","30,548","2,231","2,881","4,821","4,181","4,819","6,290","3,459","1,272","512","81","1","15,340","15,340","1,195","1,548","2,656","2,174","2,268","2,990","1,729","607","156","16","1","15,208","15,208","1,036","1,333","2,165","2,007","2,551","3,300","1,730","665","356","65","0"
