카테고리,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2020년03월_계_총인구수,"229,009","11,233","5,472","4,938","9,023","9,934","13,857","5,511","8,050","5,722","6,436","3,152","4,666","3,424","9,777","18,202","10,797","18,142","12,560","17,129","5,151","11,317","10,095","24,421"
2020년03월_계_연령구간인구수,"229,009","11,233","5,472","4,938","9,023","9,934","13,857","5,511","8,050","5,722","6,436","3,152","4,666","3,424","9,777","18,202","10,797","18,142","12,560","17,129","5,151","11,317","10,095","24,421"
2020년03월_계_0~9세,"19,905",535,247,191,681,"1,419","1,135",558,248,232,488,78,150,171,822,"2,102","1,025","1,637",965,"1,430",504,"1,140",967,"3,180"
2020년03월_계_10~19세,"25,500",820,371,316,976,"1,145","1,653",503,459,364,641,157,227,268,"1,074","2,516","1,391","2,116","1,230","2,009",575,"1,654","1,127","3,908"
2020년03월_계_20~29세,"27,653","1,186",583,468,"1,054","1,312","1,858",558,781,561,775,224,570,335,"1,164","1,930","1,169","1,907","2,218","2,658",548,"1,517","1,398","2,879"
2020년03월_계_30~39세,"27,819","1,095",524,423,"1,051","1,792","1,579",858,658,490,722,259,331,297,"1,112","2,410","1,288","2,139","1,855","2,048",662,"1,413","1,386","3,427"
2020년03월_계_40~49세,"38,305","1,518",744,668,"1,385","1,716","2,400",856,"1,051",771,990,454,602,491,"1,585","3,371","1,819","3,035","2,252","2,824",867,"2,073","1,732","5,101"
2020년03월_계_50~59세,"36,876","1,869",918,876,"1,508","1,201","2,396",839,"1,481",957,976,588,776,558,"1,687","2,542","1,649","2,911","1,997","3,190",797,"1,855","1,815","3,490"
2020년03월_계_60~69세,"27,896","2,093","1,063",875,"1,223",766,"1,557",684,"1,522","1,100",995,674,866,573,"1,324","1,715","1,343","2,371","1,200","1,812",646,959,968,"1,567"
2020년03월_계_70~79세,"17,312","1,499",761,773,778,407,876,434,"1,272",905,629,508,759,505,709,"1,081",754,"1,370",571,781,369,480,474,617
2020년03월_계_80~89세,"6,743",544,220,307,315,153,355,199,487,312,203,176,341,194,270,462,311,564,233,324,161,201,203,208
2020년03월_계_90~99세,924,69,37,37,49,21,41,18,84,28,17,28,35,27,30,70,45,87,37,51,22,22,25,44
2020년03월_계_100세 이상,76,5,4,4,3,2,7,4,7,2,0,6,9,5,0,3,3,5,2,2,0,3,0,0
2020년03월_남_총인구수,"114,138","5,654","2,764","2,479","4,428","4,903","6,849","2,714","4,115","2,997","3,181","1,673","2,510","1,776","4,889","8,947","5,355","8,854","6,446","8,568","2,585","5,444","4,896","12,111"
2020년03월_남_연령구간인구수,"114,138","5,654","2,764","2,479","4,428","4,903","6,849","2,714","4,115","2,997","3,181","1,673","2,510","1,776","4,889","8,947","5,355","8,854","6,446","8,568","2,585","5,444","4,896","12,111"
2020년03월_남_0~9세,"10,243",284,129,96,329,752,600,283,119,119,256,35,78,78,436,"1,069",552,838,510,727,239,583,490,"1,641"
2020년03월_남_10~19세,"13,084",414,196,152,515,567,835,254,243,186,314,82,119,137,553,"1,287",717,"1,099",679,"1,060",316,809,578,"1,972"
2020년03월_남_20~29세,"14,898",656,328,248,552,665,"1,031",274,432,326,408,119,390,193,631,"1,058",637,"1,033","1,120","1,426",290,778,724,"1,579"
2020년03월_남_30~39세,"14,314",631,296,252,558,890,830,438,379,295,392,162,208,176,593,"1,153",635,"1,094",989,"1,058",333,653,717,"1,582"
2020년03월_남_40~49세,"19,689",864,450,423,705,855,"1,186",452,607,473,528,297,396,296,841,"1,698",921,"1,498","1,169","1,359",455,942,821,"2,453"
2020년03월_남_50~59세,"18,478",950,469,464,724,583,"1,192",416,815,514,449,355,463,326,801,"1,281",780,"1,390","1,057","1,529",400,904,850,"1,766"
2020년03월_남_60~69세,"13,335",954,478,418,567,347,725,339,745,513,451,326,437,282,617,763,631,"1,150",595,944,331,469,458,795
2020년03월_남_70~79세,"7,660",681,351,319,362,197,337,191,577,425,309,219,318,212,310,468,359,590,255,340,162,220,187,271
2020년03월_남_80~89세,"2,236",202,63,93,107,44,104,65,175,139,71,73,95,68,103,150,119,142,65,111,55,82,65,45
2020년03월_남_90~99세,185,15,4,12,9,2,8,1,21,6,3,3,6,6,4,20,4,19,7,14,4,4,6,7
2020년03월_남_100세 이상,16,3,0,2,0,1,1,1,2,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0
2020년03월_여_총인구수,"114,871","5,579","2,708","2,459","4,595","5,031","7,008","2,797","3,935","2,725","3,255","1,479","2,156","1,648","4,888","9,255","5,442","9,288","6,114","8,561","2,566","5,873","5,199","12,310"
2020년03월_여_연령구간인구수,"114,871","5,579","2,708","2,459","4,595","5,031","7,008","2,797","3,935","2,725","3,255","1,479","2,156","1,648","4,888","9,255","5,442","9,288","6,114","8,561","2,566","5,873","5,199","12,310"
2020년03월_여_0~9세,"9,662",251,118,95,352,667,535,275,129,113,232,43,72,93,386,"1,033",473,799,455,703,265,557,477,"1,539"
2020년03월_여_10~19세,"12,416",406,175,164,461,578,818,249,216,178,327,75,108,131,521,"1,229",674,"1,017",551,949,259,845,549,"1,936"
2020년03월_여_20~29세,"12,755",530,255,220,502,647,827,284,349,235,367,105,180,142,533,872,532,874,"1,098","1,232",258,739,674,"1,300"
2020년03월_여_30~39세,"13,505",464,228,171,493,902,749,420,279,195,330,97,123,121,519,"1,257",653,"1,045",866,990,329,760,669,"1,845"
