카테고리,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2020년01월_계_총인구수,"43,539","13,374","3,809","1,670","3,935","2,402","3,608","2,666","3,526","2,925","5,624"
2020년01월_계_연령구간인구수,"43,539","13,374","3,809","1,670","3,935","2,402","3,608","2,666","3,526","2,925","5,624"
2020년01월_계_0~9세,"1,666",925,80,38,127,96,76,54,83,53,134
2020년01월_계_10~19세,"3,144","1,569",193,120,197,185,206,88,172,123,291
2020년01월_계_20~29세,"3,354","1,496",260,103,217,193,210,149,224,175,327
2020년01월_계_30~39세,"2,647","1,198",179,75,219,148,159,113,173,126,257
2020년01월_계_40~49세,"4,796","1,995",354,151,398,268,339,222,329,224,516
2020년01월_계_50~59세,"7,587","2,241",685,316,676,502,608,430,598,499,"1,032"
2020년01월_계_60~69세,"7,933","1,841",744,309,815,488,710,534,657,639,"1,196"
2020년01월_계_70~79세,"6,858","1,272",716,281,696,313,708,539,675,563,"1,095"
2020년01월_계_80~89세,"4,747",708,516,247,496,177,506,473,516,434,674
2020년01월_계_90~99세,789,128,81,30,91,31,82,63,97,86,100
2020년01월_계_100세 이상,18,1,1,0,3,1,4,1,2,3,2
2020년01월_남_총인구수,"20,939","6,576","1,807",800,"1,888","1,229","1,697","1,262","1,647","1,390","2,643"
2020년01월_남_연령구간인구수,"20,939","6,576","1,807",800,"1,888","1,229","1,697","1,262","1,647","1,390","2,643"
2020년01월_남_0~9세,893,484,39,21,76,46,51,29,43,28,76
2020년01월_남_10~19세,"1,705",849,102,64,116,97,105,56,104,63,149
2020년01월_남_20~29세,"1,997",890,157,62,116,128,122,101,125,109,187
2020년01월_남_30~39세,"1,387",587,93,42,119,83,87,69,95,69,143
2020년01월_남_40~49세,"2,614",974,203,80,226,151,205,134,193,131,317
2020년01월_남_50~59세,"4,010","1,128",381,179,366,270,328,246,311,269,532
2020년01월_남_60~69세,"3,858",868,352,150,403,247,337,260,319,327,595
2020년01월_남_70~79세,"2,943",562,307,120,307,151,308,224,290,245,429
2020년01월_남_80~89세,"1,393",216,152,77,144,52,134,134,146,137,201
2020년01월_남_90~99세,138,18,21,5,14,4,20,9,21,12,14
2020년01월_남_100세 이상,1,0,0,0,1,0,0,0,0,0,0
2020년01월_여_총인구수,"22,600","6,798","2,002",870,"2,047","1,173","1,911","1,404","1,879","1,535","2,981"
2020년01월_여_연령구간인구수,"22,600","6,798","2,002",870,"2,047","1,173","1,911","1,404","1,879","1,535","2,981"
2020년01월_여_0~9세,773,441,41,17,51,50,25,25,40,25,58
2020년01월_여_10~19세,"1,439",720,91,56,81,88,101,32,68,60,142
2020년01월_여_20~29세,"1,357",606,103,41,101,65,88,48,99,66,140
2020년01월_여_30~39세,"1,260",611,86,33,100,65,72,44,78,57,114
2020년01월_여_40~49세,"2,182","1,021",151,71,172,117,134,88,136,93,199
2020년01월_여_50~59세,"3,577","1,113",304,137,310,232,280,184,287,230,500
2020년01월_여_60~69세,"4,075",973,392,159,412,241,373,274,338,312,601
2020년01월_여_70~79세,"3,915",710,409,161,389,162,400,315,385,318,666
2020년01월_여_80~89세,"3,354",492,364,170,352,125,372,339,370,297,473
2020년01월_여_90~99세,651,110,60,25,77,27,62,54,76,74,86
2020년01월_여_100세 이상,17,1,1,0,2,1,4,1,2,3,2
2020년02월_계_총인구수,"43,479","13,293","3,816","1,652","3,925","2,404","3,670","2,659","3,516","2,912","5,632"
2020년02월_계_연령구간인구수,"43,479","13,293","3,816","1,652","3,925","2,404","3,670","2,659","3,516","2,912","5,632"
2020년02월_계_0~9세,"1,655",912,82,37,126,96,80,51,81,54,136
2020년02월_계_10~19세,"3,161","1,537",195,112,195,186,250,90,174,124,298
2020년02월_계_20~29세,"3,302","1,473",259,98,208,194,211,145,223,167,324
2020년02월_계_30~39세,"2,631","1,190",177,77,223,142,163,111,166,121,261
2020년02월_계_40~49세,"4,799","1,982",359,147,401,267,354,224,328,226,511
2020년02월_계_50~59세,"7,526","2,235",679,316,660,504,593,431,588,494,"1,026"
2020년02월_계_60~69세,"7,964","1,852",747,308,821,488,713,530,661,639,"1,205"
2020년02월_계_70~79세,"6,842","1,263",714,280,702,317,706,538,672,558,"1,092"
2020년02월_계_80~89세,"4,768",715,518,246,490,178,513,474,520,435,679
