카테고리,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 오천면원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동,충청남도 보령시 원산도출장소
2020년01월_계_총인구수,"100,908","6,412","1,656","2,228","1,672","1,147","3,662","2,681","4,009","5,225","2,511","1,798","2,358","5,380","15,084","7,164","16,968","14,315","6,638",
2020년01월_계_연령구간인구수,"100,908","6,412","1,656","2,228","1,672","1,147","3,662","2,681","4,009","5,225","2,511","1,798","2,358","5,380","15,084","7,164","16,968","14,315","6,638",
2020년01월_계_0~9세,"6,480",163,44,49,62,30,130,77,134,142,58,52,80,196,"1,230",556,"1,788","1,405",284,
2020년01월_계_10~19세,"8,613",353,99,129,103,72,197,109,235,281,104,67,126,368,"1,605",673,"2,023","1,643",426,
2020년01월_계_20~29세,"9,824",476,189,142,141,72,251,149,284,419,120,113,188,504,"1,760",793,"2,048","1,636",539,
2020년01월_계_30~39세,"9,976",407,92,140,142,65,235,159,241,325,136,95,182,434,"1,736",797,"2,457","1,724",609,
2020년01월_계_40~49세,"14,186",654,180,270,232,119,373,230,387,490,211,151,257,711,"2,417","1,165","3,050","2,491",798,
2020년01월_계_50~59세,"17,544","1,187",286,418,331,223,658,434,719,"1,012",377,287,484,"1,011","2,580","1,210","2,642","2,340","1,345",
2020년01월_계_60~69세,"16,283","1,459",368,491,349,250,782,577,862,"1,120",542,399,489,"1,006","1,984",933,"1,680","1,656","1,336",
2020년01월_계_70~79세,"10,974","1,018",244,338,181,176,574,523,655,820,535,366,363,705,"1,179",671,851,925,850,
2020년01월_계_80~89세,"6,112",593,130,214,116,122,415,367,435,512,372,229,161,390,522,330,383,424,397,
2020년01월_계_90~99세,862,99,24,37,14,17,46,56,54,96,55,38,22,53,63,32,42,61,53,
2020년01월_계_100세 이상,54,3,0,0,1,1,1,0,3,8,1,1,6,2,8,4,4,10,1,
2020년01월_남_총인구수,"51,031","3,255",875,"1,172",896,614,"1,895","1,316","2,021","2,637","1,224",925,"1,173","2,805","7,585","3,591","8,518","7,082","3,447",
2020년01월_남_연령구간인구수,"51,031","3,255",875,"1,172",896,614,"1,895","1,316","2,021","2,637","1,224",925,"1,173","2,805","7,585","3,591","8,518","7,082","3,447",
2020년01월_남_0~9세,"3,253",82,20,17,30,14,61,42,74,80,41,27,46,99,628,263,893,697,139,
2020년01월_남_10~19세,"4,484",180,51,66,59,43,113,69,122,140,51,40,66,187,820,345,"1,050",861,221,
2020년01월_남_20~29세,"5,690",298,137,81,87,45,148,79,158,245,72,69,106,315,"1,012",446,"1,163",906,323,
2020년01월_남_30~39세,"5,413",252,50,88,82,45,147,95,148,191,80,56,101,257,931,430,"1,223",866,371,
2020년01월_남_40~49세,"7,755",382,112,175,154,80,224,133,237,275,127,111,154,426,"1,230",612,"1,575","1,252",496,
2020년01월_남_50~59세,"9,281",646,163,259,179,134,371,251,384,567,202,154,269,548,"1,284",636,"1,326","1,194",714,
2020년01월_남_60~69세,"7,950",724,192,235,183,128,395,284,438,570,271,212,223,490,952,433,797,772,651,
2020년01월_남_70~79세,"4,857",465,106,164,81,79,278,230,295,370,232,168,153,335,517,287,357,383,357,
2020년01월_남_80~89세,"2,146",200,40,78,38,43,153,120,155,172,132,81,50,137,192,131,126,137,161,
2020년01월_남_90~99세,191,24,4,9,3,3,5,13,10,25,16,7,5,11,17,7,7,11,14,
2020년01월_남_100세 이상,11,2,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,3,0,
2020년01월_여_총인구수,"49,877","3,157",781,"1,056",776,533,"1,767","1,365","1,988","2,588","1,287",873,"1,185","2,575","7,499","3,573","8,450","7,233","3,191",
