카테고리,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2020년01월_계_총인구수,"31,577","10,224","2,219","2,291","3,615","1,575","1,975","2,399","2,829","2,239","2,211"
2020년01월_계_연령구간인구수,"31,577","10,224","2,219","2,291","3,615","1,575","1,975","2,399","2,829","2,239","2,211"
2020년01월_계_0~9세,"1,365",698,57,83,163,30,48,81,87,66,52
2020년01월_계_10~19세,"2,157","1,014",107,94,278,83,118,125,112,115,111
2020년01월_계_20~29세,"2,915","1,387",172,167,340,115,131,132,202,128,141
2020년01월_계_30~39세,"2,224",952,119,126,283,83,106,139,155,122,139
2020년01월_계_40~49세,"3,323","1,307",193,225,419,144,197,231,243,182,182
2020년01월_계_50~59세,"5,514","1,712",393,443,641,315,324,378,501,393,414
2020년01월_계_60~69세,"5,892","1,484",435,490,627,322,429,526,584,496,499
2020년01월_계_70~79세,"4,496",941,391,353,495,249,340,457,511,393,366
2020년01월_계_80~89세,"3,252",627,319,280,323,206,241,288,387,311,270
2020년01월_계_90~99세,419,95,33,30,44,27,39,39,47,32,33
2020년01월_계_100세 이상,20,7,0,0,2,1,2,3,0,1,4
2020년01월_남_총인구수,"15,937","5,115","1,102","1,195","1,870",811,"1,018","1,199","1,411","1,133","1,083"
2020년01월_남_연령구간인구수,"15,937","5,115","1,102","1,195","1,870",811,"1,018","1,199","1,411","1,133","1,083"
2020년01월_남_0~9세,703,363,31,38,89,20,18,40,41,37,26
2020년01월_남_10~19세,"1,134",514,59,58,149,47,63,65,64,52,63
2020년01월_남_20~29세,"1,647",761,97,93,215,65,84,60,112,82,78
2020년01월_남_30~39세,"1,264",494,73,78,161,47,66,87,98,74,86
2020년01월_남_40~49세,"1,949",698,108,141,239,90,129,155,157,119,113
2020년01월_남_50~59세,"2,972",891,209,254,348,173,183,210,278,210,216
2020년01월_남_60~69세,"3,005",720,241,269,323,175,225,260,293,243,256
2020년01월_남_70~79세,"1,983",428,171,149,213,112,153,197,225,184,151
2020년01월_남_80~89세,"1,169",222,107,106,113,77,85,116,134,122,87
2020년01월_남_90~99세,108,21,6,9,20,5,12,9,9,10,7
2020년01월_남_100세 이상,3,3,0,0,0,0,0,0,0,0,0
2020년01월_여_총인구수,"15,640","5,109","1,117","1,096","1,745",764,957,"1,200","1,418","1,106","1,128"
2020년01월_여_연령구간인구수,"15,640","5,109","1,117","1,096","1,745",764,957,"1,200","1,418","1,106","1,128"
2020년01월_여_0~9세,662,335,26,45,74,10,30,41,46,29,26
2020년01월_여_10~19세,"1,023",500,48,36,129,36,55,60,48,63,48
2020년01월_여_20~29세,"1,268",626,75,74,125,50,47,72,90,46,63
2020년01월_여_30~39세,960,458,46,48,122,36,40,52,57,48,53
2020년01월_여_40~49세,"1,374",609,85,84,180,54,68,76,86,63,69
2020년01월_여_50~59세,"2,542",821,184,189,293,142,141,168,223,183,198
2020년01월_여_60~69세,"2,887",764,194,221,304,147,204,266,291,253,243
2020년01월_여_70~79세,"2,513",513,220,204,282,137,187,260,286,209,215
2020년01월_여_80~89세,"2,083",405,212,174,210,129,156,172,253,189,183
2020년01월_여_90~99세,311,74,27,21,24,22,27,30,38,22,26
2020년01월_여_100세 이상,17,4,0,0,2,1,2,3,0,1,4
2020년02월_계_총인구수,"31,385","10,170","2,191","2,286","3,596","1,562","1,965","2,385","2,795","2,230","2,205"
2020년02월_계_연령구간인구수,"31,385","10,170","2,191","2,286","3,596","1,562","1,965","2,385","2,795","2,230","2,205"
2020년02월_계_0~9세,"1,350",692,55,82,158,30,48,81,86,66,52
2020년02월_계_10~19세,"2,127","1,004",98,93,278,81,118,125,106,113,111
