카테고리,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2020년03월_계_총인구수,"263,285","25,906","36,314","20,928","6,152","5,588","3,438","3,801","3,091","10,178","6,706","20,473","37,390","30,144","15,939","37,237"
2020년03월_계_연령구간인구수,"263,285","25,906","36,314","20,928","6,152","5,588","3,438","3,801","3,091","10,178","6,706","20,473","37,390","30,144","15,939","37,237"
2020년03월_계_0~9세,"21,400","1,784","2,568","2,442",189,158,87,114,107,607,250,"2,138","3,123","3,362","1,062","3,409"
2020년03월_계_10~19세,"23,236","2,864","3,756","1,157",321,263,120,169,125,627,429,"2,035","4,131","2,332",849,"4,058"
2020년03월_계_20~29세,"35,765","3,783","5,316","3,189",558,486,223,283,269,"1,620","1,037","2,165","4,558","3,834","3,498","4,946"
2020년03월_계_30~39세,"34,196","2,680","4,080","4,222",512,430,216,249,210,"1,257",696,"2,935","4,282","4,710","2,826","4,891"
2020년03월_계_40~49세,"41,831","4,166","6,543","2,959",691,649,290,417,317,"1,348",868,"3,532","6,629","4,602","2,262","6,558"
2020년03월_계_50~59세,"44,632","4,223","6,802","2,849","1,231","1,104",653,752,613,"1,972","1,322","3,058","6,288","5,100","2,422","6,243"
2020년03월_계_60~69세,"33,321","3,224","3,803","2,224","1,358","1,217",833,836,686,"1,678","1,116","2,455","4,629","3,495","1,739","4,028"
2020년03월_계_70~79세,"18,913","2,050","2,237","1,212",790,801,594,557,476,730,637,"1,470","2,534","1,898",864,"2,063"
2020년03월_계_80~89세,"8,917","1,010","1,107",601,446,427,369,366,244,304,314,601,"1,094",732,372,930
2020년03월_계_90~99세,"1,004",109,94,68,50,51,50,57,41,33,34,76,116,76,41,108
2020년03월_계_100세 이상,70,13,8,5,6,2,3,1,3,2,3,8,6,3,4,3
2020년03월_남_총인구수,"132,578","13,029","18,840","11,106","3,285","2,849","1,803","1,979","1,579","4,927","3,334","10,069","17,974","14,525","8,665","18,614"
2020년03월_남_연령구간인구수,"132,578","13,029","18,840","11,106","3,285","2,849","1,803","1,979","1,579","4,927","3,334","10,069","17,974","14,525","8,665","18,614"
2020년03월_남_0~9세,"10,913",950,"1,304","1,291",109,79,44,60,56,283,132,"1,077","1,527","1,688",558,"1,755"
2020년03월_남_10~19세,"12,140","1,513","1,943",611,168,134,64,90,75,340,233,"1,102","2,047","1,165",462,"2,193"
2020년03월_남_20~29세,"19,620","2,105","2,973","1,777",332,281,143,168,172,844,576,"1,190","2,361","2,019","1,936","2,743"
2020년03월_남_30~39세,"18,298","1,459","2,315","2,371",295,268,141,149,111,632,394,"1,478","2,110","2,336","1,731","2,508"
2020년03월_남_40~49세,"21,340","2,048","3,343","1,705",415,396,184,242,190,642,430,"1,766","3,222","2,216","1,307","3,234"
2020년03월_남_50~59세,"22,474","2,171","3,675","1,459",692,558,366,434,333,936,667,"1,468","3,015","2,350","1,276","3,074"
2020년03월_남_60~69세,"16,257","1,552","1,949","1,129",730,627,455,465,338,812,542,"1,128","2,187","1,592",833,"1,918"
2020년03월_남_70~79세,"8,250",850,945,541,382,359,275,251,221,337,250,615,"1,082",841,422,879
2020년03월_남_80~89세,"3,052",356,362,208,150,138,120,108,68,95,102,224,398,297,132,294
2020년03월_남_90~99세,221,22,31,14,9,9,11,12,13,6,8,19,25,20,7,15
2020년03월_남_100세 이상,13,3,0,0,3,0,0,0,2,0,0,2,0,1,1,1
2020년03월_여_총인구수,"130,707","12,877","17,474","9,822","2,867","2,739","1,635","1,822","1,512","5,251","3,372","10,404","19,416","15,619","7,274","18,623"
2020년03월_여_연령구간인구수,"130,707","12,877","17,474","9,822","2,867","2,739","1,635","1,822","1,512","5,251","3,372","10,404","19,416","15,619","7,274","18,623"
2020년03월_여_0~9세,"10,487",834,"1,264","1,151",80,79,43,54,51,324,118,"1,061","1,596","1,674",504,"1,654"
2020년03월_여_10~19세,"11,096","1,351","1,813",546,153,129,56,79,50,287,196,933,"2,084","1,167",387,"1,865"
2020년03월_여_20~29세,"16,145","1,678","2,343","1,412",226,205,80,115,97,776,461,975,"2,197","1,815","1,562","2,203"
2020년03월_여_30~39세,"15,898","1,221","1,765","1,851",217,162,75,100,99,625,302,"1,457","2,172","2,374","1,095","2,383"
2020년03월_여_40~49세,"20,491","2,118","3,200","1,254",276,253,106,175,127,706,438,"1,766","3,407","2,386",955,"3,324"
2020년03월_여_50~59세,"22,158","2,052","3,127","1,390",539,546,287,318,280,"1,036",655,"1,590","3,273","2,750","1,146","3,169"
2020년03월_여_60~69세,"17,064","1,672","1,854","1,095",628,590,378,371,348,866,574,"1,327","2,442","1,903",906,"2,110"
2020년03월_여_70~79세,"10,663","1,200","1,292",671,408,442,319,306,255,393,387,855,"1,452","1,057",442,"1,184"
2020년03월_여_80~89세,"5,865",654,745,393,296,289,249,258,176,209,212,377,696,435,240,636
2020년03월_여_90~99세,783,87,63,54,41,42,39,45,28,27,26,57,91,56,34,93
2020년03월_여_100세 이상,57,10,8,5,3,2,3,1,1,2,3,6,6,2,3,2
2020년04월_계_총인구수,"263,375","25,914","36,368","20,967","6,126","5,588","3,405","3,804","3,076","10,190","6,708","20,449","37,323","30,097","16,052","37,308"
2020년04월_계_연령구간인구수,"263,375","25,914","36,368","20,967","6,126","5,588","3,405","3,804","3,076","10,190","6,708","20,449","37,323","30,097","16,052","37,308"
2020년04월_계_0~9세,"21,309","1,774","2,563","2,436",185,156,83,113,101,618,248,"2,123","3,081","3,355","1,067","3,406"
2020년04월_계_10~19세,"23,181","2,858","3,747","1,153",312,261,115,168,122,620,428,"2,031","4,135","2,308",849,"4,074"
2020년04월_계_20~29세,"35,920","3,817","5,351","3,204",550,481,220,282,264,"1,631","1,048","2,153","4,540","3,829","3,583","4,967"
2020년04월_계_30~39세,"34,066","2,647","4,065","4,243",511,429,213,246,206,"1,244",696,"2,925","4,253","4,697","2,840","4,851"
2020년04월_계_40~49세,"41,726","4,149","6,544","2,953",681,640,282,410,309,"1,354",868,"3,531","6,602","4,586","2,253","6,564"
2020년04월_계_50~59세,"44,682","4,242","6,815","2,845","1,222","1,108",644,756,611,"1,962","1,319","3,054","6,307","5,101","2,430","6,266"
2020년04월_계_60~69세,"33,464","3,235","3,820","2,234","1,372","1,220",832,837,691,"1,696","1,108","2,471","4,648","3,499","1,738","4,063"
2020년04월_계_70~79세,"18,966","2,052","2,238","1,223",788,804,593,557,484,732,639,"1,472","2,545","1,901",864,"2,074"
2020년04월_계_80~89세,"8,982","1,020","1,122",604,445,433,372,376,243,299,317,607,"1,085",741,384,934
2020년04월_계_90~99세,"1,011",108,95,67,54,54,49,58,42,32,34,74,121,77,40,106
2020년04월_계_100세 이상,68,12,8,5,6,2,2,1,3,2,3,8,6,3,4,3
2020년04월_남_총인구수,"132,633","13,039","18,889","11,132","3,268","2,849","1,787","1,975","1,567","4,930","3,333","10,050","17,929","14,485","8,733","18,667"
2020년04월_남_연령구간인구수,"132,633","13,039","18,889","11,132","3,268","2,849","1,787","1,975","1,567","4,930","3,333","10,050","17,929","14,485","8,733","18,667"
2020년04월_남_0~9세,"10,866",945,"1,313","1,288",106,79,44,58,51,284,134,"1,069","1,499","1,682",558,"1,756"
2020년04월_남_10~19세,"12,105","1,511","1,927",603,164,134,59,88,72,338,231,"1,107","2,047","1,162",462,"2,200"
2020년04월_남_20~29세,"19,722","2,130","3,007","1,782",326,281,142,168,169,853,578,"1,178","2,349","2,009","1,988","2,762"
2020년04월_남_30~39세,"18,223","1,442","2,307","2,385",296,268,141,144,110,628,397,"1,462","2,099","2,329","1,733","2,482"
2020년04월_남_40~49세,"21,310","2,032","3,357","1,708",410,389,180,241,185,646,431,"1,771","3,208","2,207","1,303","3,242"
2020년04월_남_50~59세,"22,492","2,190","3,665","1,461",689,561,361,436,332,927,663,"1,463","3,029","2,345","1,284","3,086"
2020년04월_남_60~69세,"16,323","1,553","1,970","1,134",734,627,455,459,339,818,538,"1,137","2,193","1,590",835,"1,941"
2020년04월_남_70~79세,"8,280",847,943,549,382,359,275,257,226,336,252,617,"1,086",843,429,879
2020년04월_남_80~89세,"3,080",365,370,208,149,142,121,112,68,94,101,225,392,298,134,301
2020년04월_남_90~99세,220,22,30,14,9,9,9,12,13,6,8,19,27,19,6,17
2020년04월_남_100세 이상,12,2,0,0,3,0,0,0,2,0,0,2,0,1,1,1
