카테고리,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2020년03월_계_총인구수,"531,960","32,432","36,579","28,804","15,687","23,574","22,524","29,031","29,267","16,111","25,268","18,355","22,070","16,104","25,433","20,824","39,837","21,780","32,790","33,342","42,148"
2020년03월_계_연령구간인구수,"531,960","32,432","36,579","28,804","15,687","23,574","22,524","29,031","29,267","16,111","25,268","18,355","22,070","16,104","25,433","20,824","39,837","21,780","32,790","33,342","42,148"
2020년03월_계_0~9세,"44,774","3,466","3,797","1,652",770,"1,428","1,771","1,783","1,919",790,"1,943","1,432","1,617",743,"1,654","1,806","6,259","1,457","3,041","2,721","4,725"
2020년03월_계_10~19세,"51,189","3,041","4,563","1,759","1,185","1,722","2,158","2,237","2,427","1,131","2,531","1,733","2,090","1,082","2,457","2,286","3,542","2,041","3,734","3,524","5,946"
2020년03월_계_20~29세,"72,221","4,271","4,396","6,385","2,194","3,336","2,959","4,214","4,357","2,026","3,383","2,551","3,018","2,287","3,584","2,479","3,996","2,978","4,303","4,642","4,862"
2020년03월_계_30~39세,"76,076","5,135","4,790","5,507","1,839","3,427","2,937","4,038","4,256","1,982","3,270","2,412","2,982","1,992","3,048","2,613","8,130","2,433","4,772","4,790","5,723"
2020년03월_계_40~49세,"90,244","5,613","6,854","4,510","2,438","3,623","3,952","4,476","4,589","2,354","4,291","2,915","3,462","2,236","3,939","3,562","7,128","3,556","5,947","5,843","8,956"
2020년03월_계_50~59세,"91,050","5,202","5,874","4,349","3,199","4,174","3,803","5,508","5,318","3,123","4,442","3,365","3,928","3,199","4,993","3,534","4,953","4,407","5,526","5,585","6,568"
2020년03월_계_60~69세,"62,459","3,483","3,852","2,772","2,212","3,163","2,856","3,900","3,792","2,450","3,280","2,355","2,930","2,631","3,282","2,782","3,749","2,876","3,295","3,462","3,337"
2020년03월_계_70~79세,"29,909","1,499","1,762","1,311","1,255","1,825","1,455","1,995","1,754","1,440","1,506","1,136","1,330","1,381","1,561","1,210","1,505","1,378","1,453","1,805","1,348"
2020년03월_계_80~89세,"11,979",608,563,488,518,753,527,758,722,721,518,383,605,486,762,482,494,577,599,832,583
2020년03월_계_90~99세,"1,936",110,117,70,67,114,103,108,122,92,89,64,105,66,147,69,77,74,116,130,96
