카테고리,경상남도 거창군,경상남도 거창군 거창읍,경상남도 거창군 주상면,경상남도 거창군 웅양면,경상남도 거창군 고제면,경상남도 거창군 북상면,경상남도 거창군 위천면,경상남도 거창군 마리면,경상남도 거창군 남상면,경상남도 거창군 남하면,경상남도 거창군 신원면,경상남도 거창군 가조면,경상남도 거창군 가북면
2020년01월_계_총인구수,"62,049","41,037","1,565","1,919","1,477","1,559","2,012","2,010","2,416","1,435","1,476","3,768","1,375"
2020년01월_계_연령구간인구수,"62,049","41,037","1,565","1,919","1,477","1,559","2,012","2,010","2,416","1,435","1,476","3,768","1,375"
2020년01월_계_0~9세,"3,961","3,468",28,44,45,29,59,45,68,27,29,96,23
2020년01월_계_10~19세,"5,830","4,912",62,100,59,61,125,91,89,51,41,194,45
2020년01월_계_20~29세,"6,086","4,805",96,131,92,86,130,133,162,86,60,244,61
2020년01월_계_30~39세,"5,266","4,309",60,91,59,63,101,96,141,68,40,193,45
2020년01월_계_40~49세,"8,030","6,315",116,179,116,140,185,167,190,105,102,320,95
2020년01월_계_50~59세,"10,741","6,934",280,342,337,288,361,348,430,239,236,690,256
2020년01월_계_60~69세,"9,584","5,161",346,356,318,320,413,435,498,321,337,773,306
2020년01월_계_70~79세,"7,154","3,195",293,376,240,314,334,356,460,264,388,665,269
2020년01월_계_80~89세,"4,713","1,695",248,263,171,225,262,309,319,238,214,527,242
2020년01월_계_90~99세,644,224,36,34,37,32,39,28,57,34,29,64,30
2020년01월_계_100세 이상,40,19,0,3,3,1,3,2,2,2,0,2,3
2020년01월_남_총인구수,"30,275","20,186",757,948,749,757,945,955,"1,166",668,704,"1,793",647
2020년01월_남_연령구간인구수,"30,275","20,186",757,948,749,757,945,955,"1,166",668,704,"1,793",647
2020년01월_남_0~9세,"2,048","1,787",14,25,21,15,36,24,35,12,20,47,12
2020년01월_남_10~19세,"3,079","2,595",39,54,33,31,61,48,52,27,24,93,22
2020년01월_남_20~29세,"3,565","2,801",55,80,52,52,71,82,97,47,43,150,35
2020년01월_남_30~39세,"2,688","2,135",34,50,40,34,55,49,95,39,22,108,27
2020년01월_남_40~49세,"4,171","3,124",76,106,61,93,103,101,113,71,70,199,54
2020년01월_남_50~59세,"5,506","3,423",154,206,197,157,200,191,211,128,128,355,156
2020년01월_남_60~69세,"4,664","2,437",176,169,161,162,206,225,266,166,160,391,145
2020년01월_남_70~79세,"2,908","1,274",122,147,116,137,129,132,195,107,173,271,105
2020년01월_남_80~89세,"1,489",561,81,102,48,67,75,97,88,64,53,168,85
2020년01월_남_90~99세,149,45,6,9,20,8,8,5,14,6,11,11,6
2020년01월_남_100세 이상,8,4,0,0,0,1,1,1,0,1,0,0,0
2020년01월_여_총인구수,"31,774","20,851",808,971,728,802,"1,067","1,055","1,250",767,772,"1,975",728
2020년01월_여_연령구간인구수,"31,774","20,851",808,971,728,802,"1,067","1,055","1,250",767,772,"1,975",728
2020년01월_여_0~9세,"1,913","1,681",14,19,24,14,23,21,33,15,9,49,11
2020년01월_여_10~19세,"2,751","2,317",23,46,26,30,64,43,37,24,17,101,23
2020년01월_여_20~29세,"2,521","2,004",41,51,40,34,59,51,65,39,17,94,26
2020년01월_여_30~39세,"2,578","2,174",26,41,19,29,46,47,46,29,18,85,18
2020년01월_여_40~49세,"3,859","3,191",40,73,55,47,82,66,77,34,32,121,41
2020년01월_여_50~59세,"5,235","3,511",126,136,140,131,161,157,219,111,108,335,100
2020년01월_여_60~69세,"4,920","2,724",170,187,157,158,207,210,232,155,177,382,161
2020년01월_여_70~79세,"4,246","1,921",171,229,124,177,205,224,265,157,215,394,164
2020년01월_여_80~89세,"3,224","1,134",167,161,123,158,187,212,231,174,161,359,157
2020년01월_여_90~99세,495,179,30,25,17,24,31,23,43,28,18,53,24
2020년01월_여_100세 이상,32,15,0,3,3,0,2,1,2,1,0,2,3
2020년02월_계_총인구수,"61,972","40,990","1,561","1,917","1,468","1,560","2,000","2,013","2,401","1,436","1,476","3,766","1,384"
2020년02월_계_연령구간인구수,"61,972","40,990","1,561","1,917","1,468","1,560","2,000","2,013","2,401","1,436","1,476","3,766","1,384"
2020년02월_계_0~9세,"3,932","3,441",27,43,42,31,60,45,67,29,29,94,24
2020년02월_계_10~19세,"5,803","4,894",61,99,57,59,123,93,86,49,40,193,49
2020년02월_계_20~29세,"6,028","4,770",94,130,94,85,126,130,156,86,59,240,58
2020년02월_계_30~39세,"5,246","4,287",61,89,59,67,101,97,139,64,41,195,46
2020년02월_계_40~49세,"8,035","6,334",115,172,116,138,184,167,184,108,100,321,96
2020년02월_계_50~59세,"10,686","6,920",279,344,330,282,358,346,429,237,232,677,252
2020년02월_계_60~69세,"9,667","5,199",351,359,319,325,411,442,504,326,340,782,309
2020년02월_계_70~79세,"7,146","3,203",286,379,238,312,332,353,459,260,387,664,273
2020년02월_계_80~89세,"4,729","1,690",250,265,173,227,262,311,320,242,218,530,241
2020년02월_계_90~99세,659,232,37,34,37,33,39,28,55,33,30,68,33
2020년02월_계_100세 이상,41,20,0,3,3,1,4,1,2,2,0,2,3
2020년02월_남_총인구수,"30,222","20,133",757,947,748,756,942,956,"1,160",671,705,"1,794",653
2020년02월_남_연령구간인구수,"30,222","20,133",757,947,748,756,942,956,"1,160",671,705,"1,794",653
2020년02월_남_0~9세,"2,036","1,772",13,25,21,16,37,24,34,14,20,47,13
2020년02월_남_10~19세,"3,068","2,586",38,53,32,31,61,48,51,26,24,93,25
2020년02월_남_20~29세,"3,521","2,768",55,80,55,50,68,81,93,48,43,148,32
2020년02월_남_30~39세,"2,684","2,127",34,49,40,35,55,51,94,38,23,108,30
2020년02월_남_40~49세,"4,161","3,124",77,101,62,92,102,99,110,71,70,199,54
2020년02월_남_50~59세,"5,488","3,422",155,206,194,155,199,189,215,127,126,349,151
2020년02월_남_60~69세,"4,699","2,447",178,171,162,163,206,230,268,169,160,396,149
2020년02월_남_70~79세,"2,923","1,286",120,150,113,139,131,131,194,106,174,273,106
2020년02월_남_80~89세,"1,485",551,81,103,50,65,74,98,88,65,54,169,87
2020년02월_남_90~99세,149,46,6,9,19,9,7,5,13,6,11,12,6
2020년02월_남_100세 이상,8,4,0,0,0,1,2,0,0,1,0,0,0
2020년02월_여_총인구수,"31,750","20,857",804,970,720,804,"1,058","1,057","1,241",765,771,"1,972",731
2020년02월_여_연령구간인구수,"31,750","20,857",804,970,720,804,"1,058","1,057","1,241",765,771,"1,972",731
2020년02월_여_0~9세,"1,896","1,669",14,18,21,15,23,21,33,15,9,47,11
2020년02월_여_10~19세,"2,735","2,308",23,46,25,28,62,45,35,23,16,100,24
2020년02월_여_20~29세,"2,507","2,002",39,50,39,35,58,49,63,38,16,92,26
2020년02월_여_30~39세,"2,562","2,160",27,40,19,32,46,46,45,26,18,87,16
2020년02월_여_40~49세,"3,874","3,210",38,71,54,46,82,68,74,37,30,122,42
2020년02월_여_50~59세,"5,198","3,498",124,138,136,127,159,157,214,110,106,328,101
2020년02월_여_60~69세,"4,968","2,752",173,188,157,162,205,212,236,157,180,386,160
2020년02월_여_70~79세,"4,223","1,917",166,229,125,173,201,222,265,154,213,391,167
2020년02월_여_80~89세,"3,244","1,139",169,162,123,162,188,213,232,177,164,361,154
2020년02월_여_90~99세,510,186,31,25,18,24,32,23,42,27,19,56,27
2020년02월_여_100세 이상,33,16,0,3,3,0,2,1,2,1,0,2,3
