카테고리,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면,강원도 영월군 산솔면
2020년01월_계_총인구수,"39,040","21,310","1,116","1,481","1,771","2,179","2,304","1,278","1,741","3,845","2,015",
2020년01월_계_연령구간인구수,"39,040","21,310","1,116","1,481","1,771","2,179","2,304","1,278","1,741","3,845","2,015",
2020년01월_계_0~9세,"1,764","1,361",20,23,32,44,60,41,41,99,43,
2020년01월_계_10~19세,"2,998","2,198",32,62,85,86,95,60,82,215,83,
2020년01월_계_20~29세,"3,420","2,380",54,77,97,133,131,107,103,239,99,
2020년01월_계_30~39세,"2,989","2,036",53,59,71,128,132,83,115,219,93,
2020년01월_계_40~49세,"4,871","3,100",111,146,174,218,239,149,176,369,189,
2020년01월_계_50~59세,"7,565","3,818",245,340,440,453,452,277,351,763,426,
2020년01월_계_60~69세,"7,632","3,173",261,365,446,536,609,292,398,952,600,
2020년01월_계_70~79세,"4,901","2,096",212,268,265,353,347,163,289,570,338,
2020년01월_계_80~89세,"2,532","1,001",115,126,140,200,204,95,163,365,123,
2020년01월_계_90~99세,320,128,12,14,18,22,30,10,22,45,19,
2020년01월_계_100세 이상,48,19,1,1,3,6,5,1,1,9,2,
2020년01월_남_총인구수,"20,154","10,891",583,778,911,"1,139","1,214",714,938,"1,964","1,022",
2020년01월_남_연령구간인구수,"20,154","10,891",583,778,911,"1,139","1,214",714,938,"1,964","1,022",
2020년01월_남_0~9세,940,736,14,12,18,22,26,20,21,48,23,
2020년01월_남_10~19세,"1,616","1,200",18,26,41,39,54,32,38,127,41,
2020년01월_남_20~29세,"1,954","1,346",33,49,60,81,78,67,62,127,51,
2020년01월_남_30~39세,"1,641","1,058",31,42,37,73,87,50,81,134,48,
2020년01월_남_40~49세,"2,710","1,616",78,94,95,139,152,92,118,209,117,
2020년01월_남_50~59세,"4,118","2,061",139,190,237,260,251,166,205,397,212,
2020년01월_남_60~69세,"3,952","1,570",131,211,240,287,336,164,207,505,301,
2020년01월_남_70~79세,"2,215",905,91,110,132,158,154,85,137,269,174,
2020년01월_남_80~89세,903,360,44,39,49,73,62,36,61,131,48,
2020년01월_남_90~99세,91,34,3,4,2,4,12,2,8,15,7,
2020년01월_남_100세 이상,14,5,1,1,0,3,2,0,0,2,0,
2020년01월_여_총인구수,"18,886","10,419",533,703,860,"1,040","1,090",564,803,"1,881",993,
2020년01월_여_연령구간인구수,"18,886","10,419",533,703,860,"1,040","1,090",564,803,"1,881",993,
2020년01월_여_0~9세,824,625,6,11,14,22,34,21,20,51,20,
2020년01월_여_10~19세,"1,382",998,14,36,44,47,41,28,44,88,42,
2020년01월_여_20~29세,"1,466","1,034",21,28,37,52,53,40,41,112,48,
2020년01월_여_30~39세,"1,348",978,22,17,34,55,45,33,34,85,45,
2020년01월_여_40~49세,"2,161","1,484",33,52,79,79,87,57,58,160,72,
2020년01월_여_50~59세,"3,447","1,757",106,150,203,193,201,111,146,366,214,
2020년01월_여_60~69세,"3,680","1,603",130,154,206,249,273,128,191,447,299,
2020년01월_여_70~79세,"2,686","1,191",121,158,133,195,193,78,152,301,164,
2020년01월_여_80~89세,"1,629",641,71,87,91,127,142,59,102,234,75,
2020년01월_여_90~99세,229,94,9,10,16,18,18,8,14,30,12,
2020년01월_여_100세 이상,34,14,0,0,3,3,3,1,1,7,2,
2020년02월_계_총인구수,"38,969","21,262","1,111","1,475","1,757","2,174","2,287","1,278","1,760","3,859","2,006",
2020년02월_계_연령구간인구수,"38,969","21,262","1,111","1,475","1,757","2,174","2,287","1,278","1,760","3,859","2,006",
2020년02월_계_0~9세,"1,732","1,341",20,23,31,40,54,42,42,96,43,
2020년02월_계_10~19세,"2,986","2,185",32,59,83,89,96,58,82,220,82,
2020년02월_계_20~29세,"3,391","2,362",51,74,93,134,125,109,103,244,96,
2020년02월_계_30~39세,"2,961","2,019",53,61,66,120,130,84,116,215,97,
2020년02월_계_40~49세,"4,872","3,099",110,139,169,220,237,149,184,384,181,
2020년02월_계_50~59세,"7,541","3,817",243,339,441,452,451,275,349,752,422,
2020년02월_계_60~69세,"7,668","3,186",262,369,452,533,609,291,407,962,597,
2020년02월_계_70~79세,"4,886","2,090",211,265,261,357,342,162,290,565,343,
2020년02월_계_80~89세,"2,560","1,014",116,130,139,200,209,97,163,369,123,
2020년02월_계_90~99세,324,130,12,15,19,23,29,10,23,43,20,
2020년02월_계_100세 이상,48,19,1,1,3,6,5,1,1,9,2,
2020년02월_남_총인구수,"20,145","10,883",582,776,905,"1,134","1,204",718,950,"1,978","1,015",
