카테고리,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2020년03월_계_총인구수,"705,264","63,767","93,413","100,986","13,779","24,787","53,437","30,147","19,851","9,027","4,258","50,816","34,489","19,321","4,650","75,600","35,075","71,861"
2020년03월_계_연령구간인구수,"705,264","63,767","93,413","100,986","13,779","24,787","53,437","30,147","19,851","9,027","4,258","50,816","34,489","19,321","4,650","75,600","35,075","71,861"
2020년03월_계_0~9세,"67,006","4,552","8,943","9,037","1,530","1,170","4,349","1,905","1,320",366,198,"5,684","3,215",819,171,"10,333","4,788","8,626"
2020년03월_계_10~19세,"77,613","7,633","11,532","11,464","1,217","2,064","6,832","2,756","2,043",591,276,"6,790","5,034","1,298",210,"7,681","3,608","6,584"
2020년03월_계_20~29세,"83,359","7,956","10,477","11,827","1,469","3,437","6,415","4,220","2,454",832,431,"5,394","4,034","2,633",525,"8,659","3,739","8,857"
2020년03월_계_30~39세,"91,235","6,307","10,919","12,583","2,148","2,448","5,664","3,494","1,922",745,421,"6,545","3,870","2,214",496,"13,330","6,117","12,012"
2020년03월_계_40~49세,"129,601","11,687","17,663","19,383","2,326","3,555","10,525","4,442","3,376","1,090",555,"10,941","7,289","2,390",535,"14,245","6,859","12,740"
2020년03월_계_50~59세,"114,606","11,184","15,189","16,596","2,176","5,341","9,120","5,883","3,586","1,854",797,"7,147","5,360","4,064",947,"9,919","4,887","10,556"
2020년03월_계_60~69세,"78,275","7,458","10,270","10,822","1,727","3,757","5,471","4,282","2,633","1,849",848,"4,354","3,050","3,317","1,037","6,654","3,113","7,633"
2020년03월_계_70~79세,"43,385","4,818","5,771","6,511",788,"1,954","3,448","2,151","1,699","1,089",474,"2,779","1,756","1,612",484,"3,313","1,358","3,380"
2020년03월_계_80~89세,"17,515","1,870","2,351","2,409",344,921,"1,416",910,700,484,218,"1,017",776,844,215,"1,270",516,"1,254"
2020년03월_계_90~99세,"2,459",272,282,322,53,126,191,98,98,118,37,157,101,116,22,185,74,207
2020년03월_계_100세 이상,210,30,16,32,1,14,6,6,20,9,3,8,4,14,8,11,16,12
2020년03월_남_총인구수,"351,413","31,436","47,198","50,636","7,018","12,903","26,785","15,034","9,930","4,740","2,226","24,804","16,997","9,813","2,623","37,097","17,137","35,036"
2020년03월_남_연령구간인구수,"351,413","31,436","47,198","50,636","7,018","12,903","26,785","15,034","9,930","4,740","2,226","24,804","16,997","9,813","2,623","37,097","17,137","35,036"
2020년03월_남_0~9세,"34,442","2,381","4,665","4,683",781,650,"2,228",954,657,207,103,"2,933","1,629",407,81,"5,253","2,441","4,389"
2020년03월_남_10~19세,"39,991","3,926","5,973","6,007",641,"1,060","3,481","1,429","1,095",331,151,"3,510","2,585",693,109,"3,896","1,839","3,265"
2020년03월_남_20~29세,"43,362","4,150","5,511","6,168",777,"1,904","3,409","2,234","1,227",471,232,"2,826","2,050","1,468",309,"4,292","1,920","4,414"
