카테고리,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2020년01월_계_총인구수,"226,216","5,163","26,790","12,562","12,801","8,896","16,867","15,600","10,539","14,106","19,058","20,741","12,673","11,244","14,925","2,570","21,681"
2020년01월_계_연령구간인구수,"226,216","5,163","26,790","12,562","12,801","8,896","16,867","15,600","10,539","14,106","19,058","20,741","12,673","11,244","14,925","2,570","21,681"
2020년01월_계_0~9세,"16,130",111,"2,861",984,925,317,"1,034","1,550",382,862,"1,109","1,262",963,648,901,86,"2,135"
2020년01월_계_10~19세,"20,737",160,"3,466",944,"1,062",430,"1,609","1,477",845,"1,141","1,890","1,585",982,869,"1,357",161,"2,759"
2020년01월_계_20~29세,"30,670",390,"2,765","1,489","1,579",901,"2,699","1,894","2,621","2,036","3,048","3,854","1,465","1,904","1,657",209,"2,159"
2020년01월_계_30~39세,"27,188",430,"3,436","1,781","1,627",783,"1,787","2,235","1,084","1,543","2,087","3,137","1,616","1,394","1,557",164,"2,527"
2020년01월_계_40~49세,"34,772",574,"5,065","1,869","1,784","1,048","2,591","2,352","1,311","2,081","2,891","3,206","1,880","1,658","2,263",309,"3,890"
2020년01월_계_50~59세,"37,794","1,116","3,844","1,989","2,280","1,656","2,998","2,497","1,581","2,465","3,386","3,424","2,237","1,999","2,666",490,"3,166"
2020년01월_계_60~69세,"31,178","1,152","2,926","1,801","1,826","1,811","2,340","1,879","1,449","2,078","2,607","2,491","1,848","1,524","2,314",523,"2,609"
2020년01월_계_70~79세,"18,622",824,"1,673","1,168","1,108","1,251","1,217","1,141",877,"1,298","1,412","1,247","1,133",850,"1,505",343,"1,575"
