카테고리,제주특별자치도 서귀포시,제주특별자치도 서귀포시 대정읍,제주특별자치도 서귀포시 남원읍,제주특별자치도 서귀포시 성산읍,제주특별자치도 서귀포시 안덕면,제주특별자치도 서귀포시 표선면,제주특별자치도 서귀포시 송산동,제주특별자치도 서귀포시 정방동,제주특별자치도 서귀포시 중앙동,제주특별자치도 서귀포시 천지동,제주특별자치도 서귀포시 효돈동,제주특별자치도 서귀포시 영천동,제주특별자치도 서귀포시 동홍동,제주특별자치도 서귀포시 서홍동,제주특별자치도 서귀포시 대륜동,제주특별자치도 서귀포시 대천동,제주특별자치도 서귀포시 중문동,제주특별자치도 서귀포시 예래동
2020년01월_계_총인구수,"181,547","21,354","18,864","15,489","12,053","12,248","4,265","2,258","3,676","3,558","5,284","5,301","23,137","10,479","14,477","13,756","11,365","3,983"
2020년01월_계_연령구간인구수,"181,547","21,354","18,864","15,489","12,053","12,248","4,265","2,258","3,676","3,558","5,284","5,301","23,137","10,479","14,477","13,756","11,365","3,983"
2020년01월_계_0~9세,"15,036","1,785","1,209",949,889,811,247,128,209,180,372,324,"2,229","1,213","1,556","1,673","1,008",254
2020년01월_계_10~19세,"17,523","2,440","1,632","1,077",971,934,373,148,277,261,427,464,"3,189","1,390","1,275","1,239","1,156",270
2020년01월_계_20~29세,"19,553","1,839","1,958","1,512","1,493","1,286",444,211,365,365,555,606,"2,815","1,210","1,547","1,495","1,313",539
2020년01월_계_30~39세,"20,457","2,115","1,712","1,530","1,277","1,166",400,240,319,381,574,466,"2,604","1,220","2,175","2,268","1,531",479
2020년01월_계_40~49세,"29,804","3,951","2,772","2,190","1,951","1,957",643,339,522,563,749,798,"3,997","1,900","2,504","2,427","1,987",554
2020년01월_계_50~59세,"31,433","3,498","3,591","3,140","2,143","2,400",793,456,767,705,935,982,"3,838","1,503","2,168","2,002","1,807",705
2020년01월_계_60~69세,"23,327","2,576","2,662","2,481","1,530","1,842",651,400,655,562,766,717,"2,429","1,071","1,747","1,423","1,263",552
2020년01월_계_70~79세,"15,253","1,851","2,010","1,530","1,076","1,164",467,211,373,370,547,577,"1,421",668,"1,025",801,805,357
2020년01월_계_80~89세,"7,882","1,113","1,158",919,602,606,207,96,172,149,317,308,533,265,417,367,428,225
2020년01월_계_90~99세,"1,179",169,151,154,113,74,34,26,14,20,35,53,79,37,57,59,60,44
2020년01월_계_100세 이상,100,17,9,7,8,8,6,3,3,2,7,6,3,2,6,2,7,4
2020년01월_남_총인구수,"91,842","10,422","9,726","8,106","6,234","6,312","2,256","1,137","1,741","1,814","2,673","2,704","11,350","5,189","7,319","7,002","5,838","2,019"
