카테고리,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동,경기도 여주시 세종대왕면
2020년01월_계_총인구수,"111,017","15,510","4,619","5,010","2,963","6,455","7,152","4,949","4,125","2,589","22,030","18,636","16,979",
2020년01월_계_연령구간인구수,"111,017","15,510","4,619","5,010","2,963","6,455","7,152","4,949","4,125","2,589","22,030","18,636","16,979",
2020년01월_계_0~9세,"7,681","1,067",172,183,92,306,243,165,140,130,"1,717","1,461","2,005",
2020년01월_계_10~19세,"9,904","1,347",298,283,144,438,459,390,258,155,"2,058","2,361","1,713",
2020년01월_계_20~29세,"12,064","1,631",457,437,241,585,605,425,365,217,"2,826","2,345","1,930",
2020년01월_계_30~39세,"11,916","1,900",304,369,192,531,478,315,310,205,"2,668","2,026","2,618",
2020년01월_계_40~49세,"16,192","2,242",439,506,289,707,754,613,484,289,"3,574","3,306","2,989",
2020년01월_계_50~59세,"20,161","2,824",889,"1,011",594,"1,240","1,411","1,002",841,454,"3,900","3,259","2,736",
2020년01월_계_60~69세,"17,131","2,367",977,"1,086",720,"1,251","1,526",944,829,562,"2,998","2,186","1,685",
2020년01월_계_70~79세,"10,082","1,317",651,687,443,848,"1,010",650,542,368,"1,534","1,155",877,
2020년01월_계_80~89세,"5,089",707,384,384,209,472,577,390,296,185,645,467,373,
2020년01월_계_90~99세,758,100,47,63,38,77,85,51,58,23,102,67,47,
2020년01월_계_100세 이상,39,8,1,1,1,0,4,4,2,1,8,3,6,
2020년01월_남_총인구수,"56,388","8,028","2,407","2,612","1,536","3,336","3,703","2,558","2,138","1,280","10,998","9,345","8,447",
2020년01월_남_연령구간인구수,"56,388","8,028","2,407","2,612","1,536","3,336","3,703","2,558","2,138","1,280","10,998","9,345","8,447",
2020년01월_남_0~9세,"3,981",523,106,100,50,131,134,86,68,57,888,772,"1,066",
2020년01월_남_10~19세,"5,132",703,164,157,74,235,247,225,137,74,"1,043","1,232",841,
2020년01월_남_20~29세,"6,556",908,264,245,144,336,358,233,211,120,"1,480","1,230","1,027",
2020년01월_남_30~39세,"6,242","1,068",168,214,115,288,273,167,172,108,"1,358","1,042","1,269",
2020년01월_남_40~49세,"8,421","1,201",245,285,157,418,406,337,272,156,"1,818","1,612","1,514",
2020년01월_남_50~59세,"10,551","1,498",487,536,320,676,757,562,470,225,"1,962","1,699","1,359",
2020년01월_남_60~69세,"8,706","1,210",491,575,371,654,815,499,407,283,"1,483","1,077",841,
2020년01월_남_70~79세,"4,737",633,335,333,217,421,460,290,278,173,705,503,389,
2020년01월_남_80~89세,"1,890",259,134,154,82,160,227,141,115,77,238,167,136,
2020년01월_남_90~99세,158,21,12,13,6,17,24,17,7,7,19,11,4,
2020년01월_남_100세 이상,14,4,1,0,0,0,2,1,1,0,4,0,1,
2020년01월_여_총인구수,"54,629","7,482","2,212","2,398","1,427","3,119","3,449","2,391","1,987","1,309","11,032","9,291","8,532",
2020년01월_여_연령구간인구수,"54,629","7,482","2,212","2,398","1,427","3,119","3,449","2,391","1,987","1,309","11,032","9,291","8,532",
2020년01월_여_0~9세,"3,700",544,66,83,42,175,109,79,72,73,829,689,939,
2020년01월_여_10~19세,"4,772",644,134,126,70,203,212,165,121,81,"1,015","1,129",872,
2020년01월_여_20~29세,"5,508",723,193,192,97,249,247,192,154,97,"1,346","1,115",903,
2020년01월_여_30~39세,"5,674",832,136,155,77,243,205,148,138,97,"1,310",984,"1,349",
2020년01월_여_40~49세,"7,771","1,041",194,221,132,289,348,276,212,133,"1,756","1,694","1,475",
2020년01월_여_50~59세,"9,610","1,326",402,475,274,564,654,440,371,229,"1,938","1,560","1,377",
2020년01월_여_60~69세,"8,425","1,157",486,511,349,597,711,445,422,279,"1,515","1,109",844,
2020년01월_여_70~79세,"5,345",684,316,354,226,427,550,360,264,195,829,652,488,
2020년01월_여_80~89세,"3,199",448,250,230,127,312,350,249,181,108,407,300,237,
2020년01월_여_90~99세,600,79,35,50,32,60,61,34,51,16,83,56,43,
2020년01월_여_100세 이상,25,4,0,1,1,0,2,3,1,1,4,3,5,
2020년02월_계_총인구수,"111,008","15,487","4,622","5,012","2,966","6,446","7,134","4,944","4,128","2,582","22,017","18,595","17,075",
2020년02월_계_연령구간인구수,"111,008","15,487","4,622","5,012","2,966","6,446","7,134","4,944","4,128","2,582","22,017","18,595","17,075",
2020년02월_계_0~9세,"7,685","1,068",172,182,90,300,245,159,144,128,"1,704","1,463","2,030",
2020년02월_계_10~19세,"9,854","1,328",294,281,139,454,456,393,263,148,"2,050","2,337","1,711",
2020년02월_계_20~29세,"11,981","1,622",456,429,246,569,595,422,353,221,"2,805","2,327","1,936",
2020년02월_계_30~39세,"11,899","1,882",308,373,189,528,478,307,318,202,"2,651","2,029","2,634",
