카테고리,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동,충청남도 천안시 서북구 불당1동,충청남도 천안시 서북구 불당2동
2020년03월_계_총인구수,"654,259","259,474","24,191","4,168","4,329","4,355","3,295","2,320","6,137","2,182","5,560","3,715","8,962","9,622","17,537","24,891","45,318","56,076","36,816","394,785","25,086","22,435","19,541","8,805","16,368","25,853","14,355","38,687","19,317","40,998","68,661","40,095","54,584",,
2020년03월_계_연령구간인구수,"654,259","259,474","24,191","4,168","4,329","4,355","3,295","2,320","6,137","2,182","5,560","3,715","8,962","9,622","17,537","24,891","45,318","56,076","36,816","394,785","25,086","22,435","19,541","8,805","16,368","25,853","14,355","38,687","19,317","40,998","68,661","40,095","54,584",,
2020년03월_계_0~9세,"63,867","21,519","1,868",150,123,147,88,57,278,33,174,98,446,317,"1,073","2,415","5,070","6,309","2,873","42,348","1,412","2,052","1,464",334,814,"1,061",938,"3,692","1,546","5,968","10,552","3,521","8,994",,
2020년03월_계_10~19세,"69,597","26,966","2,864",248,201,248,186,91,356,87,313,184,727,751,"1,458","3,307","5,981","7,077","2,887","42,631","2,419","2,492","1,930",605,"1,142","1,495","1,305","5,213","2,472","5,663","9,223","3,865","4,807",,
2020년03월_계_20~29세,"95,328","35,552","2,770",393,393,393,261,206,769,141,555,492,"1,138","1,200","2,757","3,046","6,227","7,298","7,513","59,776","2,895","2,607","2,419",967,"2,446","6,447","2,542","6,045","2,744","5,190","8,645","8,721","8,108",,
2020년03월_계_30~39세,"106,424","34,379","2,566",332,316,338,210,179,585,108,507,401,918,954,"2,390","2,812","7,213","8,771","5,779","72,045","2,353","3,199","2,779",771,"2,277","5,677","1,955","5,452","2,486","7,337","14,833","7,637","15,289",,
2020년03월_계_40~49세,"111,635","43,549","4,631",468,462,533,343,237,757,186,719,492,"1,283","1,410","2,886","4,686","9,051","10,238","5,167","68,086","4,022","4,261","3,519","1,169","2,539","3,817","2,016","6,944","3,297","7,719","13,666","6,581","8,536",,
2020년03월_계_50~59세,"102,027","44,099","4,315",808,907,911,661,458,"1,198",483,"1,094",735,"1,829","1,968","3,253","4,237","6,768","8,330","6,144","57,928","4,339","3,701","3,460","1,844","3,226","3,624","2,637","6,703","3,533","5,550","8,076","5,681","5,554",,
2020년03월_계_60~69세,"59,374","29,362","2,677",880,931,885,733,488,"1,093",477,"1,142",704,"1,386","1,515","2,215","2,488","3,044","4,781","3,923","30,012","3,790","2,308","2,141","1,538","2,196","2,314","1,857","2,899","1,817","2,254","2,361","2,403","2,134",,
2020년03월_계_70~79세,"29,183","15,113","1,499",507,555,508,480,329,620,368,708,399,805,972,"1,020","1,269","1,227","2,142","1,705","14,070","2,444","1,162","1,137",946,"1,185",962,726,"1,102",872,864,847,"1,075",748,,
