년도,월,나이,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2020,3,총,"356,661","15,502","10,158","20,643","20,498","20,500","13,179","18,219","21,515","22,828","18,446","24,585","10,434","12,130","20,414","16,897","17,178","11,732","30,142","11,706","19,955"
2020,3,0,"21,826",641,651,"1,575",972,"1,280",605,937,"1,102","2,025","1,216","1,343",808,789,"1,001","1,049","1,270",725,"2,011",531,"1,295"
2020,3,10,"25,737",607,512,"1,920","1,478","1,625",680,"1,041","1,251","1,811","2,028","2,140",739,"1,041","1,328","1,381","1,038",934,"2,661",489,"1,033"
2020,3,20,"51,504","3,123","2,002","2,046","2,187","2,873","2,891","3,940","3,399","2,447","2,141","3,042","1,274","1,333","3,303","2,120","3,307","1,631","3,845","2,252","2,348"
2020,3,30,"47,394","2,410","1,801","2,343","1,985","2,480","2,310","3,165","3,207","3,089","1,879","2,508","1,689","1,470","2,376","1,924","2,794","1,269","3,591","2,066","3,038"
2020,3,40,"51,828","1,821","1,495","3,411","2,844","3,090","1,829","2,451","3,066","3,756","3,042","3,708","1,523","1,872","2,830","2,348","2,468","1,668","4,373","1,547","2,686"
2020,3,50,"59,153","2,572","1,593","3,236","3,510","3,653","1,735","2,354","3,150","3,731","3,485","4,630","1,579","2,332","3,556","2,903","2,582","2,020","5,633","1,754","3,145"
2020,3,60,"53,960","2,362","1,273","3,244","3,878","2,923","1,637","2,172","3,284","3,192","2,642","3,974","1,548","1,815","3,312","2,885","2,060","1,852","4,773","1,647","3,487"
2020,3,70,"31,179","1,360",557,"1,986","2,534","1,697","1,022","1,431","2,104","1,986","1,421","2,140",896,"1,037","1,951","1,630","1,181","1,147","2,149",941,"2,009"
2020,3,80,"12,364",521,220,781,989,779,403,629,854,671,515,959,338,388,671,568,427,443,988,420,800
2020,3,90,"1,493",71,47,95,109,88,58,84,86,89,66,129,33,45,78,79,49,40,108,51,88
2020,3,100,223,14,7,6,12,12,9,15,12,31,11,12,7,8,8,10,2,3,10,8,26
2020,4,총,"356,978","15,525","10,150","20,488","21,347","20,514","13,147","18,199","21,509","22,701","18,351","24,511","10,390","12,076","20,356","16,864","17,260","11,711","30,105","11,841","19,933"
2020,4,0,"21,774",640,653,"1,524","1,146","1,267",589,925,"1,084","2,014","1,202","1,314",790,773,990,"1,046","1,276",717,"2,005",526,"1,293"
