년도,월,나이,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2020,1,총,"346,080","30,691","24,899","30,578","19,487","29,324","30,167","38,547","32,877","21,124","10,277","14,405","24,326","18,706","20,672"
2020,1,0,"21,998","1,393","1,097","2,004","1,346","2,837","1,962","2,677","2,963",923,525,741,"1,387",764,"1,379"
2020,1,10,"25,087","1,524","1,447","2,064","1,832","2,032","2,220","2,705","2,943","1,261",714,862,"2,159","1,387","1,937"
2020,1,20,"55,081","5,667","4,166","4,681","2,423","4,055","4,063","5,223","3,884","2,513","2,914","3,075","5,117","4,523","2,777"
2020,1,30,"51,328","5,230","3,401","4,467","2,398","5,554","4,504","6,423","5,165","2,511","1,521","2,175","3,096","2,279","2,604"
2020,1,40,"52,427","4,334","3,236","4,555","3,187","4,689","4,632","6,432","5,776","2,782","1,365","1,868","3,617","2,598","3,356"
2020,1,50,"54,549","4,760","3,930","5,007","3,321","4,383","5,148","6,124","5,004","3,787","1,192","2,296","3,530","2,651","3,416"
2020,1,60,"44,950","3,946","3,791","4,062","2,580","3,087","4,083","5,159","4,071","3,724",961,"1,726","2,885","2,204","2,671"
2020,1,70,"28,006","2,582","2,577","2,530","1,613","1,827","2,472","2,781","2,232","2,483",697,"1,128","1,791","1,513","1,780"
2020,1,80,"10,832","1,074","1,084","1,028",707,727,949,861,705,974,320,460,634,653,656
2020,1,90,"1,537",159,146,140,71,103,114,140,119,136,57,66,100,99,87
2020,1,100,285,22,24,40,9,30,20,22,15,30,11,8,10,35,9
2020,2,총,"346,072","30,842","24,863","30,616","19,438","29,259","30,139","38,558","32,976","21,106","10,253","14,296","24,302","18,690","20,734"
