년도,월,나이,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2020,1,총,"286,997","7,165","8,112","7,436","2,337","1,625","1,962","2,702","3,183","3,046","3,401","5,460","4,526","4,616","2,680","1,615","3,542","4,967","7,325","22,609","9,433","12,081","39,138","8,847","24,101","14,744","25,219","15,666","6,854","32,605"
2020,1,0,"20,747",405,598,308,65,34,36,81,119,91,194,335,100,194,73,23,117,332,353,"1,773",447,521,"3,955",952,"1,709","1,430","2,442",666,590,"2,804"
2020,1,10,"29,321",609,636,565,146,74,99,163,169,146,165,399,213,307,126,90,168,356,446,"2,288",737,915,"4,409",958,"2,887","2,252","3,573","1,192",724,"4,509"
2020,1,20,"37,110",673,745,705,197,109,144,174,243,146,352,733,287,416,277,117,361,495,946,"2,603","1,404","1,447","4,961",939,"3,598","2,231","3,399","4,002",782,"4,624"
2020,1,30,"30,403",600,879,567,125,72,108,163,219,172,292,491,260,369,165,68,338,600,823,"2,505",907,"1,097","4,746","1,265","2,553","1,774","3,245","1,464",899,"3,637"
2020,1,40,"43,291",877,"1,080",881,225,144,185,252,341,269,336,599,436,548,265,158,442,759,916,"3,513","1,247","1,575","6,319","1,442","3,714","2,964","4,974","1,774","1,081","5,975"
2020,1,50,"50,042","1,271","1,472","1,380",456,293,389,393,566,542,582,973,790,875,562,247,588,970,"1,176","4,029","1,937","2,018","6,515","1,330","4,727","2,385","4,284","2,357","1,100","5,835"
2020,1,60,"38,442","1,345","1,340","1,362",440,363,414,601,646,701,621,970,985,875,510,372,714,802,"1,300","3,254","1,548","2,140","4,522","1,041","3,004",904,"1,964","1,987",815,"2,902"
2020,1,70,"23,507",835,796,952,398,276,330,517,523,561,510,609,807,560,374,310,554,432,890,"1,726",818,"1,655","2,405",637,"1,228",546,884,"1,413",494,"1,467"
2020,1,80,"12,223",476,492,613,237,216,219,309,320,362,310,309,547,407,272,196,214,187,418,813,333,625,"1,145",249,577,231,402,685,297,762
